concept_id,text,text_alt,ipa,literal,confidence,provenance
social-basics.hello,Xin chào,,sin˧ tʃaːw˨˩,,2,vi-agent-v1;ipa=espeak
social-basics.hello-polite,Chào anh / chị ạ,,tʃaːw˨˩ aɲ˧ / tʃi˨˩ˀ aː˨˩ˀ,"anh = m., chị = f.",2,vi-agent-v1;ipa=espeak
social-basics.good-morning,Chào buổi sáng,,tʃaːw˨˩ buə̯j˧˩˧ saːŋ˧˥,,2,vi-agent-v1;ipa=espeak
social-basics.good-evening,Chào buổi tối,,tʃaːw˨˩ buə̯j˧˩˧ t̪oj˧˥,,2,vi-agent-v1;ipa=espeak
social-basics.goodbye,Tạm biệt,,t̪aːm˨˩ˀ biɛ̯t̪˨˩ˀ,,2,vi-agent-v1;ipa=espeak
social-basics.thank-you,Cảm ơn,Xin cảm ơn,kaːm˧˩˧ əːn˧,,2,vi-agent-v1;ipa=espeak
social-basics.you-are-welcome,Không có gì,Không có chi,xoŋ˧ kɔ˧˥ zi˨˩,,2,vi-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,Xin lỗi,,sin˧ loj˧ˀ˥,,2,vi-agent-v1;ipa=espeak
social-basics.sorry,Tôi xin lỗi,,t̪oj˧ sin˧ loj˧ˀ˥,,2,vi-agent-v1;ipa=espeak
social-basics.no-problem,Không sao,,xoŋ˧ saːw˧,,2,vi-agent-v1;ipa=espeak
social-basics.i-do-not-know,Tôi không biết,,t̪oj˧ xoŋ˧ biɛ̯t̪˧˥,,2,vi-agent-v1;ipa=espeak
social-basics.good-night,Chúc ngủ ngon,,tʃuc˧˥ ŋu˧˩˧ ŋɔn˧,,2,vi-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,Tôi ổn,Được rồi,t̪oj˧ on˧˩˧,,2,vi-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,Tôi không nói được tiếng {target},,t̪oj˧ xoŋ˧ nɔj˧˥ ɗyə̯c˨˩ˀ t̪iɛ̯ŋ˧˥ {target},,2,language-slots-v1;ipa=espeak
communication.i-speak-only-a-little-of-this,Tôi chỉ nói được một chút tiếng {target},,t̪oj˧ tʃi˧˩˧ nɔj˧˥ ɗyə̯c˨˩ˀ mot̪˨˩ˀ tʃut̪˧˥ t̪iɛ̯ŋ˧˥ {target},,2,language-slots-v1;ipa=espeak
communication.do-you-speak-english,Có nói được tiếng {source} không ạ?,,kɔ˧˥ nɔj˧˥ ɗyə̯c˨˩ˀ t̪iɛ̯ŋ˧˥ {source} xoŋ˧ aː˨˩ˀ,,2,language-slots-v1;ipa=espeak
communication.please-speak-more-slowly,Xin nói chậm hơn,,sin˧ nɔj˧˥ tʃəm˨˩ˀ həːn˧,,2,vi-agent-v1;ipa=espeak
communication.i-do-not-understand-spoken,Tôi nghe không hiểu,,t̪oj˧ ŋɛ˧ xoŋ˧ hiɛ̯w˧˩˧,,2,vi-agent-v1;ipa=espeak
communication.i-cannot-read-understand,Tôi đọc không hiểu,,t̪oj˧ ɗɔk˨˩ˀ xoŋ˧ hiɛ̯w˧˩˧,,2,vi-agent-v1;ipa=espeak
communication.please-say-it-again,Xin nói lại,,sin˧ nɔj˧˥ laːj˨˩ˀ,,2,vi-agent-v1;ipa=espeak
communication.please-write-it-down,Xin viết ra giấy,,sin˧ viɛ̯t̪˧˥ zaː˧ zəɪ˧˥,,2,vi-agent-v1;ipa=espeak
communication.please-wait-a-moment,Xin chờ một chút,,sin˧ tʃəː˨˩ mot̪˨˩ˀ tʃut̪˧˥,,2,vi-agent-v1;ipa=espeak
communication.can-you-help-me,Giúp tôi được không ạ?,,zup˧˥ t̪oj˧ ɗyə̯c˨˩ˀ xoŋ˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
communication.please-show-me-the-text,Xin cho tôi xem chữ tiếng {target},,sin˧ tʃɔ˧ t̪oj˧ sɛm˧ tʃy˧ˀ˥ t̪iɛ̯ŋ˧˥ {target},,2,language-slots-v1;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,Tôi không nghe rõ,,t̪oj˧ xoŋ˧ ŋɛ˧ zɔ˧ˀ˥,,2,vi-agent-v1;ipa=espeak
communication.i-do-not-understand,Tôi không hiểu,,t̪oj˧ xoŋ˧ hiɛ̯w˧˩˧,,2,vi-agent-v1;ipa=espeak
communication.i-cannot-read-it,Tôi không đọc được,,t̪oj˧ xoŋ˧ ɗɔk˨˩ˀ ɗyə̯c˨˩ˀ,,2,vi-agent-v1;ipa=espeak
quick-responses.please-go-ahead,Xin mời,,sin˧ məːj˨˩,,2,vi-agent-v1;ipa=espeak
quick-responses.yes-right,Vâng,Dạ,vəŋ˧,,2,vi-agent-v1;ipa=espeak
quick-responses.no-not,Không,,xoŋ˧,,2,vi-agent-v1;ipa=espeak
quick-responses.okay-can,Được,,ɗyə̯c˨˩ˀ,,2,vi-agent-v1;ipa=espeak
quick-responses.cannot-not-allowed,Không được,,xoŋ˧ ɗyə̯c˨˩ˀ,,2,vi-agent-v1;ipa=espeak
quick-responses.works-okay,Ổn,,on˧˩˧,,2,vi-agent-v1;ipa=espeak
quick-responses.does-not-work-no,Không ổn,,xoŋ˧ on˧˩˧,,2,vi-agent-v1;ipa=espeak
quick-responses.can-possible,Có thể,,kɔ˧˥ te˧˩˧,,2,vi-agent-v1;ipa=espeak
quick-responses.cannot-not-possible,Không thể,,xoŋ˧ te˧˩˧,,2,vi-agent-v1;ipa=espeak
quick-responses.okay-fine,Được rồi,,ɗyə̯c˨˩ˀ zoj˨˩,,2,vi-agent-v1;ipa=espeak
