concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
hotel-words.passport,ಪಾಸ್ಪೋರ್ಟ್,,pāspōrṭ,paːspoːrʈ,,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
hotel-words.room-key-card,ಕೊಠಡಿ ಕೀ ಕಾರ್ಡ್,,koṭhaḍi kī kārḍ,koʈʰaɖi kiː kaːrɖ,,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-words.check-in,ಚೆಕ್-ಇನ್,,cek-in,cekin,,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
hotel-words.check-out,ಚೆಕ್-ಔಟ್,,cek-auṭ,cekaʊʈ,,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
hotel-words.luggage-storage,ಸಾಮಾನು ಇಡುವ ಸ್ಥಳ,,sāmānu iḍuva sthaḷa,saːmaːnu iɖuva stʰaɭa,place for keeping luggage,2,Karnataka public signage; Namma Metro bilingual station wording; BWSSB potable-water notices;ipa=espeak
hotel-basics.are-any-rooms-available,ಕೊಠಡಿ ಖಾಲಿ ಇದೆಯೇ?,,koṭhaḍi khāli ideyē?,koʈʰaɖi kʰaːli idejeː,is a room empty?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.there-are-two-of-us,ನಾವು ಇಬ್ಬರು,,nāvu ibbaru,naːvu ibbaru,we [are] two,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.i-have-a-reservation,ನಾನು ಮೊದಲೇ ಕಾಯ್ದಿರಿಸಿದ್ದೇನೆ,,nānu modalē kāydirisiddēne,naːnu modaleː kaːjdirisiddeːne,I have reserved beforehand,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.can-i-charge-my-phone,ಫೋನ್ ಚಾರ್ಜ್ ಮಾಡಬಹುದೇ?,,phōn cārj māḍabahudē?,pʰoːn caːrɟ maːɖabahudeː,may the phone be charged?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.i-would-like-a-non-smoking-room,ನನಗೆ ಧೂಮಪಾನ ಇಲ್ಲದ ಕೊಠಡಿ ಬೇಕು,,nanage dhūmapāna illada koṭhaḍi bēku,nanaɡe dʰuːmapaːna illada koʈʰaɖi beːku,I want a room without smoking,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.i-would-like-a-quiet-room,ನನಗೆ ಶಾಂತವಾದ ಕೊಠಡಿ ಬೇಕು,,nanage śāṁtavāda koṭhaḍi bēku,nanaɡe ʃaːntavaːda koʈʰaɖi beːku,I want a quiet room,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.is-there-a-washing-machine,ವಾಷಿಂಗ್ ಮಷೀನ್ ಇದೆಯೇ?,,vāṣiṁg maṣīn ideyē?,vaːʂiŋɡ maʂiːn idejeː,is there a washing machine?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.is-wi-fi-free,ವೈ-ಫೈ ಉಚಿತವೇ?,,vai-phai ucitavē?,vaɪpʰaɪ ucitaveː,is Wi-Fi free of charge?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.how-much-per-night,ಒಂದು ರಾತ್ರಿಗೆ ಎಷ್ಟು?,,oṁdu rātrige eṣṭu?,ondu raːtriɡe eʂʈu,how much for one night?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.is-breakfast-included,ಬೆಳಗಿನ ಉಪಾಹಾರ ಸೇರಿದೆಯೇ?,,beḷagina upāhāra sērideyē?,beɭaɡina upaːhaːra seːridejeː,is the morning tiffin included?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.may-i-see-the-room,ಕೊಠಡಿ ನೋಡಬಹುದೇ?,,koṭhaḍi nōḍabahudē?,koʈʰaɖi noːɖabahudeː,may the room be seen?,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.for-nights,{} ರಾತ್ರಿಗೆ,,{} rātrige,{} raːtriɡe,for {} nights,2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
hotel-basics.two-beds,ದಯವಿಟ್ಟು ಎರಡು ಹಾಸಿಗೆ,,dayaviṭṭu eraḍu hāsige,dajaviʈʈu eraɖu haːsiɡe,"please, two beds — two separate beds, not one double",2,"Kittel, A Kannada-English Dictionary (DSAL); Univ. of Madras Kannada-English Dictionary (DSAL);ipa=espeak"
