concept_id,text,text_alt,ipa,literal,confidence,provenance
directions.where-is,Missä on {}?,,mˈissæ ˈon {},"the nominative-subject existential, so this frame needs no device",2,fi-agent-v1;ipa=espeak
directions.how-do-i-get-to,Miten pääsen tänne: {}?,,mˈitem pˈæːsen tˈænne {},"päästä johonkin governs the illative, which a bare filler cannot be",2,fi-agent-v1;ipa=espeak
directions.is-it-far,Onko sinne pitkä matka?,,ˈoŋko sˈinne pˈitkæ mˈatka,,2,fi-agent-v1;ipa=espeak
directions.how-long-on-foot,Kuinka kauan kävellen?,,kˈuiŋka kˈauaŋ kˈævellen,,2,fi-agent-v1;ipa=espeak
directions.please-show-me-on-the-map,Näyttäisittekö kartalta?,,nˈæyttæisˌittekø kˈartalta,,2,fi-agent-v1;ipa=espeak
directions.where-is-the-nearest,Missä on lähin {}?,,mˈissæ ˈon lˈæhin {},"lähin agrees with a nominative, so the slot needs no case",2,fi-agent-v1;ipa=espeak
directions.where-am-i,Missä minä olen?,,mˈissæ mˈinæ ˈolen,,2,fi-agent-v1;ipa=espeak
directions.which-way,Kummalle puolelle?,,kˈummalle pˈuolelle,,2,fi-agent-v1;ipa=espeak
directions.can-i-walk-there,Voiko sinne kävellä?,,vˈoiko sˈinne kˈævellæ,,2,fi-agent-v1;ipa=espeak
directions.how-far-is-it,Kuinka pitkä matka se on?,,kˈuiŋka pˈitkæ mˈatka sˈe ˈon,,2,fi-agent-v1;ipa=espeak
directions.which-exit,Mistä uloskäynnistä?,,mˈistæ ˈuloskˌæynnistæ,,2,fi-agent-v1;ipa=espeak
directions.can-you-show-me-the-way,Voisitteko neuvoa tien?,,vˈoisittˌeko nˈeuvoa tˈien,,2,fi-agent-v1;ipa=espeak
directions.north,pohjoinen,,pˈohjoinen,,2,fi-agent-v1;ipa=espeak
directions.south,etelä,,ˈetelæ,,2,fi-agent-v1;ipa=espeak
directions.east,itä,,ˈitæ,,2,fi-agent-v1;ipa=espeak
directions.west,länsi,,lˈænsi,,2,fi-agent-v1;ipa=espeak
quick-directions.go-straight,suoraan eteenpäin,,sˈuoraːn ˈeteːmpæin,,2,fi-agent-v1;ipa=espeak
quick-directions.turn-left,käänny vasemmalle,,kˈæːnny vˈasemmˌalle,,2,fi-agent-v1;ipa=espeak
quick-directions.turn-right,käänny oikealle,,kˈæːnny ˈoikeˌalle,,2,fi-agent-v1;ipa=espeak
quick-directions.this-way,tätä kautta,,tˈætæ kˈautta,,2,fi-agent-v1;ipa=espeak
quick-directions.that-way,tuota kautta,,tˈuota kˈautta,,2,fi-agent-v1;ipa=espeak
quick-directions.on-the-left,vasemmalla,,vˈasemmalla,,2,fi-agent-v1;ipa=espeak
quick-directions.on-the-right,oikealla,,ˈoikealla,,2,fi-agent-v1;ipa=espeak
quick-directions.across-from-here,vastapäätä,,vˈastapˌæːtæ,,2,fi-agent-v1;ipa=espeak
quick-directions.in-front,edessä,,ˈedessæ,,2,fi-agent-v1;ipa=espeak
quick-directions.behind,takana,,tˈakana,,2,fi-agent-v1;ipa=espeak
taxi.please-take-me-here,Viekää minut tähän osoitteeseen.,,vˈiekæː mˈinut tˈæhæn ˈosoittˌeːseːn,,2,fi-agent-v1;ipa=espeak
taxi.please-send-me-the-address,Lähettäisittekö minulle osoitteen?,,lˈæhettˌæisittˌekø mˈinulle ˈosoitteːn,,2,fi-agent-v1;ipa=espeak
taxi.we-need-the-east-gate-not-the-south-gate,"Tarvitsemme itäportin, ei eteläporttia.",,"tˈarvitsˌemme ˈitæpˌortin, ˈei ˈetelæpˌorttia",,2,fi-agent-v1;ipa=espeak
taxi.please-stop-here,Pysähtyisittekö tässä?,,pˈysæhtˌyisittˌekø tˈæssæ,,2,fi-agent-v1;ipa=espeak
taxi.can-you-wait-for-me-here,Voitteko odottaa minua tässä?,,vˈoitteko ˈodottaː mˈinua tˈæssæ,,2,fi-agent-v1;ipa=espeak
taxi.we-need-to-catch-the-high-speed-train,Meidän pitää ehtiä pikajunaan.,,mˈeidæm pˈitæː ˈehtiæ pˈikajunaːn,,2,fi-agent-v1;ipa=espeak
taxi.please-use-the-meter,Laittaisitteko taksamittarin päälle?,,lˈaittaisˌitteko tˈaksamˌittarim pˈæːlle,taksamittari is the Finnish word on the meter itself,2,fi-agent-v1;ipa=espeak
taxi.i-will-get-off-here,Jään tässä pois.,,jˈæːn tˈæssæ pˈois,,2,fi-agent-v1;ipa=espeak
transit-rides.two-tickets,Kaksi lippua.,,kˈaksi lˈippua,,2,fi-agent-v1;ipa=espeak
transit-rides.where-is-the-subway-station,Missä on metroasema?,,mˈissæ ˈon mˈetroˌasema,Helsinki has the only metro in Finland; elsewhere the question is about the rail station,2,fi-agent-v1;ipa=espeak
transit-rides.does-this-bus-train-go-to,Meneekö tämä bussi tai juna tänne: {}?,,mˈeneːkø tˈæmæ bˈussi tˈai jˈuna tˈænne {},mennä johonkin governs the illative,2,fi-agent-v1;ipa=espeak
transit-rides.what-is-the-next-stop,Mikä on seuraava pysäkki?,,mˈikæ ˈon sˈeuraːva pˈysækki,,2,fi-agent-v1;ipa=espeak
transit-rides.please-tell-me-where-to-get-off,"Sanoisitteko, missä pitää jäädä pois?",,"sˈanoisˌitteko, mˈissæ pˈitæː jˈæːdæ pˈois",,2,fi-agent-v1;ipa=espeak
transit-rides.is-this-direct,Meneekö tämä suoraan?,,mˈeneːkø tˈæmæ sˈuoraːn,,2,fi-agent-v1;ipa=espeak
transit-rides.do-i-need-to-transfer,Pitääkö vaihtaa?,,pˈitæːkø vˈaihtaː,,2,fi-agent-v1;ipa=espeak
transit-rides.is-it-delayed,Onko se myöhässä?,,ˈoŋko sˈe mˈyøhæssæ,,2,fi-agent-v1;ipa=espeak
transit-rides.i-am-in-a-hurry,Minulla on kiire.,,mˈinulla ˈoŋ kˈiːre,,2,fi-agent-v1;ipa=espeak
transit-rides.which-platform,Miltä laiturilta?,,mˈiltæ lˈaiturˌilta,,2,fi-agent-v1;ipa=espeak
transit-rides.what-time-is-the-next-one,Mihin aikaan menee seuraava?,,mˈihin ˈaikaːn mˈeneː sˈeuraːva,,2,fi-agent-v1;ipa=espeak
transit-rides.i-went-past-my-stop,Menin pysäkkini ohi.,,mˈenim pˈysækkˌini ˈohi,,2,fi-agent-v1;ipa=espeak
transit-rides.can-i-use-this-ticket,Käykö tämä lippu?,,kˈæykø tˈæmæ lˈippu,,2,fi-agent-v1;ipa=espeak
transit-rides.do-i-need-to-validate,Pitääkö tämä lippu leimata?,,pˈitæːkø tˈæmæ lˈippu lˈeimata,"leimata is what a Finnish ticket machine does; the question is about validating, not buying",2,fi-agent-v1;ipa=espeak
place-words.visitor-center,matkailuneuvonta,,mˈatkailunˌeuvonta,,2,fi-agent-v1;ipa=espeak
place-words.railway-station,rautatieasema,,rˈautatˌieasˌema,,2,fi-agent-v1;ipa=espeak
place-words.airport,lentoasema,,lˈentoˌasema,,2,fi-agent-v1;ipa=espeak
place-words.service-desk,palvelupiste,,pˈalvelupˌiste,,2,fi-agent-v1;ipa=espeak
place-words.bus-stop,bussipysäkki,,bˈussipysˌækki,,2,fi-agent-v1;ipa=espeak
place-words.luggage-storage,matkatavaroiden säilytys,,mˈatkatavarˌoiden sˈæilytys,,2,fi-agent-v1;ipa=espeak
place-words.tourist-spot-sightseeing-area,nähtävyys / matkailukohde,,nˈæhtævyːs / mˈatkailukˌohde,,2,fi-agent-v1;ipa=espeak
border-customs.i-am-a-tourist,Olen turisti.,,ˈolen tˈuristi,,2,fi-agent-v1;ipa=espeak
border-customs.here-is-my-passport,Tässä on passini.,,tˈæssæ ˈom pˈassini,,2,fi-agent-v1;ipa=espeak
border-customs.i-am-staying-for-days,Olen täällä {} päivää.,,ˈolen tˈæːllæ {} pˈæivæː,"the numeral governs the partitive singular, right from two up",2,fi-agent-v1;ipa=espeak
border-customs.nothing-to-declare,Ei tullattavaa.,,ˈei tˈullattavaː,the wording on the green channel sign,2,fi-agent-v1;ipa=espeak
border-customs.i-am-staying-at,Majoitun täällä: {}.,,mˈajoitun tˈæːllæ {},majoittua governs the inessive or adessive of a place name,2,fi-agent-v1;ipa=espeak
border-customs.i-am-here-for-business,Olen työmatkalla.,,ˈolen tˈyømatkalla,,2,fi-agent-v1;ipa=espeak
border-customs.i-have-a-return-ticket,Minulla on paluulippu.,,mˈinulla ˈom pˈaluːlˌippu,,2,fi-agent-v1;ipa=espeak
border-customs.i-am-visiting-family,Olen sukulaisvierailulla.,,ˈolen sˈukulˌaisvierˌailulla,,2,fi-agent-v1;ipa=espeak
border-customs.this-is-for-personal-use,Tämä on omaan käyttöön.,,tˈæmæ ˈon ˈomaːŋ kˈæyttøːn,,2,fi-agent-v1;ipa=espeak
border-customs.i-am-in-transit,Olen kauttakulkumatkalla.,,ˈoleŋ kˈauttakˌulkumˌatkalla,,2,fi-agent-v1;ipa=espeak
border-customs.i-have-in-cash,Minulla on käteistä {}.,,mˈinulla ˈoŋ kˈæteistæ {},,2,fi-agent-v1;ipa=espeak
border-customs.this-is-a-gift,Tämä on lahja.,,tˈæmæ ˈon lˈahja,,2,fi-agent-v1;ipa=espeak
border-customs.where-do-i-collect-my-baggage,Mistä matkatavarat noudetaan?,,mˈistæ mˈatkatˌavarat nˈoudetaːn,,2,fi-agent-v1;ipa=espeak
border-customs.how-long-may-i-stay,Kuinka kauan saan olla maassa?,,kˈuiŋka kˈauan sˈaːn ˈolla mˈaːssa,,2,fi-agent-v1;ipa=espeak
border-customs.i-have-a-connecting-flight,Minulla on jatkolento.,,mˈinulla ˈon jˈatkolˌento,,2,fi-agent-v1;ipa=espeak
border-customs.may-i-have-an-entry-stamp,Saisinko maahantuloleiman?,,sˈaisiŋko mˈaːhantulolˌeiman,,2,fi-agent-v1;ipa=espeak
border-customs.visa,viisumi,,vˈiːsumi,,2,fi-agent-v1;ipa=espeak
border-customs.i-have-no-food-or-plants,Minulla ei ole ruokaa eikä kasveja.,,mˈinulla ˈei ˈole rˈuokaː ˈeikæ kˈasveja,,2,fi-agent-v1;ipa=espeak
border-customs.passport-control,passintarkastus,,pˈassintˌarkastus,,2,fi-agent-v1;ipa=espeak
border-customs.customs,tulli,,tˈulli,,2,fi-agent-v1;ipa=espeak
border-customs.baggage-claim,matkatavaroiden luovutus,,mˈatkatavarˌoiden lˈuovutus,,2,fi-agent-v1;ipa=espeak
border-customs.customs-declaration,tulli-ilmoitus,,tˈulliilmoitus,,2,fi-agent-v1;ipa=espeak
border-customs.arrival-card,maahantulokortti,,mˈaːhantulokˌortti,,2,fi-agent-v1;ipa=espeak
border-customs.transit,kauttakulku,,kˈauttakˌulku,,2,fi-agent-v1;ipa=espeak
border-customs.boarding-pass,tarkastuskortti,,tˈarkastˌuskortti,,2,fi-agent-v1;ipa=espeak
pickup-meeting.where-is-the-pickup-point,Missä on noutopaikka?,,mˈissæ ˈon nˈoutopˌaikka,,2,fi-agent-v1;ipa=espeak
pickup-meeting.please-send-me-the-pickup-point,Lähettäisittekö noutopaikan?,,lˈæhettˌæisittˌekø nˈoutopˌaikan,,2,fi-agent-v1;ipa=espeak
pickup-meeting.please-pick-us-up-here,Noutaisitteko meidät tästä?,,nˈoutaisˌitteko mˈeidæt tˈæstæ,,2,fi-agent-v1;ipa=espeak
pickup-meeting.meet-us-at,Tavataan täällä: {}.,,tˈavataːn tˈæːllæ {},tavata jossakin governs a local case,2,fi-agent-v1;ipa=espeak
pickup-meeting.please-call-me-a-ride,Tilaisitteko minulle kyydin?,,tˈilaisˌitteko mˈinulle kˈyːdin,,2,fi-agent-v1;ipa=espeak
pickup-meeting.please-call-a-taxi,Tilaisitteko taksin?,,tˈilaisˌitteko tˈaksin,,2,fi-agent-v1;ipa=espeak
rail-station-words.high-speed-rail,pikajuna,Pendolino,pˈikajˌuna,Pendolino is what Finland's fastest trains are called,2,fi-agent-v1;ipa=espeak
rail-station-words.transfer,vaihto,,vˈaihto,,2,fi-agent-v1;ipa=espeak
rail-station-words.ticket-gate,lippuportti,,lˈippupˌortti,,2,fi-agent-v1;ipa=espeak
rail-station-words.platform,laituri,,lˈaituri,,2,fi-agent-v1;ipa=espeak
rail-station-words.ticket-office,lipunmyynti,,lˈipunmˌyːnti,,2,fi-agent-v1;ipa=espeak
rail-station-words.waiting-room,odotustila,,ˈodotˌustila,,2,fi-agent-v1;ipa=espeak
rail-station-words.train-number,junan numero,,jˈunan nˈumero,,2,fi-agent-v1;ipa=espeak
rail-station-words.carriage,vaunu,,vˈaunu,,2,fi-agent-v1;ipa=espeak
rail-station-words.seat,paikka,,pˈaikka,,2,fi-agent-v1;ipa=espeak
rail-station-words.last-train,viimeinen juna,,vˈiːmeinen jˈuna,,2,fi-agent-v1;ipa=espeak
rail-station-words.delayed,myöhässä,,mˈyøhæssæ,,2,fi-agent-v1;ipa=espeak
rail-station-words.final-stop,päätepysäkki,,pˈæːtepysˌækki,,2,fi-agent-v1;ipa=espeak
rail-station-words.ticket-validator,lipuntarkastin,,lˈipuntˌarkastin,the machine on a Helsinki tram or bus,2,fi-agent-v1;ipa=espeak
rail-station-words.fare,matkalipun hinta,,mˈatkalipun hˈinta,,2,fi-agent-v1;ipa=espeak
common-signs.open-on,auki / päällä,,ˈauki / pˈæːllæ,,2,fi-agent-v1;ipa=espeak
common-signs.closed-off,kiinni / pois,,kˈiːnni / pˈois,,2,fi-agent-v1;ipa=espeak
common-signs.occupied,varattu,,vˈarattu,,2,fi-agent-v1;ipa=espeak
common-signs.vacant,vapaa,,vˈapaː,,2,fi-agent-v1;ipa=espeak
common-signs.caution,varoitus,,vˈaroitus,,2,fi-agent-v1;ipa=espeak
common-signs.no-entry,pääsy kielletty,,pˈæːsy kˈielletty,,2,fi-agent-v1;ipa=espeak
common-signs.no-smoking,tupakointi kielletty,,tˈupakˌointi kˈielletty,,2,fi-agent-v1;ipa=espeak
common-signs.no-photography,valokuvaus kielletty,,vˈalokuvaus kˈielletty,,2,fi-agent-v1;ipa=espeak
common-signs.do-not-touch,älä koske,,ˈælæ kˈoske,,2,fi-agent-v1;ipa=espeak
common-signs.temporarily-closed,tilapäisesti suljettu,,tˈilapˌæisesti sˈuljettu,,2,fi-agent-v1;ipa=espeak
common-signs.open-operating,auki / toiminnassa,,ˈauki / tˈoiminnˌassa,,2,fi-agent-v1;ipa=espeak
common-signs.closed,suljettu,,sˈuljettu,,2,fi-agent-v1;ipa=espeak
common-signs.stopped-stop,pysähtynyt / seis,,pˈysæhtynyt / sˈeis,,2,fi-agent-v1;ipa=espeak
taxi.please-get-me-there-in-time-for-the-shinkansen,Viekää minut ajoissa Shinkansen-junaan.,,vˈiekæː mˈinut ˈajoissa ʃˈiŋkansenjunaːn,,2,fi-agent-v1;ipa=espeak
common-signs.pork-code,sianlihan koodit kylteissä,,sˈianlihaŋ kˈoːdit kˈylteissæ,"B1 = koira, B2 = sianliha",2,fi-agent-v1;ipa=espeak
rail-station-words.maglev,magneettijuna,,mˈaɡneːttˌijuna,,2,fi-agent-v1;ipa=espeak
place-words.scenic-area,nähtävyysalue,,nˈæhtævˌyːsalˌue,,2,fi-agent-v1;ipa=espeak
