section_id,title
social-basics,Sosyal + temel
communication,İletişim
quick-responses,Kısa yanıtlar
phone-translation,Telefonla çeviri
phone-text-power,"Telefon, yazı + şarj"
sim-data,"SIM, internet + Wi-Fi"
introductions,Tanışma
etiquette,Bahşiş + görgü
slang,Argo (samimi)
time-scheduling,Saat + randevu
time-words,Zaman sözcükleri
days-of-week,Haftanın günleri
months,Aylar
pronouns-verbs,Temel sözcük + kalıp
question-words,Soru + küçük sözcükler
payment-receipt,Ödeme + fiş
numbers-money,Sayılar + para
atm-cash,ATM + nakit
dietary-needs,Beslenme ihtiyaçları
utility-templates,Kullanışlı kalıplar
shopping,Alışveriş
color-size-returns,"Renk, beden + iade"
tax-refund,KDV iadesi
food-ordering,Yemek + sipariş
attractions-tickets,Gezi yerleri + bilet
children,Çocuklarla
directions,Yol tarifi
quick-directions,Kısa yol tarifi
taxi,Taksi
building-help,Bina içinde yardım
accessibility,Erişim + engelsizlik
transit-rides,Toplu taşıma + bilet
in-a-building,Bina içinde
toilets,Tuvaletler
building-words,Bina sözcükleri
hotel-words,Otel sözcükleri
hotel-basics,Otel temelleri
hotel-requests,Otelden istekler
room-problems,Oda sorunları
laundry,Çamaşır
place-words,Yer sözcükleri
border-customs,Sınır + gümrük
trail-words,Patika sözcükleri
pickup-meeting,Buluşma + araç alımı
rail-station-words,Tren + istasyon sözleri
common-signs,Yaygın tabelalar
weather,Hava + koşullar
hiking-parks,Doğa yürüyüşü + park
trail-conditions,Koşullar + rota
trail-transport,Ulaşım + hizmetler
trail-warnings,Patika uyarıları
trail-landmarks,Patika noktaları + hizmet
emergency-medical,Acil + tıbbi yardım
medical-conditions,Hastalık + ilaç
pharmacy-symptoms,Eczane + belirtiler
body-parts,Vücut bölümleri
lost-rescue,Kayıp eşya + kurtarma
police-consulate,Polis + konsolosluk
