concept_id,text,text_alt,ipa,literal,confidence,provenance
numbers-money.l-ng,không,0,xoŋ˧,,2,vi-agent-v1;ipa=espeak
numbers-money.y,một,1,mot̪˨˩ˀ,,2,vi-agent-v1;ipa=espeak
numbers-money.r,hai,2,haːj˧,,2,vi-agent-v1;ipa=espeak
numbers-money.s-n,ba,3,baː˧,,2,vi-agent-v1;ipa=espeak
numbers-money.s,bốn,4,bon˧˥,,2,vi-agent-v1;ipa=espeak
numbers-money.w,năm,5,nam˧,,2,vi-agent-v1;ipa=espeak
numbers-money.li,sáu,6,saw˧˥,,2,vi-agent-v1;ipa=espeak
numbers-money.q,bảy,7,baj˧˩˧,,2,vi-agent-v1;ipa=espeak
numbers-money.b,tám,8,t̪aːm˧˥,,2,vi-agent-v1;ipa=espeak
numbers-money.ji,chín,9,tʃin˧˥,,2,vi-agent-v1;ipa=espeak
numbers-money.sh,mười,10,myə̯j˨˩,,2,vi-agent-v1;ipa=espeak
numbers-money.y-b-i,một trăm,100,mot̪˨˩ˀ tʃam˧,,2,vi-agent-v1;ipa=espeak
numbers-money.y-qi-n,một nghìn,một ngàn,mot̪˨˩ˀ ŋin˨˩,,2,vi-agent-v1;ipa=espeak
numbers-money.y-w-n,mười nghìn,mười ngàn,myə̯j˨˩ ŋin˨˩,,2,vi-agent-v1;ipa=espeak
numbers-money.b-n,một nửa,rưỡi,mot̪˨˩ˀ nyə̯˧˩˧,,2,vi-agent-v1;ipa=espeak
atm-cash.where-is-an-atm,Máy ATM ở đâu ạ?,Cây ATM ở đâu ạ?,maj˧˥ aːteɛməː˨˩ əː˧˩˧ ɗəw˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.does-this-atm-take-foreign-cards,Máy này nhận thẻ nước ngoài không ạ?,,maj˧˥ naj˨˩ ɲən˨˩ˀ tɛ˧˩˧ nyə̯c˧˥ ŋwaːj˨˩ xoŋ˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.the-atm-kept-my-card,Máy nuốt thẻ của tôi,,maj˧˥ nuə̯t̪˧˥ tɛ˧˩˧ kuə̯˧˩˧ t̪oj˧,,2,vi-agent-v1;ipa=espeak
atm-cash.is-there-a-fee,Có mất phí không ạ?,,kɔ˧˥ mət̪˧˥ fi˧˥ xoŋ˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.the-card-was-declined,Thẻ bị từ chối,,tɛ˧˩˧ bi˨˩ˀ t̪y˨˩ tʃoj˧˥,,2,vi-agent-v1;ipa=espeak
atm-cash.what-is-the-exchange-rate,Tỷ giá bao nhiêu ạ?,,t̪i˧˩˧ zaː˧˥ baːw˧ ɲiɛ̯w˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.no-money-came-out,Máy không nhả tiền,,maj˧˥ xoŋ˧ ɲaː˧˩˧ t̪iɛ̯n˨˩,,2,vi-agent-v1;ipa=espeak
atm-cash.where-can-i-change-money,Đổi tiền ở đâu ạ?,,ɗoj˧˩˧ t̪iɛ̯n˨˩ əː˧˩˧ ɗəw˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.the-machine-is-out-of-service,Máy không hoạt động,,maj˧˥ xoŋ˧ hwaːt̪˨˩ˀ ɗoŋ˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.please-give-me-smaller-notes,Xin cho tôi tờ nhỏ hơn,,sin˧ tʃɔ˧ t̪oj˧ t̪əː˨˩ ɲɔ˧˩˧ həːn˧,,2,vi-agent-v1;ipa=espeak
atm-cash.do-you-have-change,Có tiền lẻ không ạ?,,kɔ˧˥ t̪iɛ̯n˨˩ lɛ˧˩˧ xoŋ˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
atm-cash.may-i-pay-in,Trả bằng {} được không ạ?,,tʃaː˧˩˧ baŋ˨˩ {} ɗyə̯c˨˩ˀ xoŋ˧ aː˨˩ˀ,,2,vi-agent-v1;ipa=espeak
