concept_id,text,text_alt,ipa,literal,confidence,provenance
introductions.my-name-is,Me llamo {},,me ʝˈamo {},,2,es-agent-v1;ipa=espeak
introductions.nice-to-meet-you,Mucho gusto,Encantado/a,mˈutʃo ɡˈusto,,2,es-agent-v1;ipa=espeak
introductions.what-is-your-name,¿Cómo se llama?,,kˈomo se ʝˈama,,2,es-agent-v1;ipa=espeak
introductions.we-are-traveling-together,Viajamos juntos,,bjaxˈamos xˈuntos,,2,es-agent-v1;ipa=espeak
introductions.this-is-my-friend,Es mi amigo,Es mi amiga,ˈes mi amˈiɡo,,2,es-agent-v1;ipa=espeak
introductions.i-am-from,Soy de {},,sˈoɪ dˈe {},,2,es-agent-v1;ipa=espeak
introductions.where-are-you-from,¿De dónde es usted?,,de dˈonde ˈes ustˈed,,2,es-agent-v1;ipa=espeak
introductions.how-are-you,¿Cómo está?,,kˈomo estˈa,,2,es-agent-v1;ipa=espeak
introductions.i-am-a-tourist,Soy turista,,sˈoɪ tuɾˈista,,2,es-agent-v1;ipa=espeak
introductions.this-is-my-husband-wife,Es mi esposo / esposa,Es mi marido / mujer,ˈes mi espˈoso / espˈosa,,2,es-agent-v1;ipa=espeak
introductions.this-is-my-daughter-son,Es mi hija / hijo,,ˈes mi ˈixa / ˈixo,,2,es-agent-v1;ipa=espeak
introductions.i-am-traveling-alone,Viajo solo/a,,bjˈaxo sˈolo / ˈa,,2,es-agent-v1;ipa=espeak
