concept_id,text,text_alt,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,Platba kartou?,,plˈadba kˈartoʊ,,2,cs-agent-v1;ipa=espeak
payment-receipt.pay-cash,Platba v hotovosti?,,plˈadba v hˈotovˌosci,,2,cs-agent-v1;ipa=espeak
payment-receipt.pay-by-qr-code,Platba QR kódem?,,plˈadba kvˈeːˌer kˈoːdem,,2,cs-agent-v1;ipa=espeak
payment-receipt.a-receipt-please,"Účtenku, prosím",,"ˈuːtʃteŋku, prˈosiːm",,2,cs-agent-v1;ipa=espeak
payment-receipt.please-write-the-number,"Napište mi tu částku, prosím",,"nˈapiʃte mi tˈu tʃˈaːstku, prˈosiːm",,2,cs-agent-v1;ipa=espeak
payment-receipt.how-much-in-total,Kolik to je celkem?,,kˈolik tˈo je tsˈelkem,,2,cs-agent-v1;ipa=espeak
payment-receipt.can-we-pay-separately,Můžeme platit zvlášť?,,mˈuːʒeme plˈacid zvlˈaːʃc,,2,cs-agent-v1;ipa=espeak
payment-receipt.is-tax-included,Je v ceně daň?,,je v tsˈeɲe dˈaɲ,,2,cs-agent-v1;ipa=espeak
payment-receipt.my-card-was-declined,Moje karta byla odmítnuta,,mˈoje kˈarta bˌila ˈodmiːtnˌuta,,2,cs-agent-v1;ipa=espeak
payment-receipt.the-bill-is-wrong,"Myslím, že účet nesouhlasí",,"mˈisliːm, ʒe ˈuːtʃet nˈesoʊhlˌasiː",,2,cs-agent-v1;ipa=espeak
payment-receipt.i-already-paid,Už jsem zaplatil / zaplatila,,ˈuʒ jsem zˈaplacil / zˈaplacˌila,zaplatil (male speaker) / zaplatila (female speaker) -- Czech past tense agrees with the subject's gender,2,cs-agent-v1;ipa=espeak
shopping.i-am-just-looking,Jen se dívám,,jˈen se ɟˈiːvaːm,,2,cs-agent-v1;ipa=espeak
shopping.how-much-is-this,Kolik to stojí?,,kˈolik tˈo stˈojiː,,2,cs-agent-v1;ipa=espeak
shopping.that-is-too-expensive,To je moc drahé,,tˈo je mˈodʑ drˈaheː,,2,cs-agent-v1;ipa=espeak
shopping.can-it-be-a-little-cheaper,Mohlo by to být trochu levnější?,,mˈohlo bi tˈo biːt trˈoxu lˈevɲejʃiː,,2,cs-agent-v1;ipa=espeak
shopping.is-there-a-discount,Je na to sleva?,,je nˈato slˈeva,,2,cs-agent-v1;ipa=espeak
shopping.where-do-i-pay,Kde mám zaplatit?,,ɡdˈe maːm zˈaplacit,,2,cs-agent-v1;ipa=espeak
shopping.i-will-take-this,Vezmu si tohle,,vˈezmu si tˈohle,,2,cs-agent-v1;ipa=espeak
shopping.what-is-this,Co to je?,,tsˈo tˈo je,,2,cs-agent-v1;ipa=espeak
shopping.where-can-i-buy,Kde mohu koupit {}?,,ɡdˈe mˈohu kˈoʊpit {},,2,cs-agent-v1;ipa=espeak
shopping.do-you-have-this-in-stock,Máte to skladem?,,mˌaːte tˈo sklˈadem,,2,cs-agent-v1;ipa=espeak
shopping.two-of-these,"Tyhle dvě, prosím",,"tˈihle dvjˈe, prˈosiːm",,2,cs-agent-v1;ipa=espeak
shopping.what-is-it-made-of,Z čeho je to vyrobené?,,s tʃˈeho je tˈo vˈirobˌeneː,,2,cs-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-color,Máte to v jiné barvě?,,mˌaːte tˈo v jˈineː bˈarvje,,2,cs-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-size,Máte to v jiné velikosti?,,mˌaːte tˈo v jˈineː vˈelikˌosci,,2,cs-agent-v1;ipa=espeak
color-size-returns.may-i-try-it-on,Mohu si to zkusit?,,mˈohu si tˈo skˈusit,,2,cs-agent-v1;ipa=espeak
color-size-returns.can-i-return-it,Mohu to vrátit?,,mˈohu tˈo vrˈaːcit,,2,cs-agent-v1;ipa=espeak
color-size-returns.can-i-exchange-it,Mohu to vyměnit?,,mˈohu tˈo vˈimɲeɲit,,2,cs-agent-v1;ipa=espeak
color-size-returns.do-you-have-a-bag,Máte tašku?,,mˌaːte tˈaʃku,,2,cs-agent-v1;ipa=espeak
tax-refund.can-i-get-a-tax-refund,Mohu dostat vrácení daně?,,mˈohu dˈostat vrˈaːtseɲiː dˈaɲe,,2,cs-agent-v1;ipa=espeak
tax-refund.is-tax-free-shopping-available,Je tu Tax Free?,,je tˈu tˈaks frˈee,"'Tax Free' is kept as the international loan term, as on Czech shop signage",2,cs-agent-v1;ipa=espeak
