concept_id,text,text_alt,ipa,literal,confidence,provenance
pronouns-verbs.i-me,minä / minut,,mˈinæ / mˈinut,nominative / accusative object,2,fi-agent-v1;ipa=espeak
pronouns-verbs.we-us,me / meidät,,mˈe / mˈeidæt,nominative / accusative object,2,fi-agent-v1;ipa=espeak
pronouns-verbs.you,sinä / sinut,,sˈinæ / sˈinut,"singular; the ordinary way to address one person in Finland, including a stranger",2,fi-agent-v1;ipa=espeak
pronouns-verbs.you-polite,te / teidät,,tˈe / tˈeidæt,"plural and polite; teitittely is still used with officials and older people, but Finnish is far less T-V bound than Slavic and 'sinä' is not rude",2,fi-agent-v1;ipa=espeak
pronouns-verbs.he-him,hän / hänet,,hˈæn / hˈænet,Finnish has no grammatical gender: hän is both he and she,2,fi-agent-v1;ipa=espeak
pronouns-verbs.she-her,hän / hänet,,hˈæn / hˈænet,the same word as 'he': Finnish has no grammatical gender,2,fi-agent-v1;ipa=espeak
pronouns-verbs.they-them,he / heidät,,hˈe / hˈeidæt,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.my-mine,minun,,mˈinun,genitive; the noun takes a possessive suffix too: minun passini 'my passport',2,fi-agent-v1;ipa=espeak
pronouns-verbs.your-yours,sinun,,sˈinun,genitive; sinun passisi 'your passport',2,fi-agent-v1;ipa=espeak
pronouns-verbs.be-called-call,olla nimeltään / kutsua,,ˈolla nˈimeltæːn / kˈutsua,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.have,minulla on,,mˈinulla ˈon,Finnish has no verb 'to have': literally 'at me is',2,fi-agent-v1;ipa=espeak
pronouns-verbs.do-not-have,minulla ei ole,,mˈinulla ˈei ˈole,literally 'at me is not',2,fi-agent-v1;ipa=espeak
pronouns-verbs.go,mennä,,mˈennæ,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.come,tulla,,tˈulla,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.would-like,haluaisin,,hˈaluˌaisin,conditional; the ordinary polite 'I would like',2,fi-agent-v1;ipa=espeak
pronouns-verbs.want,haluta,,hˈaluta,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.look-for,etsiä,,ˈetsiæ,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.buy,ostaa,,ˈostaː,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.like,pitää,,pˈitæː,takes the elative: pidän tästä 'I like this',2,fi-agent-v1;ipa=espeak
pronouns-verbs.need,tarvita,,tˈarvita,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.there-is-have,on,,ˈon,"existential: täällä on 'there is here', minulla on 'I have'",2,fi-agent-v1;ipa=espeak
pronouns-verbs.there-is-not-do-not-have,ei ole,,ˈei ˈole,,2,fi-agent-v1;ipa=espeak
pronouns-verbs.want-to-verb,haluan [tehdä],,hˈaluan tˈehdæ,the second verb stays in the first infinitive,2,fi-agent-v1;ipa=espeak
pronouns-verbs.want-thing,haluan [jotakin],,hˈaluan jˈotakin,the object is partitive for an unbounded amount: haluan kahvia,2,fi-agent-v1;ipa=espeak
pronouns-verbs.need-thing,tarvitsen [jotakin],,tˈarvitsen jˈotakin,tarvita always takes a partitive object,2,fi-agent-v1;ipa=espeak
pronouns-verbs.looking-for-thing,etsin [jotakin],,ˈetsin jˈotakin,,2,fi-agent-v1;ipa=espeak
question-words.what,mikä / mitä,,mˈikæ / mˈitæ,nominative / partitive,2,fi-agent-v1;ipa=espeak
question-words.where,missä,,mˈissæ,'in where'; mihin is 'to where' and mistä 'from where',2,fi-agent-v1;ipa=espeak
question-words.who,kuka,,kˈuka,,2,fi-agent-v1;ipa=espeak
question-words.which-one,mikä / kumpi,,mˈikæ / kˈumpi,kumpi is used when there are exactly two,2,fi-agent-v1;ipa=espeak
question-words.when,milloin,,mˈilloin,,2,fi-agent-v1;ipa=espeak
question-words.how,miten,,mˈiten,,2,fi-agent-v1;ipa=espeak
question-words.how-much-many,paljonko / kuinka monta,,pˈaljoŋko / kˈuiŋka mˈonta,uncountable / countable,2,fi-agent-v1;ipa=espeak
question-words.how-many,kuinka monta,,kˈuiŋka mˈonta,,2,fi-agent-v1;ipa=espeak
question-words.why,miksi,,mˈiksi,,2,fi-agent-v1;ipa=espeak
question-words.this,tämä,,tˈæmæ,,2,fi-agent-v1;ipa=espeak
question-words.that,tuo,,tˈuo,"tuo is 'that over there'; se is 'it, that one'",2,fi-agent-v1;ipa=espeak
question-words.here,täällä,,tˈæːllæ,,2,fi-agent-v1;ipa=espeak
question-words.there,tuolla,,tˈuolla,,2,fi-agent-v1;ipa=espeak
question-words.a-little,vähän,,vˈæhæn,,2,fi-agent-v1;ipa=espeak
question-words.some,vähän / muutama,,vˈæhæn / mˈuːtama,uncountable / countable,2,fi-agent-v1;ipa=espeak
question-words.very,todella,,tˈodella,,2,fi-agent-v1;ipa=espeak
question-words.too,liian,,lˈiːan,liian kallis 'too expensive',2,fi-agent-v1;ipa=espeak
question-words.also,myös,,mˈyøs,,2,fi-agent-v1;ipa=espeak
question-words.all-both,kaikki / molemmat,,kˈaikki / mˈolemmat,,2,fi-agent-v1;ipa=espeak
question-words.how-much-what-price,Paljonko se maksaa?,,pˈaljoŋko sˈe mˈaksaː,"the bare price question; shopping.how-much-is-this is the same question with tämä, said while pointing",2,fi-agent-v1;ipa=espeak
