section_id,title
social-basics,اجتماعی و پایه
communication,ارتباط
quick-responses,پاسخ‌های کوتاه
phone-translation,ترجمه با گوشی
phone-text-power,گوشی، پیام و برق
sim-data,سیم‌کارت، اینترنت و وای‌فای
introductions,معرفی
etiquette,انعام و آداب
slang,خودی (غیررسمی)
profanity,دشنام (تند)
time-scheduling,زمان و قرار
time-words,واژه‌های زمان
days-of-week,روزهای هفته
months,ماه‌ها
pronouns-verbs,واژه‌ها و الگوهای پایه
question-words,پرسش و واژه‌های کوچک
payment-receipt,پرداخت و رسید
numbers-money,عدد و پول
atm-cash,خودپرداز و پولِ نقد
dietary-needs,نیازهای غذایی
utility-templates,الگوهای پرکاربرد
shopping,خرید
color-size-returns,رنگ، سایز و پس دادن
tax-refund,بازگشتِ مالیات
food-ordering,غذا و سفارش
attractions-tickets,دیدنی‌ها و بلیت
children,با بچه
directions,نشانی و مسیر
quick-directions,مسیرِ کوتاه
taxi,تاکسی
building-help,کمک در ساختمان
accessibility,دسترسی و جابه‌جایی
transit-rides,حملِ عمومی و سفر
in-a-building,در ساختمان
toilets,دستشویی
building-words,واژه‌های ساختمان
hotel-words,واژه‌های هتل
hotel-basics,هتل، پایه
hotel-requests,درخواست از هتل
room-problems,مشکلِ اتاق
laundry,لباسشویی
place-words,واژه‌های مکان
border-customs,مرز و گمرک
trail-words,واژه‌های مسیر
pickup-meeting,سوار شدن و قرار
rail-station-words,قطار و ایستگاه
common-signs,تابلوهای رایج
weather,هوا و شرایط
hiking-parks,کوه‌پیمایی و پارک
trail-conditions,شرایط و مسیر
trail-transport,حمل‌ونقل و خدمات
trail-warnings,هشدارهای مسیر
trail-landmarks,نشانه‌ها و خدماتِ مسیر
emergency-medical,اورژانس و پزشکی
medical-conditions,بیماری و دارو
pharmacy-symptoms,داروخانه و نشانه‌ها
body-parts,اعضای بدن
lost-rescue,گمشده و نجات
police-consulate,پلیس، دزدی و کنسولگری
