concept_id,text,text_alt,ipa,literal,confidence,provenance
hotel-words.passport,pas,,pˈas,,2,cs-agent-v1;ipa=espeak
hotel-words.room-key-card,klíčová karta,,klˈiːtʃovaː kˈarta,,2,cs-agent-v1;ipa=espeak
hotel-words.check-in,check-in,přihlášení,xˈetskin,check-in is the ordinary word used at Czech hotel receptions,2,cs-agent-v1;ipa=espeak
hotel-words.check-out,check-out,odhlášení,xˈetskoʊt,,2,cs-agent-v1;ipa=espeak
hotel-words.luggage-storage,úschovna zavazadel,,ˈuːsxovna zˈavazˌadel,,2,cs-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,Máte volné pokoje?,,mˌaːte vˈolneː pˈokoje,,2,cs-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,Jsme dva,,jsme dvˈa,,2,cs-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,Mám rezervaci,,maːm rˈezervˌatsi,,2,cs-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,Mohu si tu nabít telefon?,,mˈohu si tˈu nˈabiːt tˈelefon,,2,cs-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Chtěl bych nekuřácký pokoj,,xcˈel bix nˈekur̝ˌaːtskiː pˈokoj,,2,cs-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Chtěl bych tichý pokoj,,xcˈel bix cˈixiː pˈokoj,,2,cs-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,Je tu pračka?,,je tˈu prˈatʃka,,2,cs-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,Je Wi-Fi zdarma?,,je vˈifi zdˈarma,,2,cs-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,Kolik to stojí za noc?,,kˈolik tˈo stˈojiː zˈanots,,2,cs-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,Je snídaně v ceně?,,je sɲˈiːdaɲe v tsˈeɲe,,2,cs-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,Mohu se podívat na pokoj?,,mˈohu se pˈoɟiːvat nˈapokoj,,2,cs-agent-v1;ipa=espeak
hotel-basics.for-nights,Na {} nocí,,na {} nˈotsiː,,2,cs-agent-v1;ipa=espeak
hotel-basics.two-beds,"Dvě postele, prosím",,"dvjˈe pˈostele, prˈosiːm",,2,cs-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,Je tu klimatizace?,,je tˈu klˈimatˌizatse,,2,cs-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,Mohu se odhlásit později?,,mˈohu se ˈothlaːsit pˈozɟeji,,2,cs-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,V kolik začíná snídaně?,,v kˈolik zˈatʃiːnaː sɲˈiːdaɲe,,2,cs-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,Mohu si tu nechat zavazadla?,,mˈohu si tˈu nˈexad zˈavazˌadla,,2,cs-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,Prosím neuklízet,,prˈosiːm nˈeʊkliːzet,,2,cs-agent-v1;ipa=espeak
hotel-requests.another-towel-please,"Ještě jeden ručník, prosím",,"jˈeʃce jˈeden rˈutʃɲiːk, prˈosiːm",,2,cs-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,V kolik je check-out?,,v kˈolik je xˈetskoʊt,,2,cs-agent-v1;ipa=espeak
hotel-requests.can-i-check-in-early,Mohu se ubytovat dříve?,,mˈohu se ˈubitˌovad dr̝ˈiːve,,2,cs-agent-v1;ipa=espeak
hotel-requests.another-night,Mohu zůstat ještě jednu noc?,,mˈohu zˈuːstat jˈeʃce jˈednu nˈots,,2,cs-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,Je tu trezor?,,je tˈu trˈezor,,2,cs-agent-v1;ipa=espeak
hotel-requests.another-blanket,"Ještě jednu deku, prosím",,"jˈeʃce jˈednu dˈeku, prˈosiːm",,2,cs-agent-v1;ipa=espeak
hotel-requests.wake-up-call,Vzbuďte mě prosím v {},,vzbˈucte mɲˈe prˈosiːm vˈeː {},,2,cs-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,Je problém s pokojem,,je prˈobleːm s pˈokojem,,2,cs-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,Klimatizace je rozbitá,,klˈimatˌizatse je rˈozbitaː,,2,cs-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,Není tu teplá voda,,nˈeɲiː tˈu tˈeplaː vˈoda,,2,cs-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,Mohu dostat jiný pokoj?,,mˈohu dˈostat jˈiniː pˈokoj,,2,cs-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,Pokoj je moc hlučný,,pˈokoj je mˈots hlˈutʃniː,,2,cs-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,Klíč nefunguje,,klˈiːtʃ nˈefuŋɡˌuje,,2,cs-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,Záchod nesplachuje,,zˈaːxod nˈesplaxˌuje,,2,cs-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,Světlo nefunguje,,svjˈetlo nˈefuŋɡˌuje,,2,cs-agent-v1;ipa=espeak
room-problems.please-send-someone,"Pošlete prosím někoho, aby to opravil",,"pˈoʃlete prˈosiːm ɲˈekoho, ˈabi tˈo ˈopravil",,2,cs-agent-v1;ipa=espeak
room-problems.the-heating-does-not-work,Topení nefunguje,,tˈopeɲiː nˈefuŋɡˌuje,,2,cs-agent-v1;ipa=espeak
laundry.please-wash-these-clothes,Vyperte prosím tyto věci,,vˈiperte prˈosiːm tˈito vjˈetsi,,2,cs-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,Kde je prádelna?,,ɡdˈe je prˈaːdelna,,2,cs-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,Kdy to bude hotové?,,ɡdˈi tˈo bˌude hˈotoveː,,2,cs-agent-v1;ipa=espeak
laundry.how-much-per-kilo,Kolik to stojí za kilo?,,kˈolik tˈo stˈojiː zˈakilo,,2,cs-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,Může to být hotové dnes?,,mˈuːʒe tˈo biːt hˈotoveː dnˈes,,2,cs-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,Nepoužívejte prosím bělidlo,,nˈepoʊʒˌiːveɪte prˈosiːm bjˈelidlo,,2,cs-agent-v1;ipa=espeak
laundry.laundromat,prádelna,,prˈaːdelna,,2,cs-agent-v1;ipa=espeak
laundry.please-iron-this,"Vyžehlete mi to, prosím",,"vˈiʒehlˌete mi tˈo, prˈosiːm",,2,cs-agent-v1;ipa=espeak
laundry.detergent,prací prášek,,prˈatsiː prˈaːʃek,,2,cs-agent-v1;ipa=espeak
laundry.dry-cleaning,chemické čištění,,xˈemitskeː tʃˈiʃceɲiː,,2,cs-agent-v1;ipa=espeak
laundry.dryer,sušička,,sˈuʃitʃka,,2,cs-agent-v1;ipa=espeak
laundry.coin-operated,na mince,,nˈamintse,,2,cs-agent-v1;ipa=espeak
massage-spa.please-stop,"Přestaňte, už nepokračujte",,"pr̝ˈestaɲte, ˈuʒ nˈepokrˌatʃujte","stop, do not continue -- prosím is deliberately absent, the row ends the session",2,spa-board-v1;cs-agent-v1;cs-masaz-lazenska-procedura;ipa=espeak
