concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,Քարտով կարելի՞ է։,,K’artov kareli e?,kʰartˈov kˌaɾelˈi ˈe,is it possible by card?,2,"Central Bank of Armenia (cba.am); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.pay-cash,Կանխիկով կարելի՞ է։,,Kankhikov kareli e?,kˌanxikˈov kˌaɾelˈi ˈe,is it possible in cash?,2,"Central Bank of Armenia (cba.am); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.pay-by-qr-code,QR կոդով կարելի՞ է։,,QR kodov kareli e?,kʰjuˈar kodˈov kˌaɾelˈi ˈe,is it possible by QR code? — QR is written in Latin letters in Armenia,2,"Central Bank of Armenia (cba.am); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak+loan"
payment-receipt.a-receipt-please,"Կտրոն, խնդրում եմ։",,"Ktron, khndrum yem.","kətɾˈon, xndɾˈum jˈem","a receipt, please",2,"Central Bank of Armenia (cba.am); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.please-write-the-number,"Խնդրում եմ, գրե՛ք թիվը։",,"Khndrum yem, grek’ t’ivy.","xndɾˈum jˈem, ɡəɾˈekʰ tʰˈivə",,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.how-much-in-total,Ընդհանուրը որքա՞ն է։,,Yndhanury vork’an e?,əndhanˈuɾə vorkʰˈan ˈe,how much is the total?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.can-we-pay-separately,Կարո՞ղ ենք առանձին վճարել։,,Karogh yenk’ arrandzin vcharel?,kaɾˌoʁ jenkʰ ˌarandzˈin vətʃaɾˈel,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.is-tax-included,Հարկը ներառվա՞ծ է։,,Harky nerarrvats e?,hˈarkə nˌeɾarvˈats ˈe,is the tax included?,2,"State Revenue Committee of the Republic of Armenia (src.am) traveller and customs guidance; Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.my-card-was-declined,Իմ քարտը մերժվեց։,,Im k’arty merzhvets’.,ˈim kʰˈartə merʒvˈetsʰ,,2,"Central Bank of Armenia (cba.am); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
payment-receipt.the-bill-is-wrong,Կարծում եմ՝ հաշիվը սխալ է։,,Kartsum yem: hashivy skhal e.,kartsˈum jˈem haʃˈivə səxˈal ˈe,I think — the bill is wrong; the բութ is what Armenian puts before a reported thought,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Aghayan, E. B., Ardi hayereni batsatrakan bararan (Explanatory Dictionary of Modern Armenian, Hayastan, Yerevan, 1976);ipa=espeak"
payment-receipt.i-already-paid,Ես արդեն վճարել եմ։,,Yes arden vcharel yem.,jes ardˈen vətʃaɾˈel jˈem,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
