concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
dietary-needs.no-meat,ხორცის გარეშე,,khortsis gareshe,,without meat,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.no-eggs,კვერცხის გარეშე,,kʼvertskhis gareshe,,without egg,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.not-spicy,არა ცხარე,,ara tskhare,,not spicy,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.less-spicy,ნაკლებად ცხარე,,nakʼlebad tskhare,,less spicy,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.no-peanuts,არაქისის გარეშე,,arakisis gareshe,,without peanut,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Food Agency of Georgia (nfa.gov.ge) food-labelling and allergen guidance"
dietary-needs.no-nuts,თხილეულის გარეშე,,tkhileulis gareshe,,without nuts,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Food Agency of Georgia (nfa.gov.ge) food-labelling and allergen guidance"
dietary-needs.no-seafood,ზღვის პროდუქტების გარეშე,,zghvis pʼroduktʼebis gareshe,,without seafood,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Food Agency of Georgia (nfa.gov.ge) food-labelling and allergen guidance"
dietary-needs.i-am-vegetarian,ვეგეტარიანელი ვარ,,vegetʼarianeli var,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.i-am-vegan,ვეგანი ვარ,,vegani var,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.i-do-not-eat,ამას არ ვჭამ: {},,amas ar vchʼam: {},,I do not eat this: {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.i-am-allergic-to,ალერგია მაქვს: {},,alergia makvs: {},,I have an allergy: {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); National Food Agency of Georgia (nfa.gov.ge) food-labelling and allergen guidance"
dietary-needs.does-it-contain-fish-stock,თევზის ნახარში აქვს?,,tevzis nakharshi akvs?,,does it have fish broth?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
dietary-needs.does-it-contain-pork-stock,ღორის ნახარში აქვს?,,ghoris nakharshi akvs?,,does it have pork broth?,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
