concept_id,respell
building-help.what-room-number-is-this,is KAM-reh kaa NUM-bar kyaa hai
accessibility.step-free,kyaa bi-NAA SEE-rhee kaa RAAS-taa hai
in-a-building.is-this-the-correct-entrance,kyaa ya-HEE sa-HEE get hai
toilets.where-toilet,BAATH-room ka-HAAN hai
building-words.elevator,lift
pronouns-verbs.i-me,main / mu-JHEH
question-words.what,kyaa
emergency-medical.help,ba-CHAA-oh
medical-conditions.i-am-diabetic,mu-JHEH daa-ya-BEE-teez hai
pharmacy-symptoms.which-pharmacy-is-open-now,a-BHEE kaun see da-VAA kee du-KAAN khu-LEE hai
body-parts.head,sir
lost-rescue.i-lost-my-passport,MEH-raa PAAS-port khoh ga-YAA hai
police-consulate.where-is-the-police-station,pu-LIS STEH-shan ka-HAAN hai
dietary-needs.no-meat,maans-mur-GEE-mach-LEE na-HEEN
food-ordering.table-for-two,doh LOH-gon kee TEH-bal
trail-words.trail,pag-DAN-dee
weather.forecast,MAW-sam kaa haal kyaa hai
hiking-parks.is-this-the-way-to,kyaa {} kaa RAAS-taa ya-HEE hai
trail-conditions.how-long-is-the-full-route,POO-raa RAAS-taa KIT-naa LAM-baa hai
trail-transport.how-long-is-the-queue,laain KIT-nee LAM-bee hai
trail-warnings.open,khu-LAA
trail-landmarks.trail-marker,RAAS-teh kaa ni-SHAAN
hotel-words.passport,PAAS-port
hotel-basics.are-any-rooms-available,kyaa KAM-raa KHAA-lee hai
hotel-requests.can-i-check-out-later,kyaa der seh chek-OWT hoh sak-TAA hai
room-problems.there-is-a-problem-with-the-room,KAM-reh mein ek DIK-kat hai
laundry.please-wash-these-clothes,yeh KAP-reh dhul-VAA DEE-ji-yeh
introductions.my-name-is,MEH-raa naam {} hai
numbers-money.l-ng,SHOON-ya
atm-cash.where-is-an-atm,ay-tee-EM ka-HAAN hai
attractions-tickets.where-can-i-buy-tickets,TI-kat ka-HAAN mi-LEH-gaa
payment-receipt.pay-by-card,kaard cha-LEH-gaa
shopping.i-am-just-looking,bas DEKH-naa hai
color-size-returns.do-you-have-another-color,kyaa DOOS-raa rang hai
tax-refund.can-i-get-a-tax-refund,kyaa taiks VAA-pas mi-LEH-gaa
social-basics.hello,na-MAS-teh
communication.i-do-not-speak-this-language,mu-JHEH yah BHAA-shaa na-HEEN AA-tee
quick-responses.please-go-ahead,KA-hi-yeh
phone-translation.i-am-using-phone-translation,fone seh a-nu-VAAD hoh ra-HAA hai
