concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
social-basics.hello,שלום,שָׁלוֹם,shalom,ʃalˈom,,2,he-agent-v1;ipa=bgn
social-basics.hello-polite,שלום רב,שָׁלוֹם רַב,shalom rav,ʃalˈom ʁˈav,greetings -- the formal shalom,2,he-agent-v1;ipa=bgn
social-basics.good-morning,בוקר טוב,בּוֹקֶר טוֹב,bóqer tov,bˈokeʁ tˈov,,2,he-agent-v1;ipa=bgn
social-basics.good-evening,ערב טוב,עֶרֶב טוֹב,‘érev tov,ˈeʁev tˈov,,2,he-agent-v1;ipa=bgn
social-basics.goodbye,להתראות,לְהִתְרָאוֹת,lehitraot,lehitʁaˈot,until we see each other,2,he-agent-v1;ipa=bgn
social-basics.thank-you,תודה,תּוֹדָה,toda,todˈa,,2,he-agent-v1;ipa=bgn
social-basics.you-are-welcome,בבקשה,בְּבַקָּשָׁה,bevaqasha,bevakaʃˈa,the same word as please,2,he-agent-v1;ipa=bgn
social-basics.excuse-me-sorry,סליחה,סְלִיחָה,seliẖa,selixˈa,,2,he-agent-v1;ipa=bgn
social-basics.sorry,אני מצטער,אֲנִי מִצְטַעֵר,ani mitsta‘er,anˈi mitstaˈeʁ,masculine; a woman says mitsta‘eret,2,he-agent-v1;ipa=bgn
social-basics.no-problem,אין בעיה,אֵין בְּעָיָה,eyn be‘aya,ejn beajˈa,,2,he-agent-v1;ipa=bgn
social-basics.i-do-not-know,אני לא יודע,אֲנִי לֹא יוֹדֵעַ,ani lo yodéa‘,anˈi lˈo jodˈea,masculine; a woman says yoda‘at,2,he-agent-v1;ipa=bgn
social-basics.good-night,לילה טוב,לַיְלָה טוֹב,láyla tov,lˈajla tˈov,,2,he-agent-v1;ipa=bgn
social-basics.okay-fine-i-am-okay,בסדר,בְּסֵדֶר,beséder,besˈedeʁ,,2,he-agent-v1;ipa=bgn
communication.i-do-not-speak-this-language,אני לא מדבר {target},אֲנִי לֹא מְדַבֵּר {target},ani lo medaber {target},anˈi lˈo medabˈeʁ {target},,2,he-agent-v1;ipa=bgn
communication.i-speak-only-a-little-of-this,אני מדבר קצת {target},אֲנִי מְדַבֵּר קְצָת {target},ani medaber qetsat {target},anˈi medabˈeʁ ketsˈat {target},,2,he-agent-v1;ipa=bgn
communication.do-you-speak-english,מדברים כאן {source}?,מְדַבְּרִים כָּאן {source}?,medabrim kan {source}?,medabʁˈim kˈan {source},is {source} spoken here?,2,he-agent-v1;ipa=bgn
communication.please-speak-more-slowly,אפשר לדבר יותר לאט?,אֶפְשָׁר לְדַבֵּר יוֹתֵר לְאַט?,efshar ledaber yoter le’at?,efʃˈaʁ ledabˈeʁ jotˈeʁ leˈat,is it possible to speak more slowly?,2,he-agent-v1;ipa=bgn
