concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,ይህ ስንተኛ ክፍል ነው?,,yih sintenya kifil new?,jɨh sɨntəɲa kɨfɨl nəw,,2,am-agent-v1;ipa=bgn-am
building-help.i-am-lost,ጠፍቻለሁ,,tʼefichallehu,tʼəfɨtʃalːəhu,I have got lost,2,am-agent-v1;ipa=bgn-am
building-help.where-is-reception,ሪሴፕሽን የት ነው?,,rīsēpishin yet new?,risepɨʃɨn jət nəw,,2,am-agent-v1;ipa=bgn-am
building-help.where-is-a-power-outlet,ኤሌክትሪክ መሰኪያ የት ነው?,,ēlēkitirīk mesekīya yet new?,ʔelekɨtɨrik məsəkija jət nəw,,2,am-agent-v1;ipa=bgn-am
in-a-building.is-this-the-correct-entrance,ትክክለኛው መግቢያ ይህ ነው?,,tikikilenyaw megbīya yih new?,tɨkɨkɨləɲaw məɡbija jɨh nəw,,2,am-agent-v1;ipa=bgn-am
in-a-building.do-you-have-wi-fi,ዋይፋይ አለ?,,wayfay āle?,wajfaj ʔalə,,2,am-agent-v1;ipa=bgn-am
in-a-building.what-is-the-wi-fi-password,የዋይፋይ የይለፍ ቃል ምን ነው?,,yewayfay yeyilef kʼal min new?,jəwajfaj jəjɨləf kʼal mɨn nəw,,2,am-agent-v1;ipa=bgn-am
in-a-building.which-floor,ስንተኛ ፎቅ?,,sintenya fokʼ?,sɨntəɲa fokʼ,,2,am-agent-v1;ipa=bgn-am
building-words.elevator,አሳንሰር,,āsanser,ʔasansər,,2,am-agent-v1;ipa=bgn-am
building-words.stairs,ደረጃ,,dereja,dərədʒa,,2,am-agent-v1;ipa=bgn-am
building-words.entrance,መግቢያ,,megbīya,məɡbija,,2,am-agent-v1;ipa=bgn-am
building-words.exit,መውጫ,,mewichʼa,məwɨtʃʼa,,2,am-agent-v1;ipa=bgn-am
building-words.men,ወንዶች,,wendoch,wəndotʃ,,2,am-agent-v1;ipa=bgn-am
building-words.women,ሴቶች,,sētoch,setotʃ,,2,am-agent-v1;ipa=bgn-am
building-words.door,በር,,ber,bər,,2,am-agent-v1;ipa=bgn-am
building-words.key,ቁልፍ,,kʼulif,kʼulɨf,,2,am-agent-v1;ipa=bgn-am
toilets.where-toilet,መጸዳጃ ቤት የት ነው?,,metsʼedaja bēt yet new?,məsʼədadʒa bet jət nəw,,2,am-agent-v1;ipa=bgn-am
toilets.where-public-toilet,የሕዝብ መጸዳጃ ቤት የት ነው?,,yehizb metsʼedaja bēt yet new?,jəhɨzb məsʼədadʒa bet jət nəw,,2,am-agent-v1;ipa=bgn-am
toilets.may-i-use-the-toilet,መጸዳጃ ቤት መጠቀም ይቻላል?,,metsʼedaja bēt metʼekʼem yichalal?,məsʼədadʒa bet mətʼəkʼəm jɨtʃalal,,2,am-agent-v1;ipa=bgn-am
toilets.is-it-only-for-customers,ለደንበኞች ብቻ ነው?,,ledenbenyoch bicha new?,lədənbəɲotʃ bɨtʃa nəw,,2,am-agent-v1;ipa=bgn-am
toilets.toilet-wc,መጸዳጃ ቤት,ሽንት ቤት,metsʼedaja bēt,məsʼədadʒa bet,,2,am-agent-v1;ipa=bgn-am
toilets.is-it-free,ነጻ ነው?,,netsʼa new?,nəsʼa nəw,,2,am-agent-v1;ipa=bgn-am
toilets.do-i-need-a-coin,ሳንቲም ያስፈልጋል?,,santīm yasfelligal?,santim jasfəlːɨɡal,,2,am-agent-v1;ipa=bgn-am
toilets.is-the-tap-water-safe-to-drink,የቧንቧ ውሃ ለመጠጥ ያስተማምናል?,,yebwanbwa wiha lemetʼetʼ yastemamnal?,jəbwanbwa wɨha ləmətʼətʼ jastəmamnal,is the pipe water trustworthy for drinking?,2,am-agent-v1;ipa=bgn-am
toilets.it-is-urgent,አስቸኳይ ነው,,āschekway new,ʔastʃəkwaj nəw,,2,am-agent-v1;ipa=bgn-am
toilets.may-i-have-the-toilet-key,የመጸዳጃ ቤት ቁልፍ አለዎት?,,yemetsʼedaja bēt kʼulif āllewot?,jəməsʼədadʒa bet kʼulɨf ʔalːəwot,,2,am-agent-v1;ipa=bgn-am
toilets.there-is-no-toilet-paper,ሶፍት የለም,,soft yellem,soft jəlːəm,,2,am-agent-v1;ipa=bgn-am
toilets.toilet-paper,ሶፍት,የመጸዳጃ ወረቀት,soft,soft,,2,am-agent-v1;ipa=bgn-am
toilets.it-is-out-of-order,አይሰራም,,āyiseram,ʔajɨsəram,,2,am-agent-v1;ipa=bgn-am
toilets.out-of-order,አይሰራም,,āyiseram,ʔajɨsəram,,2,am-agent-v1;ipa=bgn-am
toilets.mens-toilet,የወንዶች መጸዳጃ,,yewendoch metsʼedaja,jəwəndotʃ məsʼədadʒa,,2,am-agent-v1;ipa=bgn-am
toilets.womens-toilet,የሴቶች መጸዳጃ,,yesētoch metsʼedaja,jəsetotʃ məsʼədadʒa,,2,am-agent-v1;ipa=bgn-am
toilets.drinking-water,የመጠጥ ውሃ,,yemetʼetʼ wiha,jəmətʼətʼ wɨha,,2,am-agent-v1;ipa=bgn-am
toilets.not-for-drinking,ለመጠጥ አይሆንም,,lemetʼetʼ āyihonim,ləmətʼətʼ ʔajɨhonɨm,,2,am-agent-v1;ipa=bgn-am
toilets.accessible-toilet,ለአካል ጉዳተኞች መጸዳጃ,,leʼākal gudatenyoch metsʼedaja,ləʔakal ɡudatəɲotʃ məsʼədadʒa,,2,am-agent-v1;ipa=bgn-am
toilets.where-can-i-wash-my-hands,እጄን የት መታጠብ እችላለሁ?,,ijēn yet metatʼeb ichilallehu?,ʔɨdʒen jət mətatʼəb ʔɨtʃɨlalːəhu,,2,am-agent-v1;ipa=bgn-am
toilets.can-i-flush-the-paper,ወረቀቱን በውሃ መልቀቅ ይቻላል?,,werekʼetun bewiha melkʼekʼ yichalal?,wərəkʼətun bəwɨha məlkʼəkʼ jɨtʃalal,,2,am-agent-v1;ipa=bgn-am
toilets.is-there-a-toilet-on-board,በውስጡ መጸዳጃ ቤት አለ?,,bewistʼu metsʼedaja bēt āle?,bəwɨstʼu məsʼədadʒa bet ʔalə,,2,am-agent-v1;ipa=bgn-am
toilets.the-toilet-will-not-flush,መጸዳጃው ውሃ አይለቅም,,metsʼedajaw wiha āyilekʼim,məsʼədadʒaw wɨha ʔajɨləkʼɨm,,2,am-agent-v1;ipa=bgn-am
toilets.baby-change,የልጅ መቀየሪያ,,yelij mekʼeyerīya,jəlɨdʒ məkʼəjərija,,2,am-agent-v1;ipa=bgn-am
toilets.squat-toilet,ጉድጓድ መጸዳጃ,,gudgwad metsʼedaja,ɡudɡwad məsʼədadʒa,pit toilet,2,am-agent-v1;ipa=bgn-am
accessibility.step-free,ደረጃ የሌለው መግቢያ አለ?,,dereja yellēlew megbīya āle?,dərədʒa jəlːeləw məɡbija ʔalə,,2,am-agent-v1;ipa=bgn-am
accessibility.wheelchair-access,በተሽከርካሪ ወንበር መግባት ይቻላል?,,beteshkerkarī wenber megbat yichalal?,bətəʃkərkari wənbər məɡbat jɨtʃalal,,2,am-agent-v1;ipa=bgn-am
accessibility.elevator,አሳንሰር አለ?,,āsanser āle?,ʔasansər ʔalə,,2,am-agent-v1;ipa=bgn-am
accessibility.ramp,ማዘንበያ አለ?,,mazenbeya āle?,mazənbəja ʔalə,,2,am-agent-v1;ipa=bgn-am
accessibility.how-many-steps,ስንት ደረጃ አለ?,,sint dereja āle?,sɨnt dərədʒa ʔalə,,2,am-agent-v1;ipa=bgn-am
accessibility.cannot-climb-stairs,ደረጃ መውጣት አልችልም,,dereja mewitʼat ālchilim,dərədʒa məwɨtʼat ʔaltʃɨlɨm,,2,am-agent-v1;ipa=bgn-am
accessibility.need-to-sit-down,መቀመጥ ያስፈልገኛል,,mekʼemetʼ yasfelligennyal,məkʼəmətʼ jasfəlːɨɡəɲːal,,2,am-agent-v1;ipa=bgn-am
accessibility.accessible-restroom,ለአካል ጉዳተኞች መጸዳጃ አለ?,,leʼākal gudatenyoch metsʼedaja āle?,ləʔakal ɡudatəɲotʃ məsʼədadʒa ʔalə,,2,am-agent-v1;ipa=bgn-am
accessibility.station-assistance,በጣቢያው እርዳታ አለ?,,betʼabīyaw irdata āle?,bətʼabijaw ʔɨrdata ʔalə,,2,am-agent-v1;ipa=bgn-am
accessibility.help-me-carry,እባክዎ ይህን ልሸከም ይርዱኝ,,ibakwo yihin lishekem yirdunny,ʔɨbakwo jɨhɨn lɨʃəkəm jɨrduɲː,,2,am-agent-v1;ipa=bgn-am
accessibility.board-first,መጀመሪያ ልሳፈር?,,mejemmerīya lisafer?,mədʒəmːərija lɨsafər,,2,am-agent-v1;ipa=bgn-am
accessibility.door-width,በሩ ስንት ስፋት አለው?,,beru sint sifat āllew?,bəru sɨnt sɨfat ʔalːəw,,2,am-agent-v1;ipa=bgn-am
accessibility.wheelchair-width,ተሽከርካሪ ወንበሬ {} ሴንቲ ሜትር ስፋት አለው,,teshkerkarī wenberē {} sēntī mētir sifat āllew,təʃkərkari wənbəre {} senti metɨr sɨfat ʔalːəw,,2,am-agent-v1;ipa=bgn-am
accessibility.hard-of-hearing,መስማት ይቸግረኛል,,mesmat yichegrennyal,məsmat jɨtʃəɡrəɲːal,hearing troubles me,2,am-agent-v1;ipa=bgn-am
accessibility.speak-louder,እባክዎ ከፍ ብለው ይናገሩ,,ibakwo kef bilew yinnageru,ʔɨbakwo kəf bɨləw jɨnːaɡəru,,2,am-agent-v1;ipa=bgn-am
accessibility.visually-impaired,የማየት ችግር አለብኝ,,yemayet chigir āllebbinny,jəmajət tʃɨɡɨr ʔalːəbːɨɲː,I have a problem of seeing,2,am-agent-v1;ipa=bgn-am
