concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,با کارت می‌شود؟,,bā kārt mishavad?,bɑ kɑrt miʃavad,,2,fa-agent-v1;ipa=espeak
payment-receipt.pay-cash,نقدی می‌شود؟,,naqdi mishavad?,naqdi miʃavad,,2,fa-agent-v1;ipa=espeak
payment-receipt.pay-by-qr-code,با کدِ کیوآر می‌شود؟,,bā kod-e kiuār mishavad?,bɑ kode kivɑr miʃavad,,2,fa-agent-v1;ipa=espeak
payment-receipt.a-receipt-please,رسید لطفاً,,resid lotfan,resid lotfan,,2,fa-agent-v1;ipa=espeak
payment-receipt.please-write-the-number,لطفاً عدد را بنویسید,,lotfan ‘adad rā benevisid,lotfan adad rɑ benevisid,,2,fa-agent-v1;ipa=espeak
payment-receipt.how-much-in-total,جمعاً چند است؟,,jam‘an chand ast?,dʒamʔan tʃand ast,,2,fa-agent-v1;ipa=espeak
payment-receipt.can-we-pay-separately,می‌شود جدا حساب کنیم؟,,mishavad jodā hesāb konim?,miʃavad dʒodɑ hesɑb konim,,2,fa-agent-v1;ipa=espeak
payment-receipt.is-tax-included,مالیات حساب شده است؟,,māliyāt hesāb shode ast?,mɑliɑt hesɑb ʃode ast,,2,fa-agent-v1;ipa=espeak
payment-receipt.my-card-was-declined,کارتم رد شد,,kārtam rad shod,kɑrtam rad ʃod,,2,fa-agent-v1;ipa=espeak
payment-receipt.the-bill-is-wrong,فکر می‌کنم صورت‌حساب اشتباه است,,fekr mikonam surat-hesāb eshtebāh ast,fekr mikonam surathesɑb eʃtebɑh ast,,2,fa-agent-v1;ipa=espeak
payment-receipt.i-already-paid,قبلاً پرداخت کردم,,qablan pardākht kardam,qablan pardɑxt kardam,,2,fa-agent-v1;ipa=espeak
shopping.i-am-just-looking,فقط نگاه می‌کنم,,faqat negāh mikonam,faqat neɡɑh mikonam,,2,fa-agent-v1;ipa=espeak
shopping.how-much-is-this,این چند است؟,,in chand ast?,in tʃand ast,,2,fa-agent-v1;ipa=espeak
shopping.that-is-too-expensive,خیلی گران است,,kheyli gerān ast,xejli ɡerɑn ast,,2,fa-agent-v1;ipa=espeak
shopping.can-it-be-a-little-cheaper,کمی ارزان‌تر نمی‌شود؟,,kami arzān-tar nemishavad?,kami arzɑntar nemiʃavad,,2,fa-agent-v1;ipa=espeak
shopping.is-there-a-discount,تخفیف دارید؟,,takhfif dārid?,taxfif dɑrid,,2,fa-agent-v1;ipa=espeak
shopping.where-do-i-pay,کجا پرداخت کنم؟,,kojā pardākht konam?,kodʒɑ pardɑxt konam,,2,fa-agent-v1;ipa=espeak
shopping.i-will-take-this,همین را می‌خواهم,,hamin rā mikhāham,hamin rɑ mixɑham,,2,fa-agent-v1;ipa=espeak
shopping.what-is-this,این چیست؟,,in chist?,in tʃist,,2,fa-agent-v1;ipa=espeak
shopping.where-can-i-buy,کجا می‌توانم {} بخرم؟,,kojā mitavānam {} bekharam?,kodʒɑ mitavɑnam {} bexaram,,2,fa-agent-v1;ipa=espeak
shopping.do-you-have-this-in-stock,از این موجود دارید؟,,az in mowjud dārid?,az in modʒud dɑrid,,2,fa-agent-v1;ipa=espeak
shopping.two-of-these,دو تا از این لطفاً,,do tā az in lotfan,do tɑ az in lotfan,,2,fa-agent-v1;ipa=espeak
shopping.what-is-it-made-of,از چه چیزی ساخته شده؟,,az che chizi sākhte shode?,az tʃe tʃizi sɑxte ʃode,,2,fa-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-color,رنگِ دیگری دارید؟,,rang-e digari dārid?,ranɡe diɡari dɑrid,,2,fa-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-size,سایزِ دیگری دارید؟,,sāyz-e digari dārid?,sɑjze diɡari dɑrid,,2,fa-agent-v1;ipa=espeak
color-size-returns.may-i-try-it-on,می‌شود امتحانش کنم؟,,mishavad emtehānash konam?,miʃavad emtehɑnaʃ konam,,2,fa-agent-v1;ipa=espeak
color-size-returns.can-i-return-it,می‌شود پس بدهم؟,,mishavad pas bedaham?,miʃavad pas bedaham,,2,fa-agent-v1;ipa=espeak
color-size-returns.can-i-exchange-it,می‌شود عوض کنم؟,,mishavad ‘avaz konam?,miʃavad avaz konam,,2,fa-agent-v1;ipa=espeak
color-size-returns.do-you-have-a-bag,کیسه دارید؟,,kise dārid?,kise dɑrid,,2,fa-agent-v1;ipa=espeak
tax-refund.can-i-get-a-tax-refund,می‌شود مالیات را پس بگیرم؟,,mishavad māliyāt rā pas begiram?,miʃavad mɑliɑt rɑ pas beɡiram,,2,fa-agent-v1;ipa=espeak
tax-refund.is-tax-free-shopping-available,خریدِ معاف از مالیات دارید؟,,kharid-e mo‘āf az māliyāt dārid?,xaride moʔɑf az mɑliɑt dɑrid,,2,fa-agent-v1;ipa=espeak
