concept_id,text,text_alt,ipa,literal,confidence,provenance
pronouns-verbs.i-me,eu / mă,,jˈeʊ / mə,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.we-us,noi / ne,,nˈoj / ne,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.you,tu,,tˈu,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.you-polite,dumneavoastră,,dˈumneavˌɔastrə,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.he-him,el / îl,,jˈel / ɨl,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.she-her,ea / o,,jˈa / o,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.they-them,ei / ele,,jˈeɪ / jˈele,"ei is masculine or mixed, ele is feminine",2,ro-agent-v1;ipa=espeak
pronouns-verbs.my-mine,meu / mea,,mˈeu / mˈea,masculine / feminine agreement,2,ro-agent-v1;ipa=espeak
pronouns-verbs.your-yours,dumneavoastră,,dˈumneavˌɔastrə,"the polite possessive, invariant -- matches the pack's formal register default",2,ro-agent-v1;ipa=espeak
pronouns-verbs.be-called-call,a se numi / a chema,,a se numʲˈi / a kemˈa,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.have,a avea,,a avˈea,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.do-not-have,a nu avea,nu am,a nu avˈea,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.go,a merge,,a mˈerdʒe,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.come,a veni,,a venʲˈi,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.would-like,aș vrea,,ˈaʃ vrˈea,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.want,a vrea,,a vrˈea,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.look-for,a căuta,,a kˌəutˈa,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.buy,a cumpăra,,a kˌumpəɾˈa,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.like,a plăcea,,a plətʃˈea,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.need,a avea nevoie de,,a avˌea nevˈoje de,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.there-is-have,este / sunt,,jˈeste / sˈunt,singular / plural existential,2,ro-agent-v1;ipa=espeak
pronouns-verbs.there-is-not-do-not-have,nu este / nu sunt,,nu jˈeste / nu sˈunt,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.want-to-verb,vreau să + verb,aș vrea să + verb,vrˈeaw sə vˈerb,"Romanian has no infinitive here -- să plus a conjugated verb, not an infinitive",2,ro-agent-v1;ipa=espeak
pronouns-verbs.want-thing,vreau + lucru,aș vrea + lucru,vrˈeaw lˈukru,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.need-thing,am nevoie de + lucru,îmi trebuie + lucru,am nevˈoje de lˈukru,,2,ro-agent-v1;ipa=espeak
pronouns-verbs.looking-for-thing,caut + lucru,,kaˈut lˈukru,,2,ro-agent-v1;ipa=espeak
question-words.what,ce,,tʃˈe,,2,ro-agent-v1;ipa=espeak
question-words.where,unde,,ˈunde,,2,ro-agent-v1;ipa=espeak
question-words.who,cine,,tʃˈine,,2,ro-agent-v1;ipa=espeak
question-words.which-one,care,,kˌaɾe,,2,ro-agent-v1;ipa=espeak
question-words.when,când,,kɨnd,,2,ro-agent-v1;ipa=espeak
question-words.how,cum,,kˈum,,2,ro-agent-v1;ipa=espeak
question-words.how-much-many,cât,,kˈɨt,,2,ro-agent-v1;ipa=espeak
question-words.how-many,câți,,kˈɨtsʲ,masculine plural agreement,2,ro-agent-v1;ipa=espeak
question-words.why,de ce,,de tʃˈe,,2,ro-agent-v1;ipa=espeak
question-words.this,acesta,aceasta,atʃˈesta,masculine / feminine,2,ro-agent-v1;ipa=espeak
question-words.that,acela,aceea,atʃˈela,masculine / feminine,2,ro-agent-v1;ipa=espeak
question-words.here,aici,,aˈitʃʲ,,2,ro-agent-v1;ipa=espeak
question-words.there,acolo,,akˈolo,,2,ro-agent-v1;ipa=espeak
question-words.a-little,puțin,,putsˈin,,2,ro-agent-v1;ipa=espeak
question-words.some,niște,,nˌiʃte,,2,ro-agent-v1;ipa=espeak
question-words.very,foarte,,fˈɔarte,,2,ro-agent-v1;ipa=espeak
question-words.too,prea,,prˈea,,2,ro-agent-v1;ipa=espeak
question-words.also,de asemenea,,de asˈemenˌea,,2,ro-agent-v1;ipa=espeak
question-words.all-both,tot / amândoi,,tˈot / ˌamɨndˈoj,,2,ro-agent-v1;ipa=espeak
question-words.how-much-what-price,Cât costă?,,kˈɨt kˈostə,,2,ro-agent-v1;ipa=espeak
