concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
directions.where-is,{} ਕਿੱਥੇ ਹੈ?,,{} kitthē hai?,{} kɪttʰe hɛ,where is {}?,2,pa-agent-v1;ipa=espeak
directions.how-do-i-get-to,{} ਕਿਵੇਂ ਜਾਈਏ?,,{} kivēṁ jāīē?,{} kɪʋẽ ɟaie,how should one go {}?,2,pa-agent-v1;ipa=espeak
directions.is-it-far,ਦੂਰ ਹੈ?,,dūr hai?,duɾ hɛ,is it far?,2,pa-agent-v1;ipa=espeak
directions.how-long-on-foot,ਪੈਦਲ ਕਿੰਨਾ ਵੇਲਾ ਲੱਗੇਗਾ?,,paidal kiṁnā vēlā laggēgā?,pɛdəl kɪnna ʋela ləɡɡeɡa,how much time on foot?,2,pa-agent-v1;ipa=espeak
directions.please-show-me-on-the-map,ਨਕਸ਼ੇ ਉੱਤੇ ਦਿਖਾਓ ਜੀ,,nakaśē uttē dikhāō jī,nʌkəʃe ʊtte dɪkʰao ɟi,show me on the map,2,pa-agent-v1;ipa=espeak
directions.where-is-the-nearest,ਸਭ ਤੋਂ ਨੇੜੇ {} ਕਿੱਥੇ ਹੈ?,,sabh tōṁ nēṛē {} kitthē hai?,sʌ˥b tõ neɽe {} kɪttʰe hɛ,where is the nearest {}?,2,pa-agent-v1;ipa=espeak
directions.where-am-i,ਮੈਂ ਕਿੱਥੇ ਹਾਂ?,,maiṁ kitthē hāṁ?,mɛ̃ kɪttʰe hã,,2,pa-agent-v1;ipa=espeak
directions.which-way,ਕਿਹੜੇ ਪਾਸੇ?,,kihaṛē pāsē?,kɪhəɽe pase,which side?,2,pa-agent-v1;ipa=espeak
directions.can-i-walk-there,ਪੈਦਲ ਜਾ ਸਕਦੇ ਹਾਂ?,,paidal jā sakadē hāṁ?,pɛdəl ɟa sʌkəde hã,can one go on foot?,2,pa-agent-v1;ipa=espeak
directions.how-far-is-it,ਕਿੰਨੀ ਦੂਰ ਹੈ?,,kiṁnī dūr hai?,kɪnni duɾ hɛ,how far is it?,2,pa-agent-v1;ipa=espeak
directions.which-exit,ਕਿਹੜਾ ਬਾਹਰ ਜਾਣ ਵਾਲਾ ਰਾਹ?,,kihaṛā bāhar jāṇ vālā rāh?,kɪhəɽa bahəɾ ɟaɳ ʋala ɾa˥,which way out?,2,pa-agent-v1;ipa=espeak
directions.can-you-show-me-the-way,ਤੁਸੀਂ ਮੈਨੂੰ ਰਾਹ ਦਿਖਾ ਦਿਓਗੇ?,,tusīṁ mainūṁ rāh dikhā diōgē?,tʊsĩ mɛnũ ɾa˥ dɪkʰa dɪoɡe,will you show me the way?,2,pa-agent-v1;ipa=espeak
directions.north,ਉੱਤਰ,,uttar,ʊttəɾ,,2,pa-agent-v1;ipa=espeak
directions.south,ਦੱਖਣ,,dakkhaṇ,dʌkkʰəɳ,,2,pa-agent-v1;ipa=espeak
