concept_id,text,text_alt,romanization_pinyin,ipa,literal,confidence,provenance
pronouns-verbs.i-me,我,,wǒ,wɔ˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.what,什么,,shénme,ʂən˧˥mɤ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.we-us,我们,,wǒmen,wɔ˧˩˧mən,,2,latex-reference-v2;ipa=pinyin
question-words.where,哪里,,nǎlǐ,na˧˩˧li˧˩˧,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.you,你,,nǐ,ni˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.who,谁,,shéi,ʂeɪ˧˥,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.you-polite,您,,nín,nin˧˥,,2,latex-reference-v2;ipa=pinyin
question-words.which-one,哪个,,nǎge,na˧˩˧kɤ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.he-him,他,,tā,tʰa˥,,2,latex-reference-v2;ipa=pinyin
question-words.when,什么时候,,shénme shíhou,ʂən˧˥mɤ ʂɨ˧˥xoʊ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.she-her,她,,tā,tʰa˥,,2,latex-reference-v2;ipa=pinyin
question-words.how,怎么,,zěnme,tsən˧˩˧mɤ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.they-them,他们,,tāmen,tʰa˥mən,,2,latex-reference-v2;ipa=pinyin
question-words.how-much-many,多少,,duōshao,twɔ˥ʂɑʊ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.my-mine,我的,,wǒ de,wɔ˧˩˧ tɤ,,2,latex-reference-v2;ipa=pinyin
question-words.how-many,几,,jǐ,tɕi˧˩˧,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.your-yours,你的,,nǐ de,ni˧˩˧ tɤ,,2,latex-reference-v2;ipa=pinyin
question-words.why,为什么,,wèishénme,weɪ˥˩ʂən˧˥mɤ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.be-called-call,叫,,jiào,tɕjɑʊ˥˩,,2,latex-reference-v2;ipa=pinyin
question-words.this,这个,,zhège,ʈʂɤ˥˩kɤ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.have,有,,yǒu,joʊ˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.that,那个,,nàge,na˥˩kɤ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.do-not-have,没有,,méiyǒu,meɪ˧˥joʊ˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.here,这里,,zhèlǐ,ʈʂɤ˥˩li˧˩˧,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.go,去,,qù,tɕʰy˥˩,,2,latex-reference-v2;ipa=pinyin
question-words.there,那里,,nàlǐ,na˥˩li˧˩˧,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.come,来,,lái,laɪ˧˥,,2,latex-reference-v2;ipa=pinyin
question-words.a-little,一点儿,,yìdiǎnr,i˥˩tjɛn˧˩˧ɻ,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.would-like,想,,xiǎng,ɕjɑŋ˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.some,一些,,yìxiē,i˥˩ɕjɛ˥,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.want,要,,yào,jɑʊ˥˩,,2,latex-reference-v2;ipa=pinyin
question-words.very,很,,hěn,xən˧˩˧,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.look-for,找,,zhǎo,ʈʂɑʊ˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.too,太,,tài,tʰaɪ˥˩,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.buy,买,,mǎi,maɪ˧˩˧,,2,latex-reference-v2;ipa=pinyin
question-words.also,也,,yě,jɛ˧˩˧,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.like,喜欢,,xǐhuan,ɕi˧˩˧xwan,,2,latex-reference-v2;ipa=pinyin
question-words.all-both,都,,dōu,toʊ˥,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.need,需要,,xūyào,ɕy˥jɑʊ˥˩,,2,latex-reference-v2;ipa=pinyin
pronouns-verbs.there-is-have,有,,yǒu,joʊ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pronouns-verbs.there-is-not-do-not-have,没有,,méiyǒu,meɪ˧˥joʊ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pronouns-verbs.want-to-verb,想,,xiǎng,ɕjɑŋ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pronouns-verbs.want-thing,要,,yào,jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pronouns-verbs.need-thing,需要,,xūyào,ɕy˥jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
question-words.how-much-what-price,多少钱,,duōshao qián,twɔ˥ʂɑʊ tɕʰjɛn˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
pronouns-verbs.looking-for-thing,找,,zhǎo,ʈʂɑʊ˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
