concept_id,text,text_alt,ipa,literal,confidence,provenance
directions.where-is,Dov'è {}?,,dovˈɛ {},,2,it-agent-v1;ipa=espeak
directions.how-do-i-get-to,Come si arriva a {}?,,kˌome sɪ arɾˈiva ˈaː {},,2,it-agent-v1;ipa=espeak
directions.is-it-far,È lontano?,,e lontˈano,,2,it-agent-v1;ipa=espeak
directions.how-long-on-foot,Quanto ci vuole a piedi?,,kwˈanto tʃɪ vʊˌɔle a pjˈedɪ,,2,it-agent-v1;ipa=espeak
quick-directions.go-straight,Sempre dritto,Vada dritto,sˈɛmpre drˈitto,,2,it-agent-v1;ipa=espeak
quick-directions.turn-left,Giri a sinistra,,dʒˈirɪ a sinˈistra,,2,it-agent-v1;ipa=espeak
quick-directions.turn-right,Giri a destra,,dʒˈirɪ a dˈɛstra,,2,it-agent-v1;ipa=espeak
quick-directions.this-way,Da questa parte,,da kwˌɛsta pˈarte,,2,it-agent-v1;ipa=espeak
quick-directions.that-way,Da quella parte,,da kwˌɛlla pˈarte,,2,it-agent-v1;ipa=espeak
quick-directions.on-the-left,A sinistra,,a sinˈistra,,2,it-agent-v1;ipa=espeak
quick-directions.on-the-right,A destra,,a dˈɛstra,,2,it-agent-v1;ipa=espeak
quick-directions.across-from-here,Di fronte,,dɪ frˈonte,,2,it-agent-v1;ipa=espeak
quick-directions.in-front,Davanti,,davˈantɪ,,2,it-agent-v1;ipa=espeak
quick-directions.behind,Dietro,,djˈɛtro,,2,it-agent-v1;ipa=espeak
taxi.please-take-me-here,"Mi porti qui, per favore",,"mɪ pˈɔrtɪ kwˈi, per favˈore",,2,it-agent-v1;ipa=espeak
taxi.please-send-me-the-address,"Mi mandi l'indirizzo, per favore",,"mɪ mˈandɪ lindirˈitstso, per favˈore",,2,it-agent-v1;ipa=espeak
taxi.we-need-the-east-gate-not-the-south-gate,"Ci serve l'ingresso est, non l'ingresso sud",,"tʃɪ sˈɛrve liŋɡrˈɛsso ˈest, non liŋɡrˈɛsso sˈud",,2,it-agent-v1;ipa=espeak
taxi.please-stop-here,"Si fermi qui, per favore",,"sɪ fˈermɪ kwˈi, per favˈore",,2,it-agent-v1;ipa=espeak
taxi.can-you-wait-for-me-here,Mi può aspettare qui?,,mɪ pʊˈɔ aspettˈare kwˈi,,2,it-agent-v1;ipa=espeak
taxi.we-need-to-catch-the-high-speed-train,Dobbiamo prendere il treno ad alta velocità,,dobbjˈamo prˈɛndere il trˈɛno ad ˈalta velotʃitˈa,,2,it-agent-v1;ipa=espeak
taxi.please-use-the-meter,"Accenda il tassametro, per favore",,"atʃtʃˈɛnda il tassˈametro, per favˈore",,2,it-agent-v1;ipa=espeak
transit-rides.two-tickets,"Due biglietti, per favore",,"dˈue biʎˈettɪ, per favˈore",,2,it-agent-v1;ipa=espeak
transit-rides.where-is-the-subway-station,Dov'è la stazione della metro?,,dovˈɛ la statsiˈone dˌella mˈetro,,2,it-agent-v1;ipa=espeak
transit-rides.does-this-bus-train-go-to,Questo autobus o treno va a {}?,,kwˌɛsto ˈaːʊtobʊs o trˈɛno vˈa ˈaː {},,2,it-agent-v1;ipa=espeak
transit-rides.what-is-the-next-stop,Qual è la prossima fermata?,,kwˈal e la prˈɔssima fermˈata,,2,it-agent-v1;ipa=espeak
transit-rides.please-tell-me-where-to-get-off,"Mi dica dove devo scendere, per favore",,"mɪ dˈika dˈove dˈɛvo ʃˈɛndere, per favˈore",,2,it-agent-v1;ipa=espeak
transit-rides.is-this-direct,È diretto?,,e dirˈɛtto,,2,it-agent-v1;ipa=espeak
transit-rides.do-i-need-to-transfer,Devo cambiare?,,dˈɛvo kambjˈare,,2,it-agent-v1;ipa=espeak
transit-rides.is-it-delayed,È in ritardo?,,e in ritˈardo,,2,it-agent-v1;ipa=espeak
transit-rides.i-am-in-a-hurry,Ho fretta,,o frˈetta,,2,it-agent-v1;ipa=espeak
transit-rides.which-platform,Quale binario?,,kwˈale binˈario,,2,it-agent-v1;ipa=espeak
transit-rides.what-time-is-the-next-one,A che ora c'è il prossimo?,,a ke ˈora tʃe il prˈɔssimo,,2,it-agent-v1;ipa=espeak
transit-rides.i-went-past-my-stop,Ho passato la mia fermata,,o passˈato la mˌia fermˈata,,2,it-agent-v1;ipa=espeak
place-words.visitor-center,centro visitatori,ufficio informazioni,tʃˈɛntro vizitatˈorɪ,,2,it-agent-v1;ipa=espeak
place-words.railway-station,stazione ferroviaria,,statsiˈone ferɾovjˈaria,,2,it-agent-v1;ipa=espeak
place-words.airport,aeroporto,,aeropˈɔrto,,2,it-agent-v1;ipa=espeak
place-words.service-desk,banco informazioni,accoglienza,bˈanko informatsiˈonɪ,,2,it-agent-v1;ipa=espeak
place-words.bus-stop,fermata dell'autobus,,fermˈata dellˈaːʊtobʊs,,2,it-agent-v1;ipa=espeak
place-words.luggage-storage,deposito bagagli,,depˈɔzito baɡˈaʎɪ,,2,it-agent-v1;ipa=espeak
pickup-meeting.where-is-the-pickup-point,Dov'è il punto di ritrovo?,,dovˈɛ il pˈunto dɪ ritrˈɔvo,,2,it-agent-v1;ipa=espeak
pickup-meeting.please-send-me-the-pickup-point,Mi mandi il punto di ritrovo,,mɪ mˈandɪ il pˈunto dɪ ritrˈɔvo,,2,it-agent-v1;ipa=espeak
pickup-meeting.please-pick-us-up-here,Ci venga a prendere qui,,tʃɪ vˈeŋɡa a prˈɛndere kwˈi,,2,it-agent-v1;ipa=espeak
pickup-meeting.meet-us-at,Ci vediamo a {},,tʃɪ vedjˈamo ˈaː {},,2,it-agent-v1;ipa=espeak
