concept_id,text,text_alt,romanization_national,ipa,literal,confidence,provenance
introductions.my-name-is,მე მქვია {},,me mkvia {},,I am called {},2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.nice-to-meet-you,სასიამოვნოა,სასიამოვნოა თქვენი გაცნობა,sasiamovnoa,,it is pleasant,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.what-is-your-name,რა გქვიათ?,,ra gkviat?,,what are you called? (polite),2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.we-are-traveling-together,ჩვენ ერთად ვმოგზაურობთ,,chven ertad vmogzaurobt,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.this-is-my-friend,ეს ჩემი მეგობარია,,es chemi megobaria,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.i-am-from,ჩემი ქვეყანა: {},ჩემი ქალაქი: {},chemi kveqʼana: {},,"my country: {} — apposition, because the ablative is not an appendable suffix",2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.where-are-you-from,საიდან ხართ?,,saidan khart?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.how-are-you,როგორ ხართ?,,rogor khart?,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.i-am-a-tourist,ტურისტი ვარ,,tʼuristʼi var,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.this-is-my-husband-wife,ეს ჩემი ქმარია / ცოლია,,es chemi kmaria / tsolia,,this is my husband / wife,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.this-is-my-daughter-son,ეს ჩემი ქალიშვილია / ვაჟია,,es chemi kalishvilia / vazhia,,this is my daughter / son,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
introductions.i-am-traveling-alone,მარტო ვმოგზაურობ,,martʼo vmogzaurob,,,2,"Rayfield et al. (eds.), A Comprehensive Georgian-English Dictionary (Garnett Press, 2006); Hewitt, B. G., Georgian: A Structural Reference Grammar (John Benjamins, 1995)"
