concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,ຈ່າຍດ້ວຍບັດໄດ້ບໍ່,,chaydouaybatdaibo,caːj˧dua̯j˥˨bat˧˥daj˥˨bɔː˧,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.pay-cash,ຈ່າຍເງິນສົດໄດ້ບໍ່,,chayngeunsôtdaibo,caːj˧ŋɤn˧˥sot˧˥daj˥˨bɔː˧,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.pay-by-qr-code,ຈ່າຍດ້ວຍຄິວອາໂຄດໄດ້ບໍ່,,chaydouaykhiouakhôtdaibo,caːj˧dua̯j˥˨kʰiw˧˥ʔaː˩kʰoːt˥˨daj˥˨bɔː˧,a Lao shop is far more likely to take a QR code than a card,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.a-receipt-please,ຂໍໃບບິນ,,khobaibin,kʰɔː˩baj˩bin˩,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.please-write-the-number,ກະລຸນາຂຽນເລກ,,kalounakhianlék,kaʔ˧˥luʔ˧naː˧˥kʰia̯n˩leːk˥˨,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.how-much-in-total,ທັງໝົດເທົ່າໃດ,,thangmôtthaodai,tʰaŋ˧˥mot˧˥tʰaw˧daj˩,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.can-we-pay-separately,ຈ່າຍແຍກກັນໄດ້ບໍ່,,chaygnèkkandaibo,caːj˧ɲɛːk˥˨kan˩daj˥˨bɔː˧,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.is-tax-included,ລວມພາສີແລ້ວບໍ່,,louamphasilèobo,lua̯m˧˥pʰaː˧˥siː˩lɛːw˥˨bɔː˧,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.my-card-was-declined,ບັດຂອງຂ້ອຍໃຊ້ບໍ່ໄດ້,,batkhongkhoyxaibodai,bat˧˥kʰɔːŋ˩kʰɔːj˧˩saj˥˨bɔː˧daj˥˨,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.the-bill-is-wrong,ຂ້ອຍຄິດວ່າໃບບິນຜິດ,,khoykhitvabaibinphit,kʰɔːj˧˩kʰit˧waː˧baj˩bin˩pʰit˧˥,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices, Lao State Railway station boards);ipa=lo-g2p"
payment-receipt.i-already-paid,ຂ້ອຍຈ່າຍແລ້ວ,,khoychaylèo,kʰɔːj˧˩caːj˧lɛːw˥˨,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
shopping.i-am-just-looking,ຂ້ອຍພຽງແຕ່ເບິ່ງ,,khoyphiangtèbeung,kʰɔːj˧˩pʰia̯ŋ˧˥tɛː˧bɤŋ˧,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
shopping.how-much-is-this,ອັນນີ້ເທົ່າໃດ,,annithaodai,ʔan˩niː˥˨tʰaw˧daj˩,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
