concept_id,text,text_alt,ipa,literal,confidence,provenance
emergency-medical.help,ជួយ!,,tɕuəj,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.please-call-an-ambulance,សូមហៅរថយន្តសង្គ្រោះបន្ទាន់,,soːm haw rɔːtjun sɑŋkruəhbɑntoan,,2,"Cambodian Red Cross first-aid public wording; Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-need-a-doctor,ខ្ញុំត្រូវការគ្រូពេទ្យ,,kʰɲom trəwkaː kruːpɛːt,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-am-sick,ខ្ញុំឈឺ,,kʰɲom tɕʰɨː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-am-injured,ខ្ញុំរបួស,,kʰɲom rɔbuəh,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.it-hurts-here,ឈឺត្រង់នេះ,,tɕʰɨː trɑŋ nih,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.where-is-a-pharmacy,ឱសថស្ថាននៅឯណា,,ʔaosɑtstʰaːn nɨw ʔaenaː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.please-take-me-to-a-hospital,សូមនាំខ្ញុំទៅមន្ទីរពេទ្យ,,soːm noəm kʰɲom tɨw muntiːpɛːt,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-feel-unwell,ខ្ញុំមិនស្រួលខ្លួន,,kʰɲom mɨn sruəl kʰluən,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.this-is-an-emergency,នេះជាភាពអាសន្ន,,nih tɕiə pʰiəp ʔaːsɑn,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-am-having-a-severe-allergic-reaction,ខ្ញុំកំពុងមានប្រតិកម្មអាណាហ្វីឡាក់ស៊ី,ប្រតិកម្មអាឡែស៊ីធ្ងន់ធ្ងរ,kʰɲom kɑmpuŋ miən brɑːtəkam ʔaːnaːpʰiːlaksiː,"អាណាហ្វីឡាក់ស៊ី (anaphylaxis) is the clinical term Cambodian dispatchers listen for; អាឡែស៊ីធ្ងន់ធ្ងរ ""severe allergy"" in text_alt is the lay phrase.",2,"ASCIA / Western Sydney Local Health District Translation Service, Khmer translation of ""Anaphylaxis"" (June 2018); Apollo Hospitals Khmer-language patient information on anaphylaxis;ipa=km-analysis"
emergency-medical.i-cannot-breathe,ខ្ញុំដកដង្ហើមមិនរួច,,kʰɲom dɑʔ dɑŋhaəm mɨn ruətɕ,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-am-bleeding-badly,ខ្ញុំហូរឈាមខ្លាំង,,kʰɲom hoː tɕʰiəm kʰlaŋ,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-have-chest-pain,ខ្ញុំឈឺទ្រូង,,kʰɲom tɕʰɨː truːŋ,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.this-person-is-unconscious,គាត់សន្លប់,,koət sɑnlɔp,"គាត់ ""he/she"" makes clear this describes someone else, not the speaker.",2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.where-is-the-nearest-hospital,មន្ទីរពេទ្យជិតបំផុតនៅឯណា,,muntiːpɛːt tɕɨtbɑmpʰot nɨw ʔaenaː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.what-is-the-emergency-number,លេខទូរស័ព្ទសង្គ្រោះបន្ទាន់ជាអ្វី,,leːk tuːsap sɑŋkruəhbɑntoan tɕiə ʔwəj,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.is-there-a-doctor-who-speaks-english,មានគ្រូពេទ្យនិយាយភាសា{source}ទេ,,miən kruːpɛːt nijiəj pʰiəsaː{source} teː,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.i-think-a-bone-is-broken,ខ្ញុំគិតថាឆ្អឹងបាក់,,kʰɲom kɨttʰaː tɕʔəŋ bak,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
emergency-medical.please-call-my-emergency-contact,សូមទូរស័ព្ទទៅអ្នកទំនាក់ទំនងពេលអាសន្នរបស់ខ្ញុំ,,soːm tuːsap tɨw neəʔ tumnoəktumnɔŋ peːl ʔaːsɑn rɔbɑh kʰɲom,,2,"Huffman, Modern Spoken Cambodian (Yale, 1970); Headley et al., Cambodian-English Dictionary (Catholic University of America Press, 1977);ipa=km-analysis"
