concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
dietary-needs.no-meat,"માંસ, ચિકન, માછલી નહીં",,"māṁs, cikan, māchalī nahīṁ","mãs, cɪkʌn, maːcʰʌli nʌhĩ","no meat, chicken or fish — માંસ alone would leave chicken and fish in",2,gu-agent-v1;ipa=espeak
dietary-needs.no-eggs,ઈંડું નહીં,,īṁḍuṁ nahīṁ,iːɳɖũ nʌhĩ,no egg,2,gu-agent-v1;ipa=espeak
dietary-needs.not-spicy,તીખું નહીં,,tīkhuṁ nahīṁ,tiːkʰũ nʌhĩ,not pungent,2,gu-agent-v1;ipa=espeak
dietary-needs.less-spicy,ઓછું તીખું,,ōchuṁ tīkhuṁ,oːcʰũ tiːkʰũ,less pungent,2,gu-agent-v1;ipa=espeak
dietary-needs.no-peanuts,સિંગદાણા નહીં,મગફળી નહીં,siṁgadāṇā nahīṁ,sɪnɡədaːɳaː nʌhĩ,no groundnut,2,gu-agent-v1;ipa=espeak
dietary-needs.no-nuts,"કાજુ, બદામ, સૂકો મેવો નહીં",,"kāju, badām, sūkō mēvō nahīṁ","kaːɟu, bədaːm, suːkoː meːʋoː nʌhĩ","no cashew, almond or dried fruit",2,gu-agent-v1;ipa=espeak
dietary-needs.no-seafood,"માછલી, ઝીંગા નહીં",,"māchalī, jhīṁgā nahīṁ","maːcʰʌli, zinɡaː nʌhĩ",no fish or prawn,2,gu-agent-v1;ipa=espeak
dietary-needs.i-am-vegetarian,હું શુદ્ધ શાકાહારી છું,હું જૈન છું,huṁ śuddh śākāhārī chuṁ,hũ ʃuddʰ ʃaːkaːhaːɾi cʰũ,"pure vegetarian — no egg; જૈન also excludes onion, garlic and root vegetables",2,gu-agent-v1;ipa=espeak
dietary-needs.i-am-vegan,"હું વીગન છું — દૂધ, દહીં, ઘી પણ નહીં",,"huṁ vīgan chuṁ — dūdh, dahīṁ, ghī paṇ nahīṁ","hũ ʋiɡʌn cʰũ duːdʰ, dʌhĩ, ɡʰi pʌɳ nʌhĩ","vegan — no milk, curd or ghee either, because શાકાહારી allows all three",2,gu-agent-v1;ipa=espeak
dietary-needs.i-do-not-eat,હું {} ખાતો નથી,હું {} ખાતી નથી,huṁ {} khātō nathī,hũ {} kʰaːtoː nʌtʰi,I do not eat {} (m) — ખાતી for a woman,2,gu-agent-v1;ipa=espeak
dietary-needs.i-am-allergic-to,મને {} ની એલર્જી છે,,manē {} nī ēlarjī chē,mʌneː {} ni eːlʌɾɟi cʰeː,I have an allergy of {},2,gu-agent-v1;ipa=espeak
dietary-needs.does-it-contain-fish-stock,આમાં માછલીનો રસો છે?,,āmāṁ māchalīnō rasō chē?,aːmã maːcʰliːnoː ɾʌsoː cʰeː,is there fish broth in this?,2,gu-agent-v1;ipa=espeak
dietary-needs.does-it-contain-pork-stock,આમાં ભૂંડનો રસો છે?,,āmāṁ bhūṁḍanō rasō chē?,aːmã bʰunɖʌnoː ɾʌsoː cʰeː,is there pig broth in this?,2,gu-agent-v1;ipa=espeak
dietary-needs.i-have-a-severe-allergy-to,મને {} ની ગંભીર એલર્જી છે,,manē {} nī gaṁbhīr ēlarjī chē,mʌneː {} ni ɡʌmbʰiɾ eːlʌɾɟi cʰeː,I have a severe allergy of {},2,gu-agent-v1;ipa=espeak
food-ordering.table-for-two,બે જણનું ટેબલ,,bē jaṇanuṁ ṭēbal,beː ɟəɳʌnũ ʈeːbʌl,a table of two persons,2,gu-agent-v1;ipa=espeak
food-ordering.is-a-table-available,ટેબલ ખાલી છે?,,ṭēbal khālī chē?,ʈeːbʌl kʰaːli cʰeː,is a table empty?,2,gu-agent-v1;ipa=espeak
food-ordering.menu-please,મેનુ આપો,,mēnu āpō,meːnu aːpoː,give the menu,2,gu-agent-v1;ipa=espeak
food-ordering.i-want-this,મને આ જોઈએ છે,,manē ā jōīē chē,mʌneː aː ɟoːiːeː cʰeː,I want this,2,gu-agent-v1;ipa=espeak
food-ordering.do-you-have-drinking-water,પીવાનું પાણી છે?,,pīvānuṁ pāṇī chē?,piʋaːnũ paːɳi cʰeː,is there drinking water?,2,gu-agent-v1;ipa=espeak
food-ordering.to-go-please,પૅક કરી આપો,,pêk karī āpō,pɛk kʌɾi aːpoː,pack it for me,2,gu-agent-v1;ipa=espeak
food-ordering.check-please,બિલ આપો,,bil āpō,bɪl aːpoː,give the bill,2,gu-agent-v1;ipa=espeak
food-ordering.does-it-contain,આમાં {} છે?,,āmāṁ {} chē?,aːmã {} cʰeː,is there {} in this?,2,gu-agent-v1;ipa=espeak
food-ordering.is-this-vegetarian,આ શાકાહારી છે?,,ā śākāhārī chē?,aː ʃaːkaːhaːɾi cʰeː,is this vegetarian?,2,gu-agent-v1;ipa=espeak
food-ordering.what-do-you-recommend,અહીં શું સારું મળે છે?,,ahīṁ śuṁ sāruṁ maḷē chē?,ɛhĩ ʃũ saːɾũ mʌɭeː cʰeː,what good is got here?,2,gu-agent-v1;ipa=espeak
food-ordering.water-please,પાણી આપો,,pāṇī āpō,paːɳi aːpoː,give water,2,gu-agent-v1;ipa=espeak
food-ordering.can-a-vegetarian-eat-this,શાકાહારી આ ખાઈ શકે?,,śākāhārī ā khāī śakē?,ʃaːkaːhaːɾi aː kʰaːi ʃʌkeː,can a vegetarian eat this?,2,gu-agent-v1;ipa=espeak
dietary-needs.no-pork,ભૂંડનું માંસ નહીં,,bhūṁḍanuṁ māṁs nahīṁ,bʰunɖʌnũ mãs nʌhĩ,no pig meat,2,gu-agent-v1;ipa=espeak
dietary-needs.is-this-halal,આ હલાલ છે?,,ā halāl chē?,aː həlaːl cʰeː,is this halal?,2,gu-agent-v1;ipa=espeak
dietary-needs.does-it-contain-pork-fat,આમાં ભૂંડની ચરબી છે?,,āmāṁ bhūṁḍanī carabī chē?,aːmã bʰunɖʌni cəɾʌbi cʰeː,is there pig fat in this?,2,gu-agent-v1;ipa=espeak
