section_id,title
social-basics,Salamu + msingi
communication,Mawasiliano
quick-responses,Majibu mafupi
phone-translation,Tafsiri kwa simu
phone-text-power,"Simu, ujumbe + chaji"
sim-data,"SIM, data + Wi-Fi"
introductions,Kujitambulisha
etiquette,Bakshishi + adabu
slang,Lugha ya mtaani
time-scheduling,Saa + miadi
time-words,Maneno ya wakati
days-of-week,Siku za wiki
months,Miezi
pronouns-verbs,Maneno + mifumo
question-words,Maneno ya kuuliza
payment-receipt,Malipo + risiti
numbers-money,Namba + pesa
atm-cash,ATM + fedha
dietary-needs,Mahitaji ya chakula
utility-templates,Mifumo ya kujaza
shopping,Manunuzi
color-size-returns,"Rangi, saizi + kurudisha"
tax-refund,Kurudishiwa kodi
food-ordering,Chakula + kuagiza
attractions-tickets,Vivutio + tiketi
children,Na watoto
directions,Maelekezo
quick-directions,Maelekezo mafupi
taxi,Teksi
building-help,Msaada jengoni
accessibility,Ufikiaji + mwendo
transit-rides,Usafiri + safari
in-a-building,Ndani ya jengo
toilets,Vyoo
building-words,Maneno ya jengo
hotel-words,Maneno ya hoteli
hotel-basics,Msingi wa hoteli
hotel-requests,Maombi hotelini
room-problems,Matatizo ya chumba
laundry,Kufua nguo
place-words,Maneno ya mahali
border-customs,Mpaka + forodha
trail-words,Maneno ya njia
pickup-meeting,Kuchukuliwa + kukutana
rail-station-words,Treni + stesheni
common-signs,Alama za kawaida
weather,Hali ya hewa
hiking-parks,Kupanda + hifadhi
trail-conditions,Hali + njia
trail-transport,Usafiri + huduma
trail-warnings,Tahadhari za njia
trail-landmarks,Alama + huduma
emergency-medical,Dharura + matibabu
medical-conditions,Magonjwa + dawa
pharmacy-symptoms,Dawa + dalili
body-parts,Sehemu za mwili
lost-rescue,Kupotea + uokoaji
police-consulate,"Polisi, wizi + ubalozi"
