concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
trail-words.trail,стежка,,stezhka,stˈɛʃka,,2,uk-agent-v1;ipa=espeak
trail-words.trailhead,початок стежки,,pochatok stezhky,potʃatˈok stˈɛʃkɪ,,2,uk-agent-v1;ipa=espeak
trail-words.summit,вершина,,vershyna,ʋɛrʃˈɪna,,2,uk-agent-v1;ipa=espeak
trail-words.viewpoint,оглядовий майданчик,,ohliadovyi maidanchyk,ohʎadˈoʋɪj majdantʃˈɪk,,2,uk-agent-v1;ipa=espeak
trail-words.cableway,канатна дорога,канатка,kanatna doroha,kanˈatna dorˈoha,,2,uk-agent-v1;ipa=espeak
trail-words.shuttle-bus,шатл,маршрутний автобус,shatl,ʃˈatl,,2,uk-agent-v1;ipa=espeak
trail-words.park-shuttle,автобус по парку,,avtobus po parku,aftˈobus pˈo pˈarku,,2,uk-agent-v1;ipa=espeak
trail-words.steps,сходинки,,skhodynky,sxodˈɪnkɪ,,2,uk-agent-v1;ipa=espeak
trail-words.up-uphill,вгору / на гору,,vhoru / na horu,fhˈoru / nˈa hˈoru,,2,uk-agent-v1;ipa=espeak
trail-words.down-downhill,вниз / з гори,,vnyz / z hory,ʋnˈɪz / s hˈorɪ,,2,uk-agent-v1;ipa=espeak
trail-words.one-way,в один бік,,v odyn bik,ʋ ˈodɪn bˈiːk,,2,uk-agent-v1;ipa=espeak
trail-words.round-trip,туди й назад,,tudy y nazad,tˈudɪ j nˈazad,,2,uk-agent-v1;ipa=espeak
weather.forecast,Який прогноз погоди?,,Yakyi prohnoz pohody?,jakˈɪj prˈohnos pohˈodɪ,,2,uk-agent-v1;ipa=espeak
weather.will-it-rain,Сьогодні буде дощ?,,Sohodni bude doshch?,sohˈodɲiː bˈudɛ dˈoʃtʃ,,2,uk-agent-v1;ipa=espeak
weather.is-it-safe-today,Сьогодні безпечно?,,Sohodni bezpechno?,sohˈodɲiː bɛspˈɛtʃno,,2,uk-agent-v1;ipa=espeak
weather.how-cold-at-night,Скільки градусів вночі?,,Skilky hradusiv vnochi?,skˈiːʎkɪ hradˈusiːʋ ʋnˈotʃiː,,2,uk-agent-v1;ipa=espeak
weather.rain,дощ,,doshch,dˈoʃtʃ,,2,uk-agent-v1;ipa=espeak
weather.snow,сніг,,snih,sɲˈiːh,,2,uk-agent-v1;ipa=espeak
weather.wind,вітер,,viter,ʋˈiːtɛr,,2,uk-agent-v1;ipa=espeak
weather.storm,шторм,буря,shtorm,ʃtˈorm,,2,uk-agent-v1;ipa=espeak
weather.ice,ожеледь,лід,ozheled,oʒˈɛlɛd,,2,uk-agent-v1;ipa=espeak
weather.fog,туман,,tuman,tˈuman,,2,uk-agent-v1;ipa=espeak
weather.heat,спека,,speka,spˈɛka,,2,uk-agent-v1;ipa=espeak
weather.cold,холод,,kholod,xˈolod,,2,uk-agent-v1;ipa=espeak
weather.humid,волого,,voloho,ʋolˈoho,,2,uk-agent-v1;ipa=espeak
weather.sunrise,схід сонця,,skhid sontsia,sxˈiːt sˈontsja,,2,uk-agent-v1;ipa=espeak
weather.flood,повінь,,povin,pˈoʋiːɲ,,2,uk-agent-v1;ipa=espeak
weather.avalanche-risk,лавинна небезпека,,lavynna nebezpeka,laʋˈɪnna nɛbˈɛspɛka,,2,uk-agent-v1;ipa=espeak
hiking-parks.is-this-the-way-to,{} — в цей бік?,,{} — v tsei bik?,{} f tsˈɛj bˈiːk,,2,uk-agent-v1;ipa=espeak
hiking-parks.where-is-the-trailhead,Де початок стежки?,,De pochatok stezhky?,dˈɛ potʃatˈok stˈɛʃkɪ,,2,uk-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-summit,Скільки йти до вершини?,,Skilky yty do vershyny?,skˈiːʎkɪ jtˈɪ dˈo ʋɛrʃˈɪnɪ,,2,uk-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-viewpoint,Скільки йти до оглядового майданчика?,,Skilky yty do ohliadovoho maidanchyka?,skˈiːʎkɪ jtˈɪ dˈo ohʎadˈoʋoho majdˈantʃɪka,,2,uk-agent-v1;ipa=espeak
hiking-parks.which-route-is-easier,Який маршрут легший?,,Yakyi marshrut lehshyi?,jakˈɪj marʃrˈut lˈɛhʃɪj,,2,uk-agent-v1;ipa=espeak
hiking-parks.is-this-trail-suitable-for-beginners,Ця стежка підходить для новачків?,,Tsia stezhka pidkhodyt dlia novachkiv?,tsjˈa stˈɛʃka piːtxˈodɪt dʎˈa noʋˈatʃkiːʋ,,2,uk-agent-v1;ipa=espeak
trail-conditions.how-long-is-the-full-route,Яка довжина всього маршруту?,,Yaka dovzhyna vsoho marshrutu?,jakˈa doʋʒˈɪna fsˈoho marʃrˈutu,,2,uk-agent-v1;ipa=espeak
trail-conditions.can-we-return-the-same-way,Можна повернутися тим самим шляхом?,,Mozhna povernutysia tym samym shliakhom?,mˈoʒna poʋɪrnˈutɪsja tˈɪm sˈamɪm ʃʎˈaxom,,2,uk-agent-v1;ipa=espeak
trail-conditions.can-we-return-before-dark,Встигнемо повернутися до темряви?,,Vstyhnemo povernutysia do temriavy?,fstɪhnˈɛmo poʋɪrnˈutɪsja dˈo tɛmrjˈaʋɪ,,2,uk-agent-v1;ipa=espeak
trail-conditions.is-the-trail-open,Стежка відкрита?,,Stezhka vidkryta?,stˈɛʃka ʋiːtkrˈɪta,,2,uk-agent-v1;ipa=espeak
trail-conditions.is-the-route-steep,Маршрут крутий?,,Marshrut krutyi?,marʃrˈut krˈutɪj,,2,uk-agent-v1;ipa=espeak
trail-conditions.is-the-path-slippery,Стежка слизька?,,Stezhka slyzka?,stˈɛʃka slˈɪzka,,2,uk-agent-v1;ipa=espeak
trail-transport.how-long-is-the-queue,Яка черга?,,Yaka cherha?,jakˈa tʃˈɛrha,,2,uk-agent-v1;ipa=espeak
trail-transport.what-time-is-the-last-shuttle,Коли останній шатл?,,Koly ostannii shatl?,kolˈɪ ostˈanɲiːj ʃˈatl,,2,uk-agent-v1;ipa=espeak
trail-transport.when-does-the-cableway-stop,До котрої працює канатка?,,Do kotroi pratsiuie kanatka?,dˈo kotrˈojiː pratsjˈujɛ kanˈatka,,2,uk-agent-v1;ipa=espeak
trail-transport.where-can-we-buy-water,Де можна купити воду?,,De mozhna kupyty vodu?,dˈɛ mˈoʒna kupˈɪtɪ ʋˈodu,,2,uk-agent-v1;ipa=espeak
trail-transport.where-can-we-refill-water,Де можна набрати води?,,De mozhna nabraty vody?,dˈɛ mˈoʒna nabrˈatɪ ʋˈodɪ,,2,uk-agent-v1;ipa=espeak
trail-transport.is-there-cell-signal-here,Тут є зв'язок?,,Tut ye zviazok?,tˈut jˈɛ zˌɛʋˈɛjazok,,2,uk-agent-v1;ipa=espeak
