concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
slang.thats-good,Լավն է։,,Lavn e.,lˈavən ˈe,it's good,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.thats-great,Հիանալի՜ է։,,Hianali e!,hˌianalˈi ˈe,it's wonderful,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.i-love-it,Շատ եմ հավանում։,,Shat yem havanum.,ʃˈat jˈem hˌavanˈum,I like it a lot,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.thats-bad,Այնքան էլ լավ չէ։,,Aynk’an el lav ch’e.,ajnkʰˈan ˈel lˈav tʃʰˈe,it's not that good,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.delicious,Համե՜ղ է։,,Hamegh e!,hamˈeʁ ˈe,it's tasty,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.thats-pricey,Թա՜նկ է։,,T’ank e!,tʰˈank ˈe,it's expensive,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.exactly,Հենց այդպե՜ս։,,Hents’ aydpes!,hˈentsʰ ajdpˈes,just so,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.no-worries,Ոչինչ։,,Voch’inch’.,votʃʰˈintʃʰ,it's nothing,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.youre-welcome,Խնդրեմ։,,Khndrem.,xndɾˈem,you're welcome — the reply to thanks,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.seriously,Իսկապե՞ս։,,Iskapes?,ˌiskapˈes,really?,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.im-good-thanks,"Լավ եմ, շնորհակալություն։",,"Lav yem, shnorhakalut’yun.","lˈav jˈem, ʃənˌorhakˌalutʰjˈun",,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
slang.lets-go,Գնացինք։,,Gnats’ink’.,ɡənatsʰˈinkʰ,"let's go — literally we went, which is the idiom",2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Aghayan, E. B., Ardi hayereni batsatrakan bararan (Explanatory Dictionary of Modern Armenian, Hayastan, Yerevan, 1976);ipa=espeak"
slang.cheers,Կենացդ։,Ձեր կենացը։,Kenats’d.,kenˈatsʰd,to your health — the short toast; Ձեր կենացը is the polite one,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Aghayan, E. B., Ardi hayereni batsatrakan bararan (Explanatory Dictionary of Modern Armenian, Hayastan, Yerevan, 1976);ipa=espeak"
slang.see-you,Կտեսնվենք։,,Ktesnvenk’.,kətesnvˈenkʰ,we will see each other,2,"Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011); Kouyoumdjian, M. G., A Comprehensive Dictionary Armenian-English (Atlas Press, Beirut, 1970);ipa=espeak"
