concept_id,text,text_alt,ipa,literal,confidence,provenance
trail-words.trail,hanyar tafiya,,hanjar tafija,path of walking,2,ha-agent-v1;ipa=ha-g2p
trail-words.trailhead,farkon hanya,,farkon hanja,start of the trail,2,ha-agent-v1;ipa=ha-g2p
trail-words.summit,ƙololuwar dutse,,kʼololuwar dutsʼe,peak of the mountain,2,ha-agent-v1;ipa=ha-g2p
trail-words.viewpoint,wurin kallo,,wurin kallo,place of viewing,2,ha-agent-v1;ipa=ha-g2p
trail-words.cableway,jirgin igiya,,dʒirɡin iɡija,vehicle of cable,2,ha-agent-v1;ipa=ha-g2p
trail-words.shuttle-bus,bas na kai da kawowa,,bas na kai da kawowa,bus of taking and bringing,2,ha-agent-v1;ipa=ha-g2p
trail-words.park-shuttle,bas na wurin shakatawa,,bas na wurin ʃakatawa,shuttle of the park,2,ha-agent-v1;ipa=ha-g2p
trail-words.steps,matakala,,matakala,,2,ha-agent-v1;ipa=ha-g2p
trail-words.up-uphill,sama,,sama,,2,ha-agent-v1;ipa=ha-g2p
trail-words.down-downhill,ƙasa,,kʼasa,,2,ha-agent-v1;ipa=ha-g2p
trail-words.one-way,hanya ɗaya,,hanja ɗaja,,2,ha-agent-v1;ipa=ha-g2p
trail-words.round-trip,zuwa da dawowa,,zuwa da dawowa,going and returning,2,ha-agent-v1;ipa=ha-g2p
weather.forecast,Mece ce hasashen yanayi?,,metʃe tʃe hasaʃen janaji,what is the weather forecast,2,ha-agent-v1;ipa=ha-g2p
weather.will-it-rain,Za a yi ruwan sama yau?,,za a ji ruwan sama jau,,2,ha-agent-v1;ipa=ha-g2p
weather.is-it-safe-today,Yana da lafiya a yau?,,jana da lafija a jau,,2,ha-agent-v1;ipa=ha-g2p
weather.how-cold-at-night,Yaya sanyi yake da dare?,,jaja sanji jake da dare,,2,ha-agent-v1;ipa=ha-g2p
weather.rain,ruwan sama,,ruwan sama,,2,ha-agent-v1;ipa=ha-g2p
weather.snow,dusar ƙanƙara,,dusar kʼankʼara,,2,ha-agent-v1;ipa=ha-g2p
weather.wind,iska,,iska,,2,ha-agent-v1;ipa=ha-g2p
weather.storm,guguwa,,ɡuɡuwa,,2,ha-agent-v1;ipa=ha-g2p
weather.ice,ƙanƙara,,kʼankʼara,,2,ha-agent-v1;ipa=ha-g2p
weather.fog,hazo,,hazo,,2,ha-agent-v1;ipa=ha-g2p
weather.heat,zafi,,zafi,,2,ha-agent-v1;ipa=ha-g2p
weather.cold,sanyi,,sanji,,2,ha-agent-v1;ipa=ha-g2p
weather.humid,ɗanshi,,ɗanʃi,,2,ha-agent-v1;ipa=ha-g2p
weather.sunrise,fitowar rana,,fitowar rana,,2,ha-agent-v1;ipa=ha-g2p
weather.flood,ambaliyar ruwa,,ambalijar ruwa,,2,ha-agent-v1;ipa=ha-g2p
weather.avalanche-risk,haɗarin faɗowar ƙanƙara,,haɗarin faɗowar kʼankʼara,risk of falling snow -- no native mountain-snow concept; compositional,2,ha-agent-v1;ipa=ha-g2p
hiking-parks.is-this-the-way-to,Wannan ita ce hanyar zuwa {}?,,wannan ita tʃe hanjar zuwa {},,2,ha-agent-v1;ipa=ha-g2p
hiking-parks.where-is-the-trailhead,Ina farkon hanya yake?,,ina farkon hanja jake,,2,ha-agent-v1;ipa=ha-g2p
hiking-parks.how-long-to-the-summit,Tsawon lokaci nawa zuwa ƙololuwar dutse?,,tsʼawon lokatʃi nawa zuwa kʼololuwar dutsʼe,,2,ha-agent-v1;ipa=ha-g2p
hiking-parks.how-long-to-the-viewpoint,Tsawon lokaci nawa zuwa wurin kallo?,,tsʼawon lokatʃi nawa zuwa wurin kallo,,2,ha-agent-v1;ipa=ha-g2p
hiking-parks.which-route-is-easier,Wace hanya ce mafi sauƙi?,,watʃe hanja tʃe mafi saukʼi,,2,ha-agent-v1;ipa=ha-g2p
hiking-parks.is-this-trail-suitable-for-beginners,Wannan hanyar ta dace da masu farawa?,,wannan hanjar ta datʃe da masu farawa,,2,ha-agent-v1;ipa=ha-g2p
trail-conditions.how-long-is-the-full-route,Tsawon dukan hanyar nawa ne?,,tsʼawon dukan hanjar nawa ne,,2,ha-agent-v1;ipa=ha-g2p
trail-conditions.can-we-return-the-same-way,Za mu iya komawa ta wannan hanyar?,,za mu ija komawa ta wannan hanjar,,2,ha-agent-v1;ipa=ha-g2p
trail-conditions.can-we-return-before-dark,Za mu iya komawa kafin dare?,,za mu ija komawa kafin dare,,2,ha-agent-v1;ipa=ha-g2p
trail-conditions.is-the-trail-open,Hanyar a buɗe take?,,hanjar a buɗe take,,2,ha-agent-v1;ipa=ha-g2p
trail-conditions.is-the-route-steep,Hanyar tana da tudu?,,hanjar tana da tudu,has a slope,2,ha-agent-v1;ipa=ha-g2p
trail-conditions.is-the-path-slippery,Hanyar tana da santsi?,,hanjar tana da santsʼi,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.how-long-is-the-queue,Tsawon layin nawa ne?,,tsʼawon lajin nawa ne,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.what-time-is-the-last-shuttle,Ƙarfe nawa bas na ƙarshe zai tafi?,,kʼarfe nawa bas na kʼarʃe zai tafi,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.when-does-the-cableway-stop,Yaushe jirgin igiya zai tsaya?,,jauʃe dʒirɡin iɡija zai tsʼaja,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.where-can-we-buy-water,Ina za mu iya sayan ruwa?,,ina za mu ija sajan ruwa,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.where-can-we-refill-water,Ina za mu iya cika ruwa?,,ina za mu ija tʃika ruwa,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.is-there-cell-signal-here,Akwai sigina a nan?,,akwai siɡina a nan,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.do-you-have-a-map,Kuna da taswira?,,kuna da taswira,,2,ha-agent-v1;ipa=ha-g2p
trail-transport.how-long-is-the-wait,Tsawon jira nawa ne?,,tsʼawon dʒira nawa ne,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.open,a buɗe,,a buɗe,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.closed,a rufe,,a rufe,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.maintenance,gyara,,ɡjara,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.steep-slope,tudu mai tsayi,,tudu mai tsʼaji,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.caution-slippery,Hankali: santsi,,hankali santsʼi,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.danger,Haɗari,,haɗari,"distinct from guguwa, storm",2,ha-agent-v1;ipa=ha-g2p
trail-warnings.beware-falling-rocks,Kula da faɗuwar duwatsu,,kula da faɗuwar duwatsʼu,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.first-aid-station,wurin agajin gaggawa,,wurin aɡadʒin ɡaɡɡawa,,2,ha-agent-v1;ipa=ha-g2p
trail-warnings.service-suspended,An dakatar da hidima,,an dakatar da hidima,,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.trail-marker,alamar hanya,,alamar hanja,,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.fork-junction,mahaɗar hanya,,mahaɗar hanja,,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.boardwalk-cliff-path,hanya a gefen dutse,,hanja a ɡefen dutsʼe,path at the side of a cliff/mountain,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.start,farawa,,farawa,,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.end,ƙarshe,,kʼarʃe,,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.elevation,tsawo,,tsʼawo,height,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.sunset,faɗuwar rana,,faɗuwar rana,,2,ha-agent-v1;ipa=ha-g2p
trail-landmarks.water-point,wurin ruwa,,wurin ruwa,,2,ha-agent-v1;ipa=ha-g2p
