concept_id,text,text_alt,ipa,literal,confidence,provenance
numbers-money.l-ng,zero,,zˈeɾo,,2,ro-agent-v1;ipa=espeak
numbers-money.y,unu,un / o,ˈunu,,2,ro-agent-v1;ipa=espeak
numbers-money.r,doi,două,dˈoj,,2,ro-agent-v1;ipa=espeak
numbers-money.s-n,trei,,trˈeɪ,,2,ro-agent-v1;ipa=espeak
numbers-money.s,patru,,pˈatru,,2,ro-agent-v1;ipa=espeak
numbers-money.w,cinci,,tʃˈintʃʲ,,2,ro-agent-v1;ipa=espeak
numbers-money.li,șase,,ʃˈase,,2,ro-agent-v1;ipa=espeak
numbers-money.q,șapte,,ʃˈapte,,2,ro-agent-v1;ipa=espeak
numbers-money.b,opt,,ˈopt,,2,ro-agent-v1;ipa=espeak
numbers-money.ji,nouă,,nˈouˌə,,2,ro-agent-v1;ipa=espeak
numbers-money.sh,zece,,zˈetʃe,,2,ro-agent-v1;ipa=espeak
numbers-money.y-b-i,o sută,,o sˈutə,,2,ro-agent-v1;ipa=espeak
numbers-money.y-qi-n,o mie,,o mˈie,,2,ro-agent-v1;ipa=espeak
numbers-money.y-w-n,zece mii,,zˈetʃe mˈiɪ,,2,ro-agent-v1;ipa=espeak
numbers-money.b-n,jumătate,o jumătate,ʒˌumətˈate,,2,ro-agent-v1;ipa=espeak
atm-cash.where-is-an-atm,Unde este un bancomat?,,ˈunde jˌeste un bˌankomˈat,,2,ro-agent-v1;ipa=espeak
atm-cash.does-this-atm-take-foreign-cards,Acceptă acest bancomat carduri străine?,,aktʃˈeptə atʃˌest bˌankomˈat kardˈurʲ strəˈine,,2,ro-agent-v1;ipa=espeak
atm-cash.the-atm-kept-my-card,Bancomatul mi-a reținut cardul,,bˌankomˈatul mia retsinˈut kˈardul,,2,ro-agent-v1;ipa=espeak
atm-cash.is-there-a-fee,Este vreun comision?,,jˌeste vreˈun kˌomisjˈon,,2,ro-agent-v1;ipa=espeak
atm-cash.the-card-was-declined,Cardul a fost refuzat,,kˈardul a fost refuzˈat,,2,ro-agent-v1;ipa=espeak
