concept_id,text,text_alt,ipa,literal,confidence,provenance
hotel-words.passport,passport,,pˈæspoːɹt,,2,latex-reference-v2;ipa=espeak
hotel-words.room-key-card,room key card,,ɹˈuːm kˈiː kˈɑːɹd,,2,latex-reference-v2;ipa=espeak
hotel-words.check-in,check-in,,tʃˈɛkɪn,,2,latex-reference-v2;ipa=espeak
hotel-words.check-out,check-out,,tʃˈɛkaʊt,,2,latex-reference-v2;ipa=espeak
hotel-basics.are-any-rooms-available,Are any rooms available?,,ɑːɹ ˌɛni ɹˈuːmz ɐvˈeɪləbəl,,2,latex-reference-v2;ipa=espeak
hotel-basics.there-are-two-of-us,There are two of us,,ðɛɹˌɑːɹ tˈuː ʌv ˌʌs,,2,latex-reference-v2;ipa=espeak
hotel-basics.i-have-a-reservation,I have a reservation,,aɪ hæv ɐ ɹˌɛzɚvˈeɪʃən,,2,latex-reference-v2;ipa=espeak
hotel-basics.can-i-charge-my-phone,Can I charge my phone?,,kæn aɪ tʃˈɑːɹdʒ maɪ fˈoʊn,,2,latex-reference-v2;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,I would like a non-smoking room,,aɪ wʊd lˈaɪk ɐ nˈɑːnsmoʊkɪŋ ɹˈuːm,,2,latex-reference-v2;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,I would like a quiet room,,aɪ wʊd lˈaɪk ɐ kwˈaɪət ɹˈuːm,,2,latex-reference-v2;ipa=espeak
hotel-basics.is-there-a-washing-machine,Is there a washing machine?,,ɪz ðɛɹ ɐ wˈɑːʃɪŋ məʃˈiːn,,2,latex-reference-v2;ipa=espeak
hotel-requests.can-i-check-out-later,Can I check out later?,,kæn aɪ tʃˈɛk ˈaʊt lˈeɪɾɚ,,2,latex-reference-v2;ipa=espeak
hotel-requests.what-time-does-breakfast-start,What time does breakfast start?,,wˌʌt tˈaɪm dˈʌz bɹˈɛkfəst stˈɑːɹt,,2,latex-reference-v2;ipa=espeak
hotel-requests.can-i-store-my-luggage,Can I store my luggage?,,kæn aɪ stˈoːɹ maɪ lˈʌɡɪdʒ,,2,latex-reference-v2;ipa=espeak
hotel-requests.no-housekeeping,No housekeeping,,nˈoʊ hˈaʊskiːpɪŋ,,2,latex-reference-v2;ipa=espeak
room-problems.there-is-a-problem-with-the-room,There is a problem with the room,,ðɛɹ ɪz ɐ pɹˈɑːbləm wɪððə ɹˈuːm,,2,latex-reference-v2;ipa=espeak
room-problems.the-air-conditioning-is-broken,The air conditioning is broken,,ðɪ ˈɛɹ kəndˈɪʃənɪŋ ɪz bɹˈoʊkən,,2,latex-reference-v2;ipa=espeak
room-problems.there-is-no-hot-water,There is no hot water,,ðɛɹ ɪz nˈoʊ hˈɑːt wˈɔːɾɚ,,2,latex-reference-v2;ipa=espeak
room-problems.can-i-change-rooms,Can I change rooms?,,kæn aɪ tʃˈeɪndʒ ɹˈuːmz,,2,latex-reference-v2;ipa=espeak
room-problems.the-room-is-too-noisy,The room is too noisy,,ðə ɹˈuːm ɪz tˈuː nˈɔɪzi,,2,latex-reference-v2;ipa=espeak
hotel-basics.is-wi-fi-free,Is Wi-Fi free?,,ɪz wˈaɪfˌaɪ fɹˈiː,,2,japanese-reviewed-v6;ipa=espeak
hotel-words.luggage-storage,luggage storage,,lˈʌɡɪdʒ stˈoːɹɪdʒ,,2,japanese-reviewed-v6;ipa=espeak
hotel-requests.another-towel-please,"Another towel, please",,"ɐnˈʌðɚ tˈaʊəl, plˈiːz",,2,japanese-reviewed-v6;ipa=espeak
laundry.please-wash-these-clothes,Please wash these clothes,,plˈiːz wˈɑːʃ ðiːz klˈoʊðz,,2,expansion-v1;ipa=espeak
laundry.where-is-a-laundromat,Where is a laundromat?,,wˌɛɹ ɪz ɐ lˈɔːndɹəmˌæt,,2,expansion-v1;ipa=espeak
laundry.when-will-it-be-ready,When will it be ready?,,wˌɛn wɪl ɪt biː ɹˈɛdi,,2,expansion-v1;ipa=espeak
laundry.how-much-per-kilo,How much per kilo?,,hˌaʊ mˈʌtʃ pɜː kˈiːloʊ,,2,expansion-v1;ipa=espeak
laundry.can-it-be-ready-today,Can it be ready today?,,kæn ɪt biː ɹˈɛdi tədˈeɪ,,2,expansion-v1;ipa=espeak
laundry.please-do-not-use-bleach,Please do not use bleach,,plˈiːz duːnˌɑːt jˈuːz blˈiːtʃ,,2,expansion-v1;ipa=espeak
laundry.laundromat,laundromat,,lˈɔːndɹəmˌæt,,2,expansion-v1;ipa=espeak
laundry.please-iron-this,Please iron this,,plˈiːz ˈaɪɚn ðˈɪs,,2,expansion-v1;ipa=espeak
laundry.detergent,detergent,,dɪtˈɜːdʒənt,,2,expansion-v1;ipa=espeak
