concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
social-basics.hello,नमस्ते,,namastē,nəmˈʌsteː,,2,ne-agent-v1;ipa=espeak
social-basics.hello-polite,नमस्कार,,namaskāra,nˌəməskˈaːɾə,,2,ne-agent-v1;ipa=espeak
social-basics.good-morning,शुभ प्रभात,,śubha prabhāta,ʃˈubʰ pɾəbʰˈaːt,,2,ne-agent-v1;ipa=espeak
social-basics.good-evening,शुभ साँझ,,śubha sām̐jha,ʃˈubʰ sˈãɟʰ,,2,ne-agent-v1;ipa=espeak
social-basics.goodbye,फेरि भेटौंला,,phēri bhēṭauṁlā,pʰˈeːɾɪ bʰeːʈˈɔːnlaː,,2,ne-agent-v1;ipa=espeak
social-basics.thank-you,धन्यवाद,,dhanyavāda,dʰˌənjəwˈaːd,,2,ne-agent-v1;ipa=espeak
social-basics.you-are-welcome,केही होइन,,kēhī hōina,kˈeːhi hˈoinˌə,,2,ne-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,सुन्नुहोस्,,sunnuhōs,sunnˌuhˈoːs,,2,ne-agent-v1;ipa=espeak
social-basics.sorry,माफ गर्नुहोस्,,māpha garnuhōs,mˈaːpʰ ɡˌərrnuhˈoːs,,2,ne-agent-v1;ipa=espeak
social-basics.no-problem,केही समस्या छैन,,kēhī samasyā chaina,kˈeːhi səmˈʌsjaː cʰˈɛːnə,,2,ne-agent-v1;ipa=espeak
social-basics.i-do-not-know,मलाई थाहा छैन,,malāī thāhā chaina,məlˈaːi tʰˈaːhaː cʰˈɛːnə,,2,ne-agent-v1;ipa=espeak
social-basics.good-night,शुभ रात्री,,śubha rātrī,ʃˈubʰ ɾˈaːtɾi,,2,ne-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,ठिक छ,,ṭhika cha,ʈʰˈɪkə cʰˈə,,2,ne-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,मलाई {target} आउँदैन,,malāī {target} āum̐daina,məlˈaːi {target} ˌaːũdˈɛːnə,,2,ne-agent-v1;ipa=espeak
communication.i-speak-only-a-little-of-this,मलाई अलिकति {target} आउँछ,,malāī alikati {target} āum̐cha,məlˈaːi ˈʌlɪkˌətɪ {target} ˌaːũcʰˈə,,2,ne-agent-v1;ipa=espeak
communication.do-you-speak-english,तपाईंलाई {source} आउँछ?,,tapāīṁlāī {source} āum̐cha?,tˌəpaːˈɪːnlaːˌiː {source} ˌaːũcʰˈə,,2,ne-agent-v1;ipa=espeak
communication.please-speak-more-slowly,अलि बिस्तारै बोल्नुहोस्,,ali bistārai bōlnuhōs,ˈʌlɪ bɪstˈaːɾɛː bˈoːlnuhˌoːs,,2,ne-agent-v1;ipa=espeak
communication.i-do-not-understand-spoken,मलाई सुनेर बुझिँदैन,,malāī sunēra bujhim̐daina,məlˈaːi sunˈeːɾə bˌuɟʰĩdˈɛːnə,,2,ne-agent-v1;ipa=espeak
communication.i-cannot-read-understand,मलाई पढेर बुझिँदैन,,malāī paḍhēra bujhim̐daina,məlˈaːi pəɖʰˈeːɾə bˌuɟʰĩdˈɛːnə,,2,ne-agent-v1;ipa=espeak
communication.please-say-it-again,फेरि भन्नुहोस्,,phēri bhannuhōs,pʰˈeːɾɪ bʰənnˌuhˈoːs,,2,ne-agent-v1;ipa=espeak
communication.please-write-it-down,लेखिदिनुहोस्,,lēkhidinuhōs,lˌeːkʰɪdˌɪnuhˈoːs,,2,ne-agent-v1;ipa=espeak
communication.please-wait-a-moment,एक छिन पर्खनुहोस्,,ēka china parkhanuhōs,ˈeːkə cʰˈɪn pˌərrkʰənuhˈoːs,,2,ne-agent-v1;ipa=espeak
communication.can-you-help-me,मलाई सहयोग गर्नुहुन्छ?,,malāī sahayōga garnuhuncha?,məlˈaːi sˌəhəjˈoːɡ ɡˌərrnuhˈuncʰə,,2,ne-agent-v1;ipa=espeak
communication.please-show-me-the-text,{target} मा लेखिएको देखाइदिनुहोस्,,{target} mā lēkhiēkō dēkhāidinuhōs,{target} mˈaː lˌeːkʰɪˈeːkoː dˌeːkʰaːˌɪdɪnuhˈoːs,,2,ne-agent-v1;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,तपाईंले भन्नुभएको कुरा बुझिँदैन,,tapāīṁlē bhannubhaēkō kurā bujhim̐daina,tˌəpaːˈɪːnleː bʰənnˌubʰəˈeːkoː kˈuɾaː bˌuɟʰĩdˈɛːnə,,2,ne-agent-v1;ipa=espeak
communication.i-do-not-understand,मलाई बुझिएन,,malāī bujhiēna,məlˈaːi bˌuɟʰɪˈeːnə,,2,ne-agent-v1;ipa=espeak
