concept_id,text,text_alt,romanization_pinyin,ipa,literal,confidence,provenance
emergency-medical.help,救命！,,jiùmìng!,tɕjoʊ˥˩miŋ˥˩,,2,latex-reference-v2;ipa=pinyin
lost-rescue.i-lost-my-passport,我的护照丢了,,wǒ de hùzhào diū le,wɔ˧˩˧ tɤ xu˥˩ʈʂɑʊ˥˩ tjoʊ˥ lɤ,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-am-diabetic,我有糖尿病,,wǒ yǒu tángniàobìng,wɔ˧˩˧ joʊ˧˩˧ tʰɑŋ˧˥njɑʊ˥˩piŋ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.which-pharmacy-is-open-now,现在哪家药店开门？,,xiànzài nǎ jiā yàodiàn kāimén?,ɕjɛn˥˩tsaɪ˥˩ na˧˩˧ tɕja˥ jɑʊ˥˩tjɛn˥˩ kʰaɪ˥mən˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.where-is-the-police-station,派出所在哪里？,,pàichūsuǒ zài nǎlǐ?,pʰaɪ˥˩ʈʂʰu˥swɔ˧˩˧ tsaɪ˥˩ na˧˩˧li˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.head,头,,tóu,tʰoʊ˧˥,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.please-call-an-ambulance,请帮我叫救护车,,qǐng bāng wǒ jiào jiùhùchē,tɕʰiŋ˧˩˧ pɑŋ˥ wɔ˧˩˧ tɕjɑʊ˥˩ tɕjoʊ˥˩xu˥˩ʈʂʰɤ˥,,2,latex-reference-v2;ipa=pinyin
lost-rescue.i-lost-my-phone,我的手机丢了,,wǒ de shǒujī diū le,wɔ˧˩˧ tɤ ʂoʊ˧˩˧tɕi˥ tjoʊ˥ lɤ,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-need-insulin,我需要胰岛素,,wǒ xūyào yídǎosù,wɔ˧˩˧ ɕy˥jɑʊ˥˩ i˧˥tɑʊ˧˩˧su˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-need-medicine-for,我需要治{}的药,,wǒ xūyào zhì {} de yào,wɔ˧˩˧ ɕy˥jɑʊ˥˩ ʈʂɨ˥˩ {} tɤ jɑʊ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.i-want-to-report-a-theft,我要报盗窃案,,wǒ yào bào dàoqiè'àn,wɔ˧˩˧ jɑʊ˥˩ pɑʊ˥˩ tɑʊ˥˩tɕʰjɛ˥˩an˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.stomach,肚子,,dùzi,tu˥˩tsɯ,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-need-a-doctor,我需要医生,,wǒ xūyào yīshēng,wɔ˧˩˧ ɕy˥jɑʊ˥˩ i˥ʂɤŋ˥,,2,latex-reference-v2;ipa=pinyin
lost-rescue.please-call-the-police,请报警,,qǐng bàojǐng,tɕʰiŋ˧˩˧ pɑʊ˥˩tɕiŋ˧˩˧,,2,latex-reference-v2;ipa=pinyin
medical-conditions.i-have-asthma,我有哮喘,,wǒ yǒu xiàochuǎn,wɔ˧˩˧ joʊ˧˩˧ ɕjɑʊ˥˩ʈʂʰwan˧˩˧,,2,zh-Hans-agent-v1;ipa=pinyin
pharmacy-symptoms.i-have-a-fever,我发烧了,,wǒ fāshāo le,wɔ˧˩˧ fa˥ʂɑʊ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
police-consulate.my-bag-was-stolen,我的包被偷了,,wǒ de bāo bèi tōu le,wɔ˧˩˧ tɤ pɑʊ˥ peɪ˥˩ tʰoʊ˥ lɤ,,2,zh-Hans-agent-v1;ipa=pinyin
body-parts.back,背,,bèi,peɪ˥˩,,2,zh-Hans-agent-v1;ipa=pinyin
emergency-medical.i-am-sick,我生病了,,wǒ shēngbìng le,wɔ˧˩˧ ʂɤŋ˥piŋ˥˩ lɤ,,2,latex-reference-v2;ipa=pinyin
