concept_id,text,text_alt,ipa,literal,confidence,provenance
numbers-money.l-ng,nolla,,nˈolla,,2,fi-agent-v1;ipa=espeak
numbers-money.y,yksi,,ˈyksi,,2,fi-agent-v1;ipa=espeak
numbers-money.r,kaksi,,kˈaksi,,2,fi-agent-v1;ipa=espeak
numbers-money.s-n,kolme,,kˈolme,,2,fi-agent-v1;ipa=espeak
numbers-money.s,neljä,,nˈeljæ,,2,fi-agent-v1;ipa=espeak
numbers-money.w,viisi,,vˈiːsi,,2,fi-agent-v1;ipa=espeak
numbers-money.li,kuusi,,kˈuːsi,,2,fi-agent-v1;ipa=espeak
numbers-money.q,seitsemän,,sˈeitsemæn,,2,fi-agent-v1;ipa=espeak
numbers-money.b,kahdeksan,,kˈahdeksan,,2,fi-agent-v1;ipa=espeak
numbers-money.ji,yhdeksän,,ˈyhdeksæn,,2,fi-agent-v1;ipa=espeak
numbers-money.sh,kymmenen,,kˈymmenen,,2,fi-agent-v1;ipa=espeak
numbers-money.y-b-i,sata,,sˈata,,2,fi-agent-v1;ipa=espeak
numbers-money.y-qi-n,tuhat,,tˈuhat,,2,fi-agent-v1;ipa=espeak
numbers-money.y-w-n,kymmenentuhatta,,kˈymmenˌentuhˌatta,,2,fi-agent-v1;ipa=espeak
numbers-money.b-n,puoli,,pˈuoli,,2,fi-agent-v1;ipa=espeak
atm-cash.where-is-an-atm,Missä on pankkiautomaatti?,,mˈissæ ˈom pˈaŋkkiˌautomˌaːtti,,2,fi-agent-v1;ipa=espeak
atm-cash.does-this-atm-take-foreign-cards,Hyväksyykö tämä automaatti ulkomaisia kortteja?,,hˈyvæksˌyːkø tˈæmæ ˈautomˌaːtti ˈulkomˌaisia kˈortteja,,2,fi-agent-v1;ipa=espeak
atm-cash.the-atm-kept-my-card,Automaatti nielaisi korttini.,,ˈautomˌaːtti nˈielaisi kˈorttini,'the machine swallowed my card' -- the Finnish idiom a bank teller answers to,2,fi-agent-v1;ipa=espeak
