concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
pronouns-verbs.i-me,ਮੈਂ / ਮੈਨੂੰ,,maiṁ / mainūṁ,mɛ̃ / mɛnũ,I / to me,2,pa-agent-v1;ipa=espeak
pronouns-verbs.we-us,ਅਸੀਂ / ਸਾਨੂੰ,,asīṁ / sānūṁ,əsĩ / sanũ,we / to us,2,pa-agent-v1;ipa=espeak
pronouns-verbs.you,ਤੂੰ,,tūṁ,tũ,you (familiar singular),2,pa-agent-v1;ipa=espeak
pronouns-verbs.you-polite,ਤੁਸੀਂ,,tusīṁ,tʊsĩ,you (polite),2,pa-agent-v1;ipa=espeak
pronouns-verbs.he-him,ਉਹ,,uh,ʊ˥,he — Punjabi does not mark gender on the pronoun,2,pa-agent-v1;ipa=espeak
pronouns-verbs.she-her,ਉਹ,,uh,ʊ˥,she — the same pronoun as ਉਹ *he*,2,pa-agent-v1;ipa=espeak
pronouns-verbs.they-them,ਉਹ / ਉਨ੍ਹਾਂ,,uh / unhāṁ,ʊ˥ / ʊ˥nã,they / to them,2,pa-agent-v1;ipa=espeak
pronouns-verbs.my-mine,ਮੇਰਾ,,mērā,meɾa,my (masculine); ਮੇਰੀ before a feminine noun,2,pa-agent-v1;ipa=espeak
pronouns-verbs.your-yours,ਤੁਹਾਡਾ,,tuhāḍā,tʊhaɖa,"your (polite, masculine); ਤੁਹਾਡੀ before a feminine noun",2,pa-agent-v1;ipa=espeak
pronouns-verbs.be-called-call,ਕਹਿੰਦੇ ਹਨ,,kahiṁdē han,kəhɪnde hən,they call / it is called,2,pa-agent-v1;ipa=espeak
pronouns-verbs.have,ਕੋਲ ਹੈ,,kōl hai,kol hɛ,is with (someone) — how Punjabi says *have*,2,pa-agent-v1;ipa=espeak
pronouns-verbs.do-not-have,ਕੋਲ ਨਹੀਂ ਹੈ,,kōl nahīṁ hai,kol nʌhĩ hɛ,is not with (someone),2,pa-agent-v1;ipa=espeak
pronouns-verbs.go,ਜਾਣਾ,,jāṇā,ɟaɳa,to go,2,pa-agent-v1;ipa=espeak
pronouns-verbs.come,ਆਉਣਾ,,āuṇā,aʊɳa,to come,2,pa-agent-v1;ipa=espeak
pronouns-verbs.would-like,ਚਾਹੀਦਾ ਹੈ,,cāhīdā hai,cahida hɛ,is wanted,2,pa-agent-v1;ipa=espeak
pronouns-verbs.want,ਚਾਹੁੰਦਾ ਹਾਂ,,cāhuṁdā hāṁ,cahʊnda hã,I want,2,pa-agent-v1;ipa=espeak
pronouns-verbs.look-for,ਲੱਭਣਾ,,labbhaṇā,lʌ˥bəɳa,to look for,2,pa-agent-v1;ipa=espeak
pronouns-verbs.buy,ਖਰੀਦਣਾ,,kharīdaṇā,kʰəɾidəɳa,to buy,2,pa-agent-v1;ipa=espeak
pronouns-verbs.like,ਪਸੰਦ ਹੈ,,pasaṁd hai,pʌsənd hɛ,is liked,2,pa-agent-v1;ipa=espeak
pronouns-verbs.need,ਲੋੜ ਹੈ,,lōṛ hai,loɽ hɛ,there is need,2,pa-agent-v1;ipa=espeak
pronouns-verbs.there-is-have,ਹੈ,,hai,hɛ,there is,2,pa-agent-v1;ipa=espeak
pronouns-verbs.there-is-not-do-not-have,ਨਹੀਂ ਹੈ,,nahīṁ hai,nʌhĩ hɛ,there is not,2,pa-agent-v1;ipa=espeak
pronouns-verbs.want-to-verb,ਮੈਂ … ਚਾਹੁੰਦਾ ਹਾਂ,,maiṁ … cāhuṁdā hāṁ,mɛ̃ cahʊnda hã,I want to …,2,pa-agent-v1;ipa=espeak
pronouns-verbs.want-thing,ਮੈਨੂੰ … ਚਾਹੀਦਾ ਹੈ,,mainūṁ … cāhīdā hai,mɛnũ cahida hɛ,to me … is wanted,2,pa-agent-v1;ipa=espeak
pronouns-verbs.need-thing,ਮੈਨੂੰ … ਦੀ ਲੋੜ ਹੈ,,mainūṁ … dī lōṛ hai,mɛnũ di loɽ hɛ,to me there is need of …,2,pa-agent-v1;ipa=espeak
pronouns-verbs.looking-for-thing,ਮੈਂ … ਲੱਭ ਰਿਹਾ ਹਾਂ,,maiṁ … labbh rihā hāṁ,mɛ̃ lʌ˥b ɾɪha hã,I am looking for …,2,pa-agent-v1;ipa=espeak
question-words.what,ਕੀ,,kī,ki,,2,pa-agent-v1;ipa=espeak
question-words.where,ਕਿੱਥੇ,,kitthē,kɪttʰe,,2,pa-agent-v1;ipa=espeak
question-words.who,ਕੌਣ,,kauṇ,kɔɳ,,2,pa-agent-v1;ipa=espeak
question-words.which-one,ਕਿਹੜਾ,,kihaṛā,kɪhəɽa,,2,pa-agent-v1;ipa=espeak
question-words.when,ਕਦੋਂ,,kadōṁ,kʌdõ,,2,pa-agent-v1;ipa=espeak
question-words.how,ਕਿਵੇਂ,,kivēṁ,kɪʋẽ,,2,pa-agent-v1;ipa=espeak
question-words.how-much-many,ਕਿੰਨਾ,,kiṁnā,kɪnna,,2,pa-agent-v1;ipa=espeak
question-words.how-many,ਕਿੰਨੇ,,kiṁnē,kɪnne,how many (plural),2,pa-agent-v1;ipa=espeak
question-words.why,ਕਿਉਂ,,kiuṁ,kɪʊ̃,,2,pa-agent-v1;ipa=espeak
question-words.this,ਇਹ,,ih,ɪ˥,,2,pa-agent-v1;ipa=espeak
question-words.that,ਉਹ,,uh,ʊ˥,,2,pa-agent-v1;ipa=espeak
question-words.here,ਇੱਥੇ,,itthē,ɪttʰe,,2,pa-agent-v1;ipa=espeak
question-words.there,ਉੱਥੇ,,utthē,ʊttʰe,,2,pa-agent-v1;ipa=espeak
question-words.a-little,ਥੋੜ੍ਹਾ,,thōṛhā,tʰo˥ɽa,,2,pa-agent-v1;ipa=espeak
question-words.some,ਕੁਝ,,kujh,kʊ˥ɟ,,2,pa-agent-v1;ipa=espeak
question-words.very,ਬਹੁਤ,,bahut,bʌhʊt,,2,pa-agent-v1;ipa=espeak
question-words.too,ਵੀ,,vī,ʋi,too / as well,2,pa-agent-v1;ipa=espeak
question-words.also,ਵੀ,,vī,ʋi,also,2,pa-agent-v1;ipa=espeak
question-words.all-both,ਸਾਰੇ / ਦੋਵੇਂ,,sārē / dōvēṁ,saɾe / doʋẽ,all / both,2,pa-agent-v1;ipa=espeak
