concept_id,text,text_alt,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,Que horas são?,,ky ˈɔɾæs sɐ̃ʊ̃,,2,pt-agent-v1;ipa=espeak
time-scheduling.how-many-minutes,Quantos minutos?,,kwˈɐ̃ŋtʊz mˌinˈutʊs,,2,pt-agent-v1;ipa=espeak
time-scheduling.what-time-should-we-meet,A que horas nos encontramos?,,a ky ˈɔɾæz nʊz ˌeɪŋkoŋtrˈɐ̃mʊs,,2,pt-agent-v1;ipa=espeak
time-scheduling.can-we-change-the-time,Podemos mudar a hora?,,podˌemʊz mudˈaɾ a ˈɔɾæ,,2,pt-agent-v1;ipa=espeak
time-scheduling.when-is-convenient,A que horas é melhor?,,a ky ˈɔɾæz ɛ meljˈɔr,,2,pt-agent-v1;ipa=espeak
time-scheduling.what-is-today-s-date,Qual é a data de hoje?,,kwˈaʊ ɛ a dˈatæ dʒy ˈoʒy,,2,pt-agent-v1;ipa=espeak
time-scheduling.what-day-is-it-today,Que dia é hoje?,,ky dʒˈiæ ɛ ˈoʒy,,2,pt-agent-v1;ipa=espeak
time-scheduling.what-time-does-it-open,A que horas abre?,,a ky ˈɔɾæz ˈabry,,2,pt-agent-v1;ipa=espeak
time-scheduling.what-time-does-it-close,A que horas fecha?,,a ky ˈɔɾæs fˈɛʃæ,,2,pt-agent-v1;ipa=espeak
time-scheduling.how-long-does-it-take,Quanto tempo demora?,Quanto tempo leva?,kwˈɐ̃ŋtʊ tˈeɪmpʊ dˌemˈɔɾæ,,2,pt-agent-v1;ipa=espeak
time-words.today,hoje,,ˈoʒy,,2,pt-agent-v1;ipa=espeak
time-words.tomorrow,amanhã,,ˌæmɐ̃ɲˈɐ̃,,2,pt-agent-v1;ipa=espeak
time-words.yesterday,ontem,,ˈoŋteɪŋ,,2,pt-agent-v1;ipa=espeak
time-words.this-week,esta semana,,ˌɛstæ sˌemˈɐ̃næ,,2,pt-agent-v1;ipa=espeak
time-words.next-week,a próxima semana,,a prˈɔsimæ sˌemˈɐ̃næ,,2,pt-agent-v1;ipa=espeak
time-words.morning,a manhã,,a mɐ̃ɲˈɐ̃,,2,pt-agent-v1;ipa=espeak
time-words.afternoon,a tarde,,a tˈaɾədʒy,,2,pt-agent-v1;ipa=espeak
time-words.evening,o fim da tarde,o serão,ʊ fˈiŋ da tˈaɾədʒy,,2,pt-agent-v1;ipa=espeak
time-words.spring,a primavera,,a prˌimavˈɛɾæ,,2,pt-agent-v1;ipa=espeak
time-words.summer,o verão,,ʊ veɾˈɐ̃ʊ̃,,2,pt-agent-v1;ipa=espeak
time-words.fall,o outono,,u ˌowtˈonʊ,,2,pt-agent-v1;ipa=espeak
time-words.winter,o inverno,,u ˌiŋvˈɛɾənʊ,,2,pt-agent-v1;ipa=espeak
time-words.night,a noite,,a nˈoɪtʃy,,2,pt-agent-v1;ipa=espeak
days-of-week.monday,segunda-feira,segunda,sˌeɡˈũŋdæfeɪɾæ,,2,pt-agent-v1;ipa=espeak
days-of-week.tuesday,terça-feira,terça,tˈeɾəsæfeɪɾæ,,2,pt-agent-v1;ipa=espeak
days-of-week.wednesday,quarta-feira,quarta,kwˈaɾətæfeɪɾæ,,2,pt-agent-v1;ipa=espeak
days-of-week.thursday,quinta-feira,quinta,kˈiŋtæfeɪɾæ,,2,pt-agent-v1;ipa=espeak
days-of-week.friday,sexta-feira,sexta,sˈestæfeɪɾæ,,2,pt-agent-v1;ipa=espeak
days-of-week.saturday,sábado,,sˈabædʊ,,2,pt-agent-v1;ipa=espeak
days-of-week.sunday,domingo,,dˌomˈiŋɡʊ,,2,pt-agent-v1;ipa=espeak
months.january,janeiro,,ʒˌænˈeɪɾʊ,,2,pt-agent-v1;ipa=espeak
months.february,fevereiro,,fˌeveɾˈeɪɾʊ,,2,pt-agent-v1;ipa=espeak
months.march,março,,mˈaɾəsʊ,,2,pt-agent-v1;ipa=espeak
months.april,abril,,abrˈiʊ,,2,pt-agent-v1;ipa=espeak
months.may,maio,,mˈaɪʊ,,2,pt-agent-v1;ipa=espeak
months.june,junho,,ʒˈũɲʊ,,2,pt-agent-v1;ipa=espeak
months.july,julho,,ʒˈuljʊ,,2,pt-agent-v1;ipa=espeak
months.august,agosto,,ˌaɡˈostʊ,,2,pt-agent-v1;ipa=espeak
months.september,setembro,,sˌetˈeɪmbrʊ,,2,pt-agent-v1;ipa=espeak
months.october,outubro,,ˌowtˈubrʊ,,2,pt-agent-v1;ipa=espeak
months.november,novembro,,nˌovˈeɪmbrʊ,,2,pt-agent-v1;ipa=espeak
months.december,dezembro,,dˌezˈeɪmbrʊ,,2,pt-agent-v1;ipa=espeak
time-words.clock-offset,"O relógio suaíli começa ao amanhecer e conta seis horas a menos do que o relógio de pulso: saa moja são as 7:00, saa sita é o meio-dia, saa kumi são as 16:00. Some seis horas ao número que ouvir. Diga a hora em algarismos ou pergunte saa ngapi za kizungu para a hora ocidental.",,,,2,pt-notes-v1
