concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
time-scheduling.what-time-is-it,ຈັກໂມງແລ້ວ,,chakmônglèo,cak˧˥moːŋ˧˥lɛːw˥˨,literally 'how many hours already',2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
time-scheduling.how-many-minutes,ຈັກນາທີ,,chaknathi,cak˧˥naː˧˥tʰiː˧˥,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-scheduling.what-time-should-we-meet,ພວກເຮົາພົບກັນຈັກໂມງ,,phouakhaophôpkanchakmông,pʰua̯k˥˨haw˧˥pʰop˧kan˩cak˧˥moːŋ˧˥,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
time-scheduling.can-we-change-the-time,ປ່ຽນເວລາໄດ້ບໍ່,,pianvéladaibo,pia̯n˧weː˧˥laː˧˥daj˥˨bɔː˧,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
time-scheduling.when-is-convenient,ເວລາໃດສະດວກ,,véladaisadouak,weː˧˥laː˧˥daj˩saʔ˧˥dua̯k˧˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-scheduling.what-is-today-s-date,ວັນນີ້ວັນທີເທົ່າໃດ,,vannivanthithaodai,wan˧˥niː˥˨wan˧˥tʰiː˧˥tʰaw˧daj˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-scheduling.what-day-is-it-today,ວັນນີ້ວັນຫຍັງ,,vannivangnang,wan˧˥niː˥˨wan˧˥ɲaŋ˩,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-scheduling.what-time-does-it-open,ເປີດຈັກໂມງ,,peutchakmông,pɤːt˧˩cak˧˥moːŋ˧˥,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices);ipa=lo-g2p"
time-scheduling.what-time-does-it-close,ປິດຈັກໂມງ,,pitchakmông,pit˧˥cak˧˥moːŋ˧˥,,2,"Lao PDR public signage and announcement wording (Wattay International Airport, Vientiane Capital public notices);ipa=lo-g2p"
time-scheduling.how-long-does-it-take,ໃຊ້ເວລາຫຼາຍປານໃດ,,xaivélalaypandai,saj˥˨weː˧˥laː˧˥laːj˩paːn˩daj˩,,2,"Enfield, N. J., *A Grammar of Lao* (Mouton de Gruyter, 2007);ipa=lo-g2p"
time-words.today,ວັນນີ້,,vanni,wan˧˥niː˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.tomorrow,ມື້ອື່ນ,,muun,mɯː˥˨ʔɯːn˧,"unrelated to the word for yesterday, so there is no ambiguity",2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
time-words.yesterday,ມື້ວານນີ້,,muvanni,mɯː˥˨waːn˧˥niː˥˨,,2,"Kerr, Allen D., *Lao-English Dictionary* (Catholic University of America Press, 1972);ipa=lo-g2p"
