concept_id,text,text_alt,ipa,literal,confidence,provenance
dietary-needs.no-meat,Hús nélkül,,hˈuːʃ nˈeːlkyl,,2,hu-agent-v1;ipa=espeak
dietary-needs.no-eggs,Tojás nélkül,,tˈojaːʃ nˈeːlkyl,,2,hu-agent-v1;ipa=espeak
dietary-needs.not-spicy,Ne legyen csípős,,nˈɛ lˈɛɟɛn tʃˈiːpøːʃ,,2,hu-agent-v1;ipa=espeak
dietary-needs.less-spicy,Kevésbé csípősen,,kˈɛveːʃbeː tʃˈiːpøːʃɛn,,2,hu-agent-v1;ipa=espeak
dietary-needs.no-peanuts,Földimogyoró nélkül,,fˈøldimoɟoroː nˈeːlkyl,mogyoró on its own is hazelnut,2,hu-agent-v1;ipa=espeak
dietary-needs.no-nuts,"Csonthéjas nélkül: dió, mandula, mogyoró",,"tʃˈontheːjɑʃ nˈeːlkyl dˈioː, mˈɑndulɑ, mˈoɟoroː",csonthéjas is the label term; peanut is listed apart,2,hu-agent-v1;ipa=espeak
dietary-needs.no-seafood,Hal és tenger gyümölcsei nélkül,,hˈɑl ˈeːʃ tˈɛnɡɛr ɟˈymøltʃɛi nˈeːlkyl,tenger gyümölcsei on its own excludes fish,2,hu-agent-v1;ipa=espeak
dietary-needs.i-am-vegetarian,Vegetáriánus vagyok,,vˈɛɡɛtaːriaːnuʃ vˈɑɟok,,2,hu-agent-v1;ipa=espeak
dietary-needs.i-am-vegan,Vegán vagyok,,vˈɛɡaːn vˈɑɟok,,2,hu-agent-v1;ipa=espeak
dietary-needs.i-do-not-eat,Nem eszem a következőt: {},,nˈɛm ˈɛsɛm ˈɑ kˈøvɛtkɛzøːt {},,2,hu-agent-v1;ipa=espeak
dietary-needs.i-am-allergic-to,Allergiás vagyok a következőre: {},,ˈɑllɛrɡiaːʃ vˈɑɟok ˈɑ kˈøvɛtkɛzøːrɛ {},,2,hu-agent-v1;ipa=espeak
dietary-needs.does-it-contain-fish-stock,Van benne halalaplé?,,vˈɑn bˈɛnnɛ hˈɑlɑlɑpleː,,2,hu-agent-v1;ipa=espeak
dietary-needs.does-it-contain-pork-stock,Van benne sertésalaplé?,,vˈɑn bˈɛnnɛ ʃˈɛrteːʃɑlɑpleː,the lard this row used to name is its own concept now,2,hu-agent-v1;narrowed-by-pork-fat-agent-v1;ipa=espeak
dietary-needs.i-have-a-severe-allergy-to,Súlyos allergiám van a következőre: {},,ʃˈuːjoʃ ˈɑllɛrɡiaːm vˈɑn ˈɑ kˈøvɛtkɛzøːrɛ {},,2,hu-agent-v1;ipa=espeak
food-ordering.table-for-two,Asztalt két főre,,ˈɑstɑlt kˈeːt fˈøːrɛ,,2,hu-agent-v1;ipa=espeak
food-ordering.is-a-table-available,Van szabad asztal?,,vˈɑn sˈɑbɑd ˈɑstɑl,,2,hu-agent-v1;ipa=espeak
food-ordering.menu-please,"Az étlapot, kérem",,"ˈɑz ˈeːtlɑpot, kˈeːrɛm",,2,hu-agent-v1;ipa=espeak
food-ordering.i-want-this,Ezt kérem,,ˈɛst kˈeːrɛm,,2,hu-agent-v1;ipa=espeak
food-ordering.do-you-have-drinking-water,Van ivóvizük?,,vˈɑn ˈivoːvizyk,,2,hu-agent-v1;ipa=espeak
food-ordering.to-go-please,"Elvitelre, kérem",,"ˈɛlvitɛlrɛ, kˈeːrɛm",,2,hu-agent-v1;ipa=espeak
food-ordering.check-please,"A számlát, kérem",,"ˈɑ sˈaːmlaːt, kˈeːrɛm",,2,hu-agent-v1;ipa=espeak
food-ordering.does-it-contain,Tartalmazza a következőt: {}?,,tˈɑrtɑlmɑzzɑ ˈɑ kˈøvɛtkɛzøːt {},,2,hu-agent-v1;ipa=espeak
food-ordering.is-this-vegetarian,Ez vegetáriánus?,,ˈɛz vˈɛɡɛtaːriaːnuʃ,,2,hu-agent-v1;ipa=espeak
food-ordering.what-do-you-recommend,Mit ajánl?,,mˈit ˈɑjaːll,,2,hu-agent-v1;ipa=espeak
food-ordering.water-please,"Egy vizet, kérem",,"ˈɛɟ vˈizɛt, kˈeːrɛm",,2,hu-agent-v1;ipa=espeak
food-ordering.can-a-vegetarian-eat-this,Ezt megeheti egy vegetáriánus?,,ˈɛst mˈɛɡɛhɛti ˈɛɟ vˈɛɡɛtaːriaːnuʃ,,2,hu-agent-v1;ipa=espeak
dietary-needs.no-pork,"Sertéshús, sonka, kolbász, szalonna és zsír nélkül",,"ʃˈɛrteːʃhuːʃ, ʃˈonkɑ, kˈolbaːs, sˈɑlonnɑ ˈeːʃ ʒˈiːr nˈeːlkyl",,2,hu-agent-v1;ipa=espeak
dietary-needs.is-this-halal,Ez halal?,,ˈɛz hˈɑlɑl,,2,hu-agent-v1;ipa=espeak
dietary-needs.does-it-contain-pork-fat,Van benne sertészsír vagy szalonna?,,vˈɑn bˈɛnnɛ ʃˈɛrteːʃʒiːr vˈɑɟ sˈɑlonnɑ,lard is a default cooking fat in Hungary,2,pork-fat-agent-v1;in-pack-frame;ipa=espeak
