concept_id,text,text_alt,romanization_ala-lc,ipa,literal,confidence,provenance
introductions.my-name-is,اسمي {},,ismī {},ˈismiːj {},,2,ar-agent-v1;ipa=espeak
introductions.nice-to-meet-you,تشرّفنا,سعيد بمعرفتك,tasharrafnā,tʃrrfnˈaː,we are honoured,2,ar-agent-v1;ipa=espeak
introductions.what-is-your-name,ما اسمك؟,,mā ismak?,mˈaː ˈismka,,2,ar-agent-v1;ipa=espeak
introductions.we-are-traveling-together,نحن نسافر معاً,,naḥnu nusāfir maʿan,nˈaħnu nsˈaːfr mʕˈaː,,2,ar-agent-v1;ipa=espeak
introductions.this-is-my-friend,هذا صديقي,هذه صديقتي,hādhā ṣadīqī,haˈaðaˌa s̪ˈidːiːqˌiː,,2,ar-agent-v1;ipa=espeak
introductions.i-am-from,أنا من {},,anā min {},ˈana mˈin {},,2,ar-agent-v1;ipa=espeak
introductions.where-are-you-from,من أين أنت؟,,min ayna anta?,mˈin ʔˈajna ʔˈanta,,2,ar-agent-v1;ipa=espeak
introductions.how-are-you,كيف حالك؟,,kayf ḥālak?,kˈajfa ħˈaːlik,,2,ar-agent-v1;ipa=espeak
introductions.i-am-a-tourist,أنا سائح,,anā sāʾiḥ,ˈana sˈaːʔiħ,,2,ar-agent-v1;ipa=espeak
introductions.this-is-my-husband-wife,هذا زوجي / هذه زوجتي,,hādhā zawjī / hādhihi zawjatī,haˈaðaˌa zˈawdʒiːj / haˈaðihˌi zˈuːdʒtiː,,2,ar-agent-v1;ipa=espeak
introductions.this-is-my-daughter-son,هذه ابنتي / هذا ابني,,hādhihi ibnatī / hādhā ibnī,haˈaðihˌi ˈabntiː / haˈaðaˌa ˈabniː,,2,ar-agent-v1;ipa=espeak
introductions.i-am-traveling-alone,أسافر وحدي,,usāfir waḥdī,ʔsˈaːfr wħdiː,,2,ar-agent-v1;ipa=espeak
