section_id,title
social-basics,Osnovne fraze
communication,Komunikacija
quick-responses,Kratki odgovori
phone-translation,Prevoditelj na mobitelu
phone-text-power,"Mobitel, poruke i struja"
sim-data,"SIM, podaci i Wi-Fi"
introductions,Predstavljanje
etiquette,Napojnica i običaji
slang,Žargon (neformalno)
profanity,Psovke (jake)
time-scheduling,Vrijeme i dogovori
time-words,Riječi za vrijeme
days-of-week,Dani u tjednu
months,Mjeseci
pronouns-verbs,Osnovne riječi i obrasci
question-words,Pitanja i male riječi
payment-receipt,Plaćanje i račun
numbers-money,Brojevi i novac
atm-cash,Bankomat i gotovina
dietary-needs,Prehrambene potrebe
utility-templates,Korisni obrasci
shopping,Kupovina
color-size-returns,"Boja, veličina i povrat"
tax-refund,Povrat PDV-a
food-ordering,Hrana i naručivanje
attractions-tickets,Atrakcije i ulaznice
children,S djecom
directions,Upute za put
quick-directions,Kratke upute
taxi,Taksi
building-help,Pomoć u zgradi
accessibility,Pristupačnost i kretanje
transit-rides,Prijevoz i vožnje
in-a-building,U zgradi
toilets,Toaleti
building-words,Riječi u zgradi
hotel-words,Riječi za hotel
hotel-basics,Osnove u hotelu
hotel-requests,Zamolbe u hotelu
room-problems,Problemi u sobi
laundry,Pranje rublja
place-words,Riječi za mjesta
border-customs,Granica i carina
trail-words,Riječi za staze
pickup-meeting,Preuzimanje i sastajanje
rail-station-words,Vlak i stanica
common-signs,Uobičajeni znakovi
weather,Vremenske prilike
hiking-parks,Planinarenje i parkovi
trail-conditions,Uvjeti i ruta
trail-transport,Prijevoz i usluge
trail-warnings,Upozorenja na stazi
trail-landmarks,Orijentiri i usluge na stazi
emergency-medical,Hitno i medicinsko
medical-conditions,Bolesti i lijekovi
pharmacy-symptoms,Ljekarna i simptomi
body-parts,Dijelovi tijela
lost-rescue,Izgubljene stvari i spašavanje
police-consulate,"Policija, krađa i konzulat"
