concept_id,text,text_alt,romanization_elot,ipa,literal,confidence,provenance
directions.where-is,Πού είναι {};,,Pou einai {};,pˈu ˈine {},,2,el-agent-v1;roman=elot743;ipa=espeak
directions.how-do-i-get-to,Πώς πάω εδώ: {};,Θέλω να πάω εδώ: {},Pos pao edo: {};,pˈos pˈao eðˈo {},How do I go here: {}? (fill takes no case),2,el-agent-v1;roman=elot743;ipa=espeak
directions.is-it-far,Είναι μακριά;,,Einai makria;,ˈine mˌakɾiˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.how-long-on-foot,Πόση ώρα με τα πόδια;,,Posi ora me ta podia;,pˈosi ˈoɾa me ta pˈoðja,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.please-show-me-on-the-map,"Δείξτε μου στον χάρτη, παρακαλώ",,"Deixte mou ston charti, parakalo","ðˈikste mu ston xˈaɾti, pˌaɾakalˈo",,2,el-agent-v1;roman=elot743;ipa=espeak
directions.where-is-the-nearest,Πού υπάρχει {} εδώ κοντά;,,Pou yparchei {} edo konta;,pˈu ipˈaɾçi {} eðˈo kodˈa,Where is there {} near here? (nominative fill),2,el-agent-v1;roman=elot743;ipa=espeak
directions.where-am-i,Πού είμαι;,,Pou eimai;,pˈu ˈime,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.which-way,Προς τα πού;,,Pros ta pou;,pɾˈos ta pˈu,Toward where?,2,el-agent-v1;roman=elot743;ipa=espeak
directions.can-i-walk-there,Μπορώ να πάω με τα πόδια;,,Boro na pao me ta podia;,boɾˈo na pˈao me ta pˈoðja,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.how-far-is-it,Πόσο μακριά είναι;,,Poso makria einai;,pˈoso mˌakɾiˈa ˈine,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.which-exit,Ποια έξοδος;,Από ποια έξοδο βγαίνω;,Poia exodos;,pˈia ˈeksoðˌos,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.can-you-show-me-the-way,Μπορείτε να μου δείξετε τον δρόμο;,,Boreite na mou deixete ton dromo;,boɾˈite na mu ðˈiksetˌe ton ðɾˈomo,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.north,βορράς,βόρεια,vorras,voɾˈas,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.south,νότος,νότια,notos,nˈotos,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.east,ανατολή,ανατολικά,anatoli,ˌanatolˈi,,2,el-agent-v1;roman=elot743;ipa=espeak
directions.west,δύση,δυτικά,dysi,ðˈisi,,2,el-agent-v1;roman=elot743;ipa=espeak
quick-directions.go-straight,Ευθεία,Πηγαίνετε ευθεία,Eftheia,efθˈia,,2,el-agent-v1;roman=elot743;ipa=espeak
quick-directions.turn-left,Στρίψτε αριστερά,Αριστερά,Stripste aristera,stɾˈipste ˌaɾisteɾˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
quick-directions.turn-right,Στρίψτε δεξιά,Δεξιά,Stripste dexia,stɾˈipste ðˌeksiˈa,,2,el-agent-v1;roman=elot743;ipa=espeak
quick-directions.this-way,Από εδώ,,Apo edo,apˈo eðˈo,,2,el-agent-v1;roman=elot743;ipa=espeak
quick-directions.that-way,Από εκεί,,Apo ekei,apˈo ecˈi,,2,el-agent-v1;roman=elot743;ipa=espeak
