section_id,title
social-basics,રોજની વાતો
communication,વાતચીત
quick-responses,ટૂંકા જવાબ
phone-translation,ફોનથી ભાષાંતર
phone-text-power,"ફોન, સંદેશ અને ચાર્જ"
sim-data,"સિમ, ડેટા અને વાઇ-ફાઇ"
introductions,ઓળખાણ
etiquette,ટિપ અને રીતરિવાજ
slang,બોલચાલ
profanity,ગાળ (ભારે)
time-scheduling,સમય અને ગોઠવણ
time-words,સમયના શબ્દ
days-of-week,અઠવાડિયાના વાર
months,મહિના
pronouns-verbs,પાયાના શબ્દ અને ઢાંચા
question-words,સવાલ અને નાના શબ્દ
payment-receipt,પૈસા અને પહોંચ
numbers-money,આંકડા અને પૈસા
atm-cash,એટીએમ અને રોકડ
dietary-needs,ખાવાની જરૂરિયાત
utility-templates,કામના ઢાંચા
shopping,ખરીદી
color-size-returns,"રંગ, માપ અને પરત"
tax-refund,ટૅક્સ પરત
food-ordering,ખાવાનું મંગાવવું
attractions-tickets,જોવાલાયક જગ્યા અને ટિકિટ
children,બાળકો સાથે
directions,રસ્તો
quick-directions,ટૂંકા રસ્તા
taxi,ટૅક્સી
building-help,મકાનમાં મદદ
accessibility,સુગમતા અને હેરફેર
transit-rides,"બસ, ટ્રેન અને મેટ્રો"
in-a-building,મકાનની અંદર
toilets,શૌચાલય
building-words,મકાનના શબ્દ
hotel-words,હોટેલના શબ્દ
hotel-basics,હોટેલની પાયાની વાતો
hotel-requests,હોટેલમાં માગણી
room-problems,ઓરડાની તકલીફ
laundry,ધોલાઈ
place-words,જગ્યાના શબ્દ
border-customs,સરહદ અને જકાત
trail-words,રસ્તાના શબ્દ
pickup-meeting,લેવા-મળવાની જગ્યા
rail-station-words,રેલ અને સ્ટેશનના શબ્દ
common-signs,સામાન્ય પાટિયાં
weather,હવામાન અને સ્થિતિ
hiking-parks,ટ્રેકિંગ અને ઉદ્યાન
trail-conditions,સ્થિતિ અને રસ્તો
trail-transport,વાહન અને સેવા
trail-warnings,રસ્તાની ચેતવણી
trail-landmarks,રસ્તાની નિશાની અને સેવા
emergency-medical,કટોકટી અને દવા
medical-conditions,બીમારી અને દવા
pharmacy-symptoms,દવાની દુકાન અને લક્ષણ
body-parts,શરીરના ભાગ
lost-rescue,ખોવાયેલી વસ્તુ અને બચાવ
police-consulate,"પોલીસ, ચોરી અને દૂતાવાસ"
