concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
social-basics.hello,Добрий день,,Dobryi den,dˈobrɪj dˈɛɲ,,2,uk-agent-v1;ipa=espeak
social-basics.hello-polite,Доброго дня!,,Dobroho dnia!,dobrˈoho dɲˈa,,2,uk-agent-v1;ipa=espeak
social-basics.good-morning,Добрий ранок,,Dobryi ranok,dˈobrɪj ranˈok,,2,uk-agent-v1;ipa=espeak
social-basics.good-evening,Добрий вечір,,Dobryi vechir,dˈobrɪj ʋˈɛtʃiːr,,2,uk-agent-v1;ipa=espeak
social-basics.goodbye,До побачення,,Do pobachennia,dˈo pobˈatʃɛnɲa,,2,uk-agent-v1;ipa=espeak
social-basics.thank-you,Дякую,,Diakuiu,djˈakuju,,2,uk-agent-v1;ipa=espeak
social-basics.you-are-welcome,Будь ласка,Нема за що,Bud laska,bˈud lˈaska,,2,uk-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,Перепрошую,,Pereproshuiu,pɛrɪprˈoʃuju,,2,uk-agent-v1;ipa=espeak
social-basics.sorry,Вибачте,,Vybachte,ʋɪbˈatʃtɛ,,2,uk-agent-v1;ipa=espeak
social-basics.no-problem,Нічого страшного,,Nichoho strashnoho,ɲiːtʃˈoho straʃnˈoho,,2,uk-agent-v1;ipa=espeak
social-basics.i-do-not-know,Я не знаю,,Ya ne znaiu,jˈa nˈɛ znˈaju,,2,uk-agent-v1;ipa=espeak
social-basics.good-night,На добраніч,,Na dobranich,nˈa dobraɲˈiːtʃ,,2,uk-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,Все добре,,Vse dobre,fsˈɛ dˈobrɛ,,2,uk-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,Я не розмовляю {target}.,,Ya ne rozmovliaiu {target}.,jˈa nˈɛ rozmˈoʋʎaju {target},,2,language-slots-v1;ipa=espeak
communication.i-speak-only-a-little-of-this,Я трохи розмовляю {target}.,,Ya trokhy rozmovliaiu {target}.,jˈa trˈoxɪ rozmˈoʋʎaju {target},,2,language-slots-v1;ipa=espeak
communication.do-you-speak-english,Ви розмовляєте {source}?,,Vy rozmovliaiete {source}?,ʋˈɪ rozmoʋʎˈajɛtɛ {source},,2,language-slots-v1;ipa=espeak
communication.please-speak-more-slowly,"Говоріть повільніше, будь ласка.",,"Hovorit povilnishe, bud laska.","hoʋˈoriːt poʋˈiːʎɲiːʃɛ, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
communication.i-do-not-understand-spoken,Не розумію.,,Ne rozumiiu.,nˈɛ rozˈumiːju,,2,uk-agent-v1;ipa=espeak
communication.i-cannot-read-understand,Не читаю і не розумію.,,Ne chytaiu i ne rozumiiu.,nˈɛ tʃɪtˈaju ˈiː nˈɛ rozˈumiːju,,2,uk-agent-v1;ipa=espeak
communication.please-say-it-again,"Повторіть, будь ласка.",,"Povtorit, bud laska.","poftˈoriːt, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
communication.please-write-it-down,"Напишіть, будь ласка.",,"Napyshit, bud laska.","napˈɪʃiːt, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
communication.please-wait-a-moment,"Зачекайте, будь ласка.",,"Zachekaite, bud laska.","zatʃˈɛkajtɛ, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
communication.can-you-help-me,Ви можете допомогти?,,Vy mozhete dopomohty?,ʋˈɪ moʒˈɛtɛ dopˈomohtɪ,,2,uk-agent-v1;ipa=espeak
communication.please-show-me-the-text,Покажіть мені текст {target}.,,Pokazhit meni tekst {target}.,pokˈaʒiːt mˈɛɲiː tˈɛkst {target},,2,language-slots-v1;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,"Я не розбираю, що ви кажете.",,"Ya ne rozbyraiu, shcho vy kazhete.","jˈa nˈɛ rozbˈɪraju, ʃtʃˈo ʋˈɪ kaʒˈɛtɛ",,2,uk-agent-v1;ipa=espeak
communication.i-do-not-understand,Я не розумію.,,Ya ne rozumiiu.,jˈa nˈɛ rozˈumiːju,,2,uk-agent-v1;ipa=espeak
communication.i-cannot-read-it,Я не можу це прочитати.,,Ya ne mozhu tse prochytaty.,jˈa nˈɛ mˈoʒu tsˈɛ protʃˈɪtatɪ,,2,uk-agent-v1;ipa=espeak
communication.please-write-it-in-roman-letters,"Напишіть, будь ласка, латинськими літерами.",,"Napyshit, bud laska, latynskymy literamy.","napˈɪʃiːt, bˈud lˈaska, latˈɪnskɪmɪ ʎiːtˈɛramɪ",,2,uk-agent-v1;ipa=espeak
quick-responses.please-go-ahead,будь ласка,,bud laska,bˈud lˈaska,,2,uk-agent-v1;ipa=espeak
quick-responses.yes-right,так / правильно,,tak / pravylno,tˈak / praʋˈɪʎno,,2,uk-agent-v1;ipa=espeak
quick-responses.no-not,ні / не,,ni / ne,ɲˈiː / nˈɛ,,2,uk-agent-v1;ipa=espeak
quick-responses.okay-can,добре / можна,,dobre / mozhna,dˈobrɛ / mˈoʒna,,2,uk-agent-v1;ipa=espeak
quick-responses.cannot-not-allowed,не можна,,ne mozhna,nˈɛ mˈoʒna,,2,uk-agent-v1;ipa=espeak
quick-responses.works-okay,працює,,pratsiuie,pratsjˈujɛ,,2,uk-agent-v1;ipa=espeak
quick-responses.does-not-work-no,не працює,,ne pratsiuie,nˈɛ pratsjˈujɛ,,2,uk-agent-v1;ipa=espeak
quick-responses.can-possible,можна,,mozhna,mˈoʒna,,2,uk-agent-v1;ipa=espeak
quick-responses.cannot-not-possible,не можна / неможливо,,ne mozhna / nemozhlyvo,nˈɛ mˈoʒna / nɛmˈoʒlɪʋo,,2,uk-agent-v1;ipa=espeak
quick-responses.okay-fine,гаразд,,harazd,hˈarazd,,2,uk-agent-v1;ipa=espeak
quick-responses.no-good-not-allowed-will-not-work,не годиться / не можна,,ne hodytsia / ne mozhna,nˈɛ hodˈɪtsja / nˈɛ mˈoʒna,,2,uk-agent-v1;ipa=espeak
phone-translation.i-am-using-phone-translation,Я використовую перекладач у телефоні.,,Ya vykorystovuiu perekladach u telefoni.,jˈa ʋɪkorˈɪstoʋuju pɛrɪklˈadatʃ ˈu tɛlɪfˈoɲiː,,2,uk-agent-v1;ipa=espeak
phone-translation.please-speak-toward-the-phone,"Говоріть у телефон, будь ласка.",,"Hovorit u telefon, bud laska.","hoʋˈoriːt ˈu tɛlˈɛfon, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
phone-translation.please-write-the-place-name,Напишіть назву місця {target}.,,Napyshit nazvu mistsia {target}.,napˈɪʃiːt nˈazʋu mˈiːstsja {target},,2,language-slots-v1;ipa=espeak
