concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
pronouns-verbs.i-me,من,,man,man,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.we-us,ما,,mā,mɑ,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.you,تو,,to,to,informal singular -- use shomā with a stranger,2,fa-agent-v1;ipa=espeak
pronouns-verbs.you-polite,شما,,shomā,ʃomɑ,also the plural: one word for both,2,fa-agent-v1;ipa=espeak
pronouns-verbs.he-him,او,,u,u,Persian marks no gender: u is he and she alike,2,fa-agent-v1;ipa=espeak
pronouns-verbs.she-her,او,,u,u,Persian marks no gender: u is he and she alike,2,fa-agent-v1;ipa=espeak
pronouns-verbs.they-them,آن‌ها,اون‌ها,ānhā,ɑnhɑ,spoken unhā,2,fa-agent-v1;ipa=espeak
pronouns-verbs.my-mine,مالِ من,,māl-e man,mɑle man,"'my room' is otāq-e man: the noun first, then -e man",2,fa-agent-v1;ipa=espeak
pronouns-verbs.your-yours,مالِ شما,,māl-e shomā,mɑle ʃomɑ,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.be-called-call,اسم داشتن,صدا زدن,esm dāshtan,esm dɑʃtan,to have a name -- 'my name is X' is esm-e man X ast,2,fa-agent-v1;ipa=espeak
pronouns-verbs.have,داشتن,,dāshtan,dɑʃtan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.do-not-have,نداشتن,,nadāshtan,nadɑʃtan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.go,رفتن,,raftan,raftan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.come,آمدن,اومدن,āmadan,ɑmadan,spoken umadan,2,fa-agent-v1;ipa=espeak
pronouns-verbs.would-like,می‌خواستم,,mikhāstam,mixɑstam,past tense used for politeness: 'I would like',2,fa-agent-v1;ipa=espeak
pronouns-verbs.want,خواستن,,khāstan,xɑstan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.look-for,دنبال گشتن,,donbāl gashtan,donbɑl ɡaʃtan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.buy,خریدن,,kharidan,xaridan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.like,دوست داشتن,,dust dāshtan,dust dɑʃtan,to like and to love -- one verb,2,fa-agent-v1;ipa=espeak
pronouns-verbs.need,لازم داشتن,,lāzem dāshtan,lɑzem dɑʃtan,,2,fa-agent-v1;ipa=espeak
pronouns-verbs.there-is-have,هست,دارد,hast,hast,there is -- dārad is has,2,fa-agent-v1;ipa=espeak
pronouns-verbs.there-is-not-do-not-have,نیست,ندارد,nist,nist,there is not -- nadārad is has not,2,fa-agent-v1;ipa=espeak
pronouns-verbs.want-to-verb,می‌خواهم…,,mikhāham…,mixɑham,I want to… + the subjunctive: mikhāham beravam,2,fa-agent-v1;ipa=espeak
pronouns-verbs.want-thing,… می‌خواهم,,… mikhāham,mixɑham,"Persian puts the verb last, so the blank comes first",2,fa-agent-v1;ipa=espeak
pronouns-verbs.need-thing,… لازم دارم,,… lāzem dāram,lɑzem dɑram,I need…,2,fa-agent-v1;ipa=espeak
pronouns-verbs.looking-for-thing,دنبالِ … هستم,,donbāl-e … hastam,donbɑle hastam,I am looking for…,2,fa-agent-v1;ipa=espeak
question-words.what,چه,چی,che,tʃe,spoken chi,2,fa-agent-v1;ipa=espeak
question-words.where,کجا,,kojā,kodʒɑ,,2,fa-agent-v1;ipa=espeak
question-words.who,چه کسی,کی,che kasi,tʃe kasi,"spoken ki, which is also the word for 'when'",2,fa-agent-v1;ipa=espeak
question-words.which-one,کدام,کدوم,kodām,kodɑm,spoken kodum,2,fa-agent-v1;ipa=espeak
question-words.when,چه وقت,کِی,che vaqt,tʃe vaqt,also key,2,fa-agent-v1;ipa=espeak
question-words.how,چطور,,chetor,tʃetor,,2,fa-agent-v1;ipa=espeak
question-words.how-much-many,چقدر,,cheqadr,tʃeqadr,,2,fa-agent-v1;ipa=espeak
question-words.how-many,چند,,chand,tʃand,,2,fa-agent-v1;ipa=espeak
question-words.why,چرا,,cherā,tʃerɑ,,2,fa-agent-v1;ipa=espeak
question-words.this,این,,in,in,,2,fa-agent-v1;ipa=espeak
question-words.that,آن,اون,ān,ɑn,spoken un,2,fa-agent-v1;ipa=espeak
question-words.here,اینجا,,injā,indʒɑ,,2,fa-agent-v1;ipa=espeak
question-words.there,آنجا,اونجا,ānjā,ɑndʒɑ,spoken unjā,2,fa-agent-v1;ipa=espeak
question-words.a-little,کمی,یک کم,kami,kami,also yek kam,2,fa-agent-v1;ipa=espeak
question-words.some,چند تا,,chand tā,tʃand tɑ,a few,2,fa-agent-v1;ipa=espeak
question-words.very,خیلی,,kheyli,xejli,,2,fa-agent-v1;ipa=espeak
question-words.too,زیادی,,ziyādi,ziɑdi,too much -- ziyādi gerān ast is 'it is too expensive',2,fa-agent-v1;ipa=espeak
question-words.also,هم,,ham,ham,follows the word it joins: man ham is 'me too',2,fa-agent-v1;ipa=espeak
question-words.all-both,همه / هر دو,,hame / har do,hame / har do,everything / both,2,fa-agent-v1;ipa=espeak
question-words.how-much-what-price,چند است؟,چنده؟,chand ast?,tʃand ast,spoken chande,2,fa-agent-v1;ipa=espeak
