concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
social-basics.hello,નમસ્તે,કેમ છો?,namastē,nəmʌsteː,I bow to you; કેમ છો? is the everyday Gujarati greeting,2,gu-agent-v1;ipa=espeak
social-basics.hello-polite,નમસ્કાર,,namaskār,nəmʌskaːɾ,"the fuller, more formal form of નમસ્તે",2,gu-agent-v1;ipa=espeak
social-basics.good-morning,સુપ્રભાત,શુભ સવાર,suprabhāt,supɾəbʰaːt,good dawn,2,gu-agent-v1;ipa=espeak
social-basics.good-evening,શુભ સાંજ,,śubh sāṁj,ʃubʰ sãɟ,auspicious evening,2,gu-agent-v1;ipa=espeak
social-basics.goodbye,આવજો,,āvajō,aːʋʌɟoː,do come (again) — the ordinary Gujarati parting,2,gu-agent-v1;ipa=espeak
social-basics.thank-you,આભાર,ધન્યવાદ,ābhār,aːbʰaːɾ,gratitude,2,gu-agent-v1;ipa=espeak
social-basics.you-are-welcome,કંઈ વાત નથી,,kaṁī vāt nathī,kʌni ʋaːt nʌtʰi,it is nothing at all,2,gu-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,સાંભળો,એ ભાઈ / એ બહેન,sāṁbhaḷō,sãbʰʌɭoː,listen — the polite way to get attention,2,gu-agent-v1;ipa=espeak
social-basics.sorry,માફ કરશો,,māph karaśō,maːpʰ kəɾʌʃoː,you will forgive (me),2,gu-agent-v1;ipa=espeak
social-basics.no-problem,કંઈ વાંધો નહીં,,kaṁī vāṁdhō nahīṁ,kʌni ʋãdʰoː nʌhĩ,no objection at all,2,gu-agent-v1;ipa=espeak
social-basics.i-do-not-know,મને ખબર નથી,,manē khabar nathī,mʌneː kʰʌbəɾ nʌtʰi,to me there is no knowledge,2,gu-agent-v1;ipa=espeak
social-basics.good-night,શુભ રાત્રિ,,śubh rātri,ʃubʰ ɾaːtɾɪ,auspicious night,2,gu-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,ઠીક છે,બરાબર,ṭhīk chē,ʈʰiːk cʰeː,it is fine,2,gu-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,મને {target} ભાષા આવડતી નથી,,manē {target} bhāṣā āvaḍatī nathī,mʌneː {target} bʰaːʂaː aːʋəɖʌti nʌtʰi,the {target} language is not known to me — ભાષા carries the gender agreement the slot cannot,2,gu-agent-v1;ipa=espeak
