section_id,title
social-basics,ଦିନର କଥା
communication,ଯୋଗାଯୋଗ
quick-responses,ଛୋଟ ଉତ୍ତର
phone-translation,ଫୋନ୍ ଅନୁବାଦ
phone-text-power,"ଫୋନ୍, ଲେଖା ଓ ଚାର୍ଜ"
sim-data,"ସିମ୍, ଡାଟା ଓ ୱାଇ-ଫାଇ"
introductions,ପରିଚୟ
etiquette,ଟିପ୍ସ ଓ ରୀତି
slang,ଚଳନ୍ତି କଥା
profanity,କଡ଼ା କଥା
time-scheduling,ସମୟ ଓ ସୂଚୀ
time-words,ସମୟ ଶବ୍ଦ
days-of-week,ସପ୍ତାହର ବାର
months,ମାସ
pronouns-verbs,ମୂଳ ଶବ୍ଦ ଓ ଗଠନ
question-words,ପ୍ରଶ୍ନ ଓ ଛୋଟ ଶବ୍ଦ
payment-receipt,ଟଙ୍କା ଦେବା ଓ ରସିଦ
numbers-money,ସଂଖ୍ୟା ଓ ଟଙ୍କା
atm-cash,ଏଟିଏମ୍ ଓ ନଗଦ
dietary-needs,ଖାଦ୍ୟ ନିୟମ
utility-templates,କାମ ଆସୁଥିବା ଛାଞ୍ଚ
shopping,କିଣାକିଣି
color-size-returns,"ରଙ୍ଗ, ସାଇଜ ଓ ଫେରସ୍ତ"
tax-refund,କର ଫେରସ୍ତ
food-ordering,ଖାଦ୍ୟ ଓ ଅର୍ଡର
attractions-tickets,ଦର୍ଶନୀୟ ସ୍ଥାନ ଓ ଟିକେଟ
children,ପିଲାଙ୍କ ସହ
directions,ବାଟ
quick-directions,ଛୋଟ ବାଟ ନିର୍ଦ୍ଦେଶ
taxi,ଟାକ୍ସି
building-help,କୋଠାରେ ସାହାଯ୍ୟ
accessibility,ପ୍ରବେଶ ଓ ଚଳାଚଳ
transit-rides,ଗଣ ପରିବହନ
in-a-building,କୋଠା ଭିତରେ
toilets,ଶୌଚାଳୟ
building-words,କୋଠା ଶବ୍ଦ
hotel-words,ହୋଟେଲ ଶବ୍ଦ
hotel-basics,ହୋଟେଲ ମୂଳ କଥା
hotel-requests,ହୋଟେଲ ଅନୁରୋଧ
room-problems,କୋଠରୀ ସମସ୍ୟା
laundry,ଲୁଗା ଧୁଆ
place-words,ଜାଗା ଶବ୍ଦ
border-customs,ସୀମା ଓ ଶୁଳ୍କ
trail-words,ବାଟ ଶବ୍ଦ
pickup-meeting,ପିକଅପ୍ ଓ ଭେଟ
rail-station-words,ରେଳ ଓ ଷ୍ଟେସନ୍ ଶବ୍ଦ
common-signs,ସାଧାରଣ ସଂକେତ
weather,ପାଣିପାଗ ଓ ଅବସ୍ଥା
hiking-parks,ପାହାଡ଼ ଚଢ଼ା ଓ ଉଦ୍ୟାନ
trail-conditions,ଅବସ୍ଥା ଓ ବାଟ
trail-transport,ପରିବହନ ଓ ସେବା
trail-warnings,ବାଟ ଚେତାବନୀ
trail-landmarks,ବାଟ ଚିହ୍ନ ଓ ସେବା
emergency-medical,ଜରୁରୀ ଓ ଚିକିତ୍ସା
medical-conditions,ରୋଗ ଓ ଔଷଧ
pharmacy-symptoms,ଔଷଧ ଦୋକାନ ଓ ଲକ୍ଷଣ
body-parts,ଶରୀରର ଅଙ୍ଗ
lost-rescue,ହଜିବା ଓ ଉଦ୍ଧାର
police-consulate,"ପୋଲିସ୍, ଚୋରି ଓ ଦୂତାବାସ"
massage-spa,ମାଲିସ ଓ ସ୍ପା
board-answers,ସେମାନଙ୍କ ସମ୍ଭାବ୍ୟ ଉତ୍ତର
