concept_id,text,text_alt,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,What room number is this?,,wˌʌt ɹˈuːm nˈʌmbɚɹ ɪz ðˈɪs,,2,latex-reference-v2;ipa=espeak
building-help.i-am-lost,I am lost,,aɪɐm lˈɔst,,2,latex-reference-v2;ipa=espeak
building-help.where-is-reception,Where is reception?,,wˌɛɹ ɪz ɹɪsˈɛpʃən,,2,latex-reference-v2;ipa=espeak
building-help.where-is-a-power-outlet,Where is a power outlet?,,wˌɛɹ ɪz ɐ pˈaʊɚɹ ˈaʊtlɛt,,2,latex-reference-v2;ipa=espeak
in-a-building.is-this-the-correct-entrance,Is this the correct entrance?,,ɪz ðɪs ðə kɚɹˈɛkt ˈɛntɹəns,,2,latex-reference-v2;ipa=espeak
in-a-building.do-you-have-wi-fi,Do you have Wi-Fi?,,dˈuː juː hæv wˈaɪfˌaɪ,,2,latex-reference-v2;ipa=espeak
in-a-building.what-is-the-wi-fi-password,What is the Wi-Fi password?,,wˌʌt ɪz ðə wˈaɪfˌaɪ pˈæswɜːd,,2,latex-reference-v2;ipa=espeak
in-a-building.which-floor,Which floor?,,wˌɪtʃ flˈoːɹ,,2,latex-reference-v2;ipa=espeak
building-words.elevator,elevator,,ˈɛlɪvˌeɪɾɚ,,2,latex-reference-v2;ipa=espeak
building-words.stairs,stairs,,stˈɛɹz,,2,latex-reference-v2;ipa=espeak
building-words.entrance,entrance,,ˈɛntɹəns,,2,latex-reference-v2;ipa=espeak
building-words.exit,exit,,ˈɛɡzɪt,,2,latex-reference-v2;ipa=espeak
building-words.men,men,,mˈɛn,,2,latex-reference-v2;ipa=espeak
building-words.women,women,,wˈɪmɪn,,2,latex-reference-v2;ipa=espeak
building-words.door,door,,dˈoːɹ,,2,latex-reference-v2;ipa=espeak
building-words.key,key,,kˈiː,,2,latex-reference-v2;ipa=espeak
toilets.where-toilet,Where is the toilet?,,wˌɛɹ ɪz ðə tˈɔɪlɪt,,2,expansion-v1;ipa=espeak
toilets.where-public-toilet,Where is a public toilet?,,wˌɛɹ ɪz ɐ pˈʌblɪk tˈɔɪlɪt,,2,expansion-v1;ipa=espeak
toilets.may-i-use-the-toilet,May I use the toilet?,,mˈeɪ aɪ jˈuːz ðə tˈɔɪlɪt,,2,expansion-v1;ipa=espeak
toilets.is-it-only-for-customers,Is it only for customers?,,ɪz ɪɾ ˈoʊnli fɔːɹ kˈʌstəmɚz,,2,expansion-v1;ipa=espeak
toilets.toilet-wc,toilet / WC,,tˈɔɪlɪt / dˌʌbəljˌuːsˈiː,,2,expansion-v1;ipa=espeak
toilets.is-it-free,Is it free?,,ɪz ɪt fɹˈiː,,2,expansion-v1;ipa=espeak
toilets.do-i-need-a-coin,Do I need a coin or token?,,dˈuː aɪ nˈiːd ɐ kˈɔɪn ɔːɹ tˈoʊkən,,2,expansion-v1;ipa=espeak
