concept_id,text,text_alt,ipa,literal,confidence,provenance
laundry.please-wash-these-clothes,Bitte diese Wäsche waschen.,,bˈɪtə dˌiːzə vˈɛʃə vˈaʃən,,2,de-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,Wo ist ein Waschsalon?,,vˌoː ɪst aɪn vˈaʃzˌɑloːn,,2,de-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,Wann ist es fertig?,,vˈan ɪst ɛs fˈɛɾtɪç,,2,de-agent-v1;ipa=espeak
laundry.how-much-per-kilo,Wie viel pro Kilo?,,viː fˈiːl pɾoː kˈiːloː,,2,de-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,Ist es heute fertig?,,ɪst ɛs hˈɔɪtə fˈɛɾtɪç,,2,de-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,Bitte kein Bleichmittel.,,bˈɪtə kˈaɪn blˈaɪçmɪtəl,,2,de-agent-v1;ipa=espeak
laundry.laundromat,Waschsalon,,vˈaʃzˌɑloːn,,2,de-agent-v1;ipa=espeak
laundry.please-iron-this,Bitte das bügeln.,,bˈɪtə das bˈyːɡəln,,2,de-agent-v1;ipa=espeak
laundry.detergent,Waschmittel,,vˈaʃmˌɪtəl,,2,de-agent-v1;ipa=espeak
laundry.dry-cleaning,Reinigung,chemische Reinigung,rˈaɪnɪɡˌʊŋ,,2,de-agent-v1;ipa=espeak
laundry.dryer,Trockner,,tɾˈɔknɜ,,2,de-agent-v1;ipa=espeak
laundry.coin-operated,Münzbetrieb,Münzeinwurf,mˈyntsbɛtɾˌiːp,,2,de-agent-v1;ipa=espeak
hotel-words.passport,Pass,Reisepass,pˈas,,2,de-agent-v1;ipa=espeak
hotel-words.room-key-card,Zimmerkarte,Schlüsselkarte,tsˈɪmɜkˌaɾtə,,2,de-agent-v1;ipa=espeak
hotel-words.check-in,Check-in,Anmeldung,çˈɛkɪn,,2,de-agent-v1;ipa=espeak
hotel-words.check-out,Check-out,Abreise,çˈɛkaʊt,,2,de-agent-v1;ipa=espeak
hotel-words.luggage-storage,Gepäckaufbewahrung,Gepäckraum,ɡəpˈɛkaʊfbˌeːvɑːrˌʊŋ,,2,de-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,Haben Sie ein Zimmer frei?,,hˌɑːbən ziː aɪn tsˈɪmɜ frˈaɪ,,2,de-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,Wir sind zwei Personen.,,viːɾ zɪnt tsvˈaɪ pɛɾzˈoːnən,,2,de-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,Ich habe eine Reservierung.,,ɪç hɑːbə ˌaɪnə rˌeːzɛɾvˈiːrʊŋ,,2,de-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,Kann ich mein Handy laden?,,kˌan ɪç maɪn hˈɛndiː lˈɑːdən,,2,de-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Ich möchte ein Nichtraucherzimmer.,,ɪç mˈœçtə aɪn nˈɪçtɾaʊxɜtsˌɪmɜ,,2,de-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Ich möchte ein ruhiges Zimmer.,,ɪç mˈœçtə aɪn rˈuːɪɡəs tsˈɪmɜ,,2,de-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,Gibt es eine Waschmaschine?,,ɡˈiːpt ɛs ˌaɪnə vˈaʃmaʃˌiːnə,,2,de-agent-v1;ipa=espeak
