concept_a,concept_b,relation,provenance,passes,agree
accessibility.accessible-restroom,toilets.accessible-toilet,partial,rated,3,3
atm-cash.coin,toilets.do-i-need-a-coin,partial,rated,3,2
atm-cash.please-charge-in-local-currency,numbers-money.local-currency,partial,rated,3,3
body-parts.chest,emergency-medical.i-have-chest-pain,partial,rated,3,3
building-words.key,toilets.may-i-have-the-toilet-key,partial,rated,3,2
children.baby-changing-room,toilets.baby-change,partial,rated,3,3
communication.can-you-help-me,emergency-medical.help,partial,rated,3,3
communication.do-you-speak-english,emergency-medical.is-there-a-doctor-who-speaks-english,partial,rated,3,3
directions.where-is,emergency-medical.where-is-a-pharmacy,partial,rated,3,2
directions.where-is,emergency-medical.where-is-the-nearest-hospital,partial,rated,3,2
directions.where-is,toilets.where-public-toilet,partial,rated,3,2
directions.where-is,toilets.where-toilet,partial,rated,3,2
directions.where-is-the-nearest,emergency-medical.where-is-a-pharmacy,partial,rated,3,2
directions.where-is-the-nearest,emergency-medical.where-is-the-nearest-hospital,partial,rated,3,2
directions.where-is-the-nearest,toilets.where-toilet,partial,rated,3,2
emergency-medical.i-am-sick,emergency-medical.i-feel-unwell,duplicate,rated,3,2
emergency-medical.i-am-sick,pharmacy-symptoms.i-am-vomiting,partial,rated,3,3
emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-dizzy,partial,rated,3,3
emergency-medical.i-feel-unwell,pharmacy-symptoms.i-feel-nauseous,partial,rated,3,3
emergency-medical.i-need-a-doctor,emergency-medical.is-there-a-doctor-who-speaks-english,partial,rated,3,3
emergency-medical.i-need-a-doctor,pronouns-verbs.need,partial,rated,3,3
emergency-medical.i-need-a-doctor,pronouns-verbs.need-thing,partial,rated,3,3
emergency-medical.i-need-a-doctor,utility-templates.i-need,partial,rated,3,2
emergency-medical.it-hurts-here,question-words.here,partial,rated,3,2
emergency-medical.please-take-me-to-a-hospital,emergency-medical.where-is-the-nearest-hospital,partial,rated,3,2
emergency-medical.what-is-the-emergency-number,question-words.what,partial,rated,3,2
emergency-medical.where-is-a-pharmacy,pharmacy-symptoms.where-is-an-all-night-pharmacy,partial,rated,3,3
