concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
social-basics.hello,ನಮಸ್ಕಾರ,,namaskāra,namaskaːra,the ordinary greeting at any hour,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.hello-polite,ನಮಸ್ಕಾರಗಳು,ನಮಸ್ಕಾರ,namaskāragaḷu,namaskaːraɡaɭu,the plural is the formal grade,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.good-morning,ಶುಭೋದಯ,,śubhōdaya,ʃubʰoːdaja,auspicious dawn,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.good-evening,ಶುಭ ಸಂಜೆ,,śubha saṁje,ʃubʰa saɲɟe,auspicious evening,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.goodbye,ಹೋಗಿ ಬರುತ್ತೇನೆ,ನಮಸ್ಕಾರ,hōgi baruttēne,hoːɡi barutteːne,I shall go and come — said by the one leaving; Kannada has no word for a final parting,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.thank-you,ಧನ್ಯವಾದ,ಧನ್ಯವಾದಗಳು,dhanyavāda,dʰanjavaːda,"thanks / thanks (plural, more formal)",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.you-are-welcome,ಪರವಾಗಿಲ್ಲ,,paravāgilla,paravaːɡilla,it does not matter — the ordinary reply to thanks,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.excuse-me-sorry,ಕ್ಷಮಿಸಿ,,kṣamisi,kʂamisi,forgive [me] — also the way to get attention,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.sorry,"ಕ್ಷಮಿಸಿ, ತಪ್ಪಾಯಿತು",,"kṣamisi, tappāyitu","kʂamisi, tappaːjitu","forgive me, a mistake happened",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.no-problem,ಪರವಾಗಿಲ್ಲ,,paravāgilla,paravaːɡilla,it does not matter,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.i-do-not-know,ನನಗೆ ಗೊತ್ತಿಲ್ಲ,,nanage gottilla,nanaɡe ɡottilla,to me it is not known,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.good-night,ಶುಭ ರಾತ್ರಿ,,śubha rātri,ʃubʰa raːtri,auspicious night,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.okay-fine-i-am-okay,ಸರಿ / ನಾನು ಚೆನ್ನಾಗಿದ್ದೇನೆ,,sari / nānu cennāgiddēne,sari / naːnu cennaːɡiddeːne,right / I am well,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
social-basics.politeness-particles,"ಥಾಯ್ ಭಾಷೆಯಲ್ಲಿ ಸೌಜನ್ಯ ವಾಕ್ಯದ ಕೊನೆಯಲ್ಲಿ ಬರುವ ಒಂದು ಪದದಿಂದ ಬರುತ್ತದೆ: ಗಂಡಸರು ಬಹುತೇಕ ಪ್ರತಿ ಮಾತಿನ ನಂತರ khrap, ಹೆಂಗಸರು kha ಎಂದು ಸೇರಿಸುತ್ತಾರೆ. ಹೆಂಗಸರು ಪ್ರಶ್ನೆ ಕೇಳುವಾಗ kha ಅನ್ನು ಏರುಸ್ವರದಲ್ಲಿ ಹೇಳುತ್ತಾರೆ. ಈ ಕಾರ್ಡಿನ ವಾಕ್ಯಗಳಲ್ಲಿ ಆ ಪದ ಇಲ್ಲ, ಆದ್ದರಿಂದ ನೀವೇ ಸೇರಿಸಿಕೊಳ್ಳಿ.",,"thāy bhāṣeyalli saujanya vākyada koneyalli baruva oṁdu padadiṁda baruttade: gaṁḍasaru bahutēka prati mātina naṁtara khrap, heṁgasaru kha eṁdu sērisuttāre. heṁgasaru praśne kēḷuvāga kha annu ērusvaradalli hēḷuttāre. ī kārḍina vākyagaḷalli ā pada illa, āddariṁda nīvē sērisikoḷḷi.",,,2,"prose note, Kannada rendering of the corpus note; the Thai particles are quoted in Latin so a Kannada sheet has a glyph for them"
communication.i-do-not-speak-this-language,ನನಗೆ {target} ಬರುವುದಿಲ್ಲ,,nanage {target} baruvudilla,nanaɡe {target} baruvudilla,"{target} does not come to me — Kannada takes a bare nominative here, so the slot needs no case",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.i-speak-only-a-little-of-this,ನನಗೆ {target} ಸ್ವಲ್ಪ ಮಾತ್ರ ಬರುತ್ತದೆ,,nanage {target} svalpa mātra baruttade,nanaɡe {target} svalpa maːtra baruttade,only a little {target} comes to me,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.do-you-speak-english,ನಿಮಗೆ {source} ಬರುತ್ತದೆಯೇ?,,nimage {source} baruttadeyē?,nimaɡe {source} baruttadejeː,does {source} come to you?,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.please-speak-more-slowly,ದಯವಿಟ್ಟು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ,,dayaviṭṭu nidhānavāgi mātanāḍi,dajaviʈʈu nidʰaːnavaːɡi maːtanaːɖi,please speak slowly,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.i-do-not-understand-spoken,ನನಗೆ ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ,,nanage arthavāguttilla,nanaɡe artʰavaːɡuttilla,it is not becoming meaning to me,2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
communication.i-cannot-read-understand,"ನನಗೆ ಓದಲು ಬರುವುದಿಲ್ಲ, ಅರ್ಥವಾಗುವುದಿಲ್ಲ",,"nanage ōdalu baruvudilla, arthavāguvudilla","nanaɡe oːdalu baruvudilla, artʰavaːɡuvudilla","reading does not come to me, it does not make sense",2,"Kittel, A Kannada-English Dictionary (DSAL); Sridhar, Kannada (Descriptive Grammars 1990);ipa=espeak"
