concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
building-help.what-room-number-is-this,Який номер цієї кімнати?,,Yakyi nomer tsiiei kimnaty?,jakˈɪj nˈomɛr tsiːjˈɛjiː kiːmnˈatɪ,,2,uk-agent-v1;ipa=espeak
building-help.i-am-lost,Я заблукав.,Я заблукала.,Ya zablukav.,jˈa zablˈukaʋ,,2,uk-agent-v1;ipa=espeak
building-help.where-is-reception,Де ресепшн?,Де адміністратор?,De resepshn?,dˈɛ rˈɛsɛpʃn,,2,uk-agent-v1;ipa=espeak
building-help.where-is-a-power-outlet,Де розетка?,,De rozetka?,dˈɛ rozˈɛtka,,2,uk-agent-v1;ipa=espeak
accessibility.step-free,Чи є вхід без сходинок?,Чи є безбар'єрний вхід?,Chy ye vkhid bez skhodynok?,tʃˈɪ jˈɛ fxˈiːd bˈɛs sxodɪnˈok,,2,uk-agent-v1;ipa=espeak
accessibility.wheelchair-access,Чи є доступ для інвалідного візка?,,Chy ye dostup dlia invalidnoho vizka?,tʃˈɪ jˈɛ dostˈub dʎˈa iːnʋaʎˈiːdnoho ʋˈiːska,,2,uk-agent-v1;ipa=espeak
accessibility.elevator,Є ліфт?,,Ye lift?,jˈɛ ʎˈiːft,,2,uk-agent-v1;ipa=espeak
accessibility.ramp,Є пандус?,,Ye pandus?,jˈɛ pˈandus,,2,uk-agent-v1;ipa=espeak
accessibility.how-many-steps,Скільки там сходинок?,,Skilky tam skhodynok?,skˈiːʎkɪ tˈam sxodɪnˈok,,2,uk-agent-v1;ipa=espeak
accessibility.cannot-climb-stairs,Я не можу підніматися сходами.,,Ya ne mozhu pidnimatysia skhodamy.,jˈa nˈɛ mˈoʒu piːdɲiːmˈatɪsja sxodˈamɪ,,2,uk-agent-v1;ipa=espeak
accessibility.need-to-sit-down,Мені треба сісти.,,Meni treba sisty.,mˈɛɲiː trˈɛba sˈiːstɪ,,2,uk-agent-v1;ipa=espeak
accessibility.accessible-restroom,Є туалет для людей з інвалідністю?,,Ye tualet dlia liudei z invalidnistiu?,jˈɛ tualˈɛd dʎˈa ʎˈudɛj z iːnʋaʎˈiːdɲiːstju,,2,uk-agent-v1;ipa=espeak
accessibility.station-assistance,Є супровід на станції?,,Ye suprovid na stantsii?,jˈɛ suprˈoʋiːd nˈa stantsˈiːjiː,,2,uk-agent-v1;ipa=espeak
accessibility.help-me-carry,"Допоможіть, будь ласка, донести.",,"Dopomozhit, bud laska, donesty.","dopomˈoʒiːt, bˈud lˈaska, donˈɛstɪ",,2,uk-agent-v1;ipa=espeak
accessibility.board-first,Можна мені зайти першим?,Можна мені зайти першою?,Mozhna meni zaity pershym?,mˈoʒna mˈɛɲiː zˈajtɪ pˈɛrʃɪm,,2,uk-agent-v1;ipa=espeak
accessibility.door-width,Яка ширина дверей?,,Yaka shyryna dverei?,jakˈa ʃɪrˈɪna dʋˈɛrɛj,,2,uk-agent-v1;ipa=espeak
