language,axis,value,default,notes
es,speaker_gender,masculine,1,"Predicative adjectives and participles agree with the speaker; RAE Nueva gramatica gives 'Yo no estoy en absoluto {preocupado ~ preocupada}'; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Estoy perdido'."
es,speaker_gender,feminine,0,Predicative adjectives and participles agree with the speaker; RAE Nueva gramatica gives 'Yo no estoy en absoluto {preocupado ~ preocupada}'. e.g. building-help.i-am-lost: 'Estoy perdida'.
ar,speaker_gender,masculine,1,"Adjectives and active participles agree with the noun they predicate, so a self-description takes the feminine ta marbuta when the speaker is a woman; 1sg verb forms themselves do not inflect; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'أنا تائه (ana ta'ih)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
ar,speaker_gender,feminine,0,"Adjectives and active participles agree with the noun they predicate, so a self-description takes the feminine ta marbuta when the speaker is a woman; 1sg verb forms themselves do not inflect. e.g. building-help.i-am-lost: 'أنا تائهة (ana ta'iha)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
fr,speaker_gender,masculine,1,"Adjectives and etre past participles agree in gender with the subject, which is the speaker; the difference is always written and often audible; masculine is the unmarked citation form, hence the default. e.g. dietary-needs.i-am-vegetarian: 'Je suis vegetarien'."
fr,speaker_gender,feminine,0,"Adjectives and etre past participles agree in gender with the subject, which is the speaker; the difference is always written and often audible. e.g. dietary-needs.i-am-vegetarian: 'Je suis vegetarienne'."
de,speaker_gender,masculine,1,"Predicative adjectives do not inflect, but the agent/role nouns used in 'Ich bin ...' phrases do: Duden defines Tourist and Vegetarier as 'maennliche Person' and the -in feminine is standard; masculine is the unmarked citation form, hence the default. e.g. introductions.i-am-a-tourist: 'Ich bin Tourist'. Narrow axis: only the handful of 'Ich bin <role noun>' phrases change."
de,speaker_gender,feminine,0,"Predicative adjectives do not inflect, but the agent/role nouns used in 'Ich bin ...' phrases do: Duden defines Tourist and Vegetarier as 'maennliche Person' and the -in feminine is standard. e.g. introductions.i-am-a-tourist: 'Ich bin Touristin'. Narrow axis: only the handful of 'Ich bin <role noun>' phrases change."
pt,speaker_gender,masculine,1,"Predicative adjectives and participles agree with the speaker; Ciberduvidas rules that even 'obrigado' agrees with the sex of the person thanking; masculine is the unmarked citation form, hence the default. e.g. social-basics.thank-you: 'Obrigado'."
pt,speaker_gender,feminine,0,Predicative adjectives and participles agree with the speaker; Ciberduvidas rules that even 'obrigado' agrees with the sex of the person thanking. e.g. social-basics.thank-you: 'Obrigada'.
hi,speaker_gender,masculine,1,"Habitual and perfective participles carry gender-number endings agreeing with the nominative subject, so every participle-based first-person phrase changes; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'मैं रास्ता भटक गया हूँ (main rasta bhatak gaya hun)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
hi,speaker_gender,feminine,0,"Habitual and perfective participles carry gender-number endings agreeing with the nominative subject, so every participle-based first-person phrase changes. e.g. building-help.i-am-lost: 'मैं रास्ता भटक गई हूँ (main rasta bhatak gayi hun)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
th,speaker_gender,masculine,1,"The polite sentence-final particle and the polite 1sg pronoun are selected by the speaker's sex: khrap/phom for a man, kha/dichan for a woman; masculine is the unmarked citation form, hence the default. e.g. social-basics.thank-you: 'ขอบคุณครับ (khopkhun khrap)'. Affects nearly every card, because polite Thai expects the particle."
th,speaker_gender,feminine,0,"The polite sentence-final particle and the polite 1sg pronoun are selected by the speaker's sex: khrap/phom for a man, kha/dichan for a woman. e.g. social-basics.thank-you: 'ขอบคุณค่ะ (khopkhun kha)'. Affects nearly every card, because polite Thai expects the particle."
ru,speaker_gender,masculine,1,"The past tense is an l-participle agreeing in gender with the subject in all persons, and predicative adjectives agree too; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Я заблудился (ya zabludilsya)'."
ru,speaker_gender,feminine,0,"The past tense is an l-participle agreeing in gender with the subject in all persons, and predicative adjectives agree too. e.g. building-help.i-am-lost: 'Я заблудилась (ya zabludilas)'."
it,speaker_gender,masculine,1,"Adjectives and essere past participles agree in gender with the subject; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'Mi sono perso'."
it,speaker_gender,feminine,0,Adjectives and essere past participles agree in gender with the subject. e.g. building-help.i-am-lost: 'Mi sono persa'.
el,speaker_gender,masculine,1,"Adjectives have a threefold gender declension and agree with their subject in predicative position too; masculine is the unmarked citation form, hence the default. e.g. emergency-medical.i-am-sick: 'Είμαι άρρωστος (eimai arrostos)'."
el,speaker_gender,feminine,0,Adjectives have a threefold gender declension and agree with their subject in predicative position too. e.g. emergency-medical.i-am-sick: 'Είμαι άρρωστη (eimai arrosti)'.
he,speaker_gender,masculine,1,"Present-tense verbs (benoni) inflect for gender and number but not person, so every present-tense 'ani ...' phrase changes; adjectives agree as well; masculine is the unmarked citation form, hence the default. e.g. communication.i-do-not-understand: 'אני לא מבין (ani lo mevin)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
he,speaker_gender,feminine,0,"Present-tense verbs (benoni) inflect for gender and number but not person, so every present-tense 'ani ...' phrase changes; adjectives agree as well. e.g. communication.i-do-not-understand: 'אני לא מבינה (ani lo mevina)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
ur,speaker_gender,masculine,1,"Habitual and perfective participles carry gender-number endings agreeing with the nominative subject; masculine is the unmarked citation form, hence the default. e.g. building-help.i-am-lost: 'میں راستہ بھول گیا ہوں (main rasta bhul gaya hun)'. Reply hazard: 2nd-person forms are gendered, so incoming replies must be written to avoid them."
