concept_id,text,text_alt,ipa,literal,confidence,provenance
directions.where-is,{} di mana?,,{} dimˈanə,,2,ms-agent-v1;ipa=espeak
directions.how-do-i-get-to,Bagaimana caranya ke {}?,,bˌaɡaɪmˈanə tʃarˈəɲə kə {},,2,ms-agent-v1;ipa=espeak
directions.is-it-far,Jauh?,Apakah jauh?,dʒˈaʊh,,2,ms-agent-v1;ipa=espeak
directions.how-long-on-foot,Jalan kaki berapa lama?,,dʒˈalan kˈaki bərˈapə lˈamə,,2,ms-agent-v1;ipa=espeak
directions.please-show-me-on-the-map,Tolong tunjukkan di peta,,tˈoloŋ tundʒˈukkan di pˈɛtə,,2,ms-agent-v1;ipa=espeak
directions.where-is-the-nearest,{} terdekat di mana?,,{} tərdˈəkat dimˈanə,,2,ms-agent-v1;ipa=espeak
directions.where-am-i,Saya di mana?,,sˈajə dimˈanə,,2,ms-agent-v1;ipa=espeak
directions.which-way,Ke arah mana?,,kə ˈarah mˈanə,,2,ms-agent-v1;ipa=espeak
directions.can-i-walk-there,Boleh jalan kaki ke sana?,,bˈoleh dʒˈalan kˈaki kə sˈanə,,2,ms-agent-v1;ipa=espeak
directions.how-far-is-it,Berapa jauh?,,bərˈapə dʒˈaʊh,,2,ms-agent-v1;ipa=espeak
directions.which-exit,Pintu keluar mana?,,pˈintu kəlˈuar mˈanə,,2,ms-agent-v1;ipa=espeak
directions.can-you-show-me-the-way,Boleh tunjukkan jalannya?,,bˈoleh tundʒˈukkan dʒalˈanɲə,,2,ms-agent-v1;ipa=espeak
directions.north,utara,,utˈarə,,2,ms-agent-v1;ipa=espeak
directions.south,selatan,,səlˈatan,,2,ms-agent-v1;ipa=espeak
directions.east,timur,,tˈimor,,2,ms-agent-v1;ipa=espeak
directions.west,barat,,bˈarat,,2,ms-agent-v1;ipa=espeak
quick-directions.go-straight,Lurus,,lˈuros,,2,ms-agent-v1;ipa=espeak
quick-directions.turn-left,Belok kiri,,bˈɛloʔ kˈiri,,2,ms-agent-v1;ipa=espeak
quick-directions.turn-right,Belok kanan,,bˈɛloʔ kˈanan,,2,ms-agent-v1;ipa=espeak
quick-directions.this-way,Ke sini,,kə sˈini,,2,ms-agent-v1;ipa=espeak
quick-directions.that-way,Ke sana,,kə sˈanə,,2,ms-agent-v1;ipa=espeak
quick-directions.on-the-left,Di kiri,,di kˈiri,,2,ms-agent-v1;ipa=espeak
quick-directions.on-the-right,Di kanan,,di kˈanan,,2,ms-agent-v1;ipa=espeak
quick-directions.across-from-here,Di seberang,,di səbˈɛraŋ,,2,ms-agent-v1;ipa=espeak
quick-directions.in-front,Di depan,,di dˈəpan,,2,ms-agent-v1;ipa=espeak
quick-directions.behind,Di belakang,,di bəlˈakaŋ,,2,ms-agent-v1;ipa=espeak
taxi.please-take-me-here,Tolong antar ke sini,,tˈoloŋ ˈantar kə sˈini,,2,ms-agent-v1;ipa=espeak
taxi.please-send-me-the-address,Tolong kirim alamatnya,,tˈoloŋ kˈirem ˌalamˈatɲə,,2,ms-agent-v1;ipa=espeak
taxi.we-need-the-east-gate-not-the-south-gate,"Gerbang Timur, bukan Gerbang Selatan",,"ɡˈɛɾrbaŋ tˈimor, bˈukan ɡˈɛɾrbaŋ səlˈatan",,2,ms-agent-v1;ipa=espeak
taxi.please-stop-here,Tolong berhenti di sini,,tˈoloŋ bərhˈənti di sˈini,,2,ms-agent-v1;ipa=espeak
taxi.can-you-wait-for-me-here,Boleh tunggu saya di sini?,,bˈoleh tˈuŋɡu sˈajə di sˈini,,2,ms-agent-v1;ipa=espeak
taxi.we-need-to-catch-the-high-speed-train,Kami harus naik keretapi laju,,kˈami hˈaros nˈaɪʔ kərətˈapi lˈadʒu,,2,ms-agent-v1;ipa=espeak
taxi.please-use-the-meter,Tolong pakai argo,,tˈoloŋ pˈakaɪ ˈarɡo,argo = the taxi meter,2,ms-agent-v1;ipa=espeak
taxi.i-will-get-off-here,Saya turun di sini,,sˈajə tˈuron di sˈini,,2,ms-agent-v1;ipa=espeak
taxi.please-get-me-there-in-time-for-the-shinkansen,Tolong tepat waktu untuk Shinkansen,,tˈoloŋ tˈəpat wˈaktu ˈuntoʔ ʃinkˈansən,,1,reader-gloss-v1;ipa=espeak
transit-rides.two-tickets,Dua tiket,,dˈuə tˈikət,,2,ms-agent-v1;ipa=espeak
transit-rides.where-is-the-subway-station,Stesen MRT di mana?,,stˈesen ˌɛmˌartˈiː dimˈanə,,2,ms-agent-v1;ipa=espeak
transit-rides.does-this-bus-train-go-to,Bas / keretapi ini ke {}?,,bˈas / kərətˈapi ˈini kə {},,2,ms-agent-v1;ipa=espeak
transit-rides.what-is-the-next-stop,Pemberhentian berikutnya apa?,,pəmbˌɛɾrhəntˈian bərikˈotɲə ˈapə,,2,ms-agent-v1;ipa=espeak
transit-rides.please-tell-me-where-to-get-off,Tolong beri tahu saya turun di mana,,tˈoloŋ bˈəri tˈahu sˈajə tˈuron dimˈanə,,2,ms-agent-v1;ipa=espeak
transit-rides.is-this-direct,Ini langsung?,,ˈini lˈaŋsoŋ,,2,ms-agent-v1;ipa=espeak
transit-rides.do-i-need-to-transfer,Perlu transit?,,pˈəɾrlu trˈanset,,2,ms-agent-v1;ipa=espeak
transit-rides.is-it-delayed,Terlambat?,,təɾrlˈambat,,2,ms-agent-v1;ipa=espeak
transit-rides.i-am-in-a-hurry,Saya sedang buru-buru,,sˈajə sˈədaŋ bˈuruburu,,2,ms-agent-v1;ipa=espeak
transit-rides.which-platform,Peron mana?,,pˈɛron mˈanə,,2,ms-agent-v1;ipa=espeak
transit-rides.what-time-is-the-next-one,Berikutnya jam berapa?,,bərikˈotɲə dʒˈam bərˈapə,,2,ms-agent-v1;ipa=espeak
transit-rides.i-went-past-my-stop,Saya kelewatan,Saya terlewat,sˈajə kəlewˈatan,,2,ms-agent-v1;ipa=espeak
transit-rides.can-i-use-this-ticket,Tiket ini boleh dipakai?,,tˈikət ˈini bˈoleh dipˈakaɪ,,2,ms-agent-v1;ipa=espeak
place-words.visitor-center,Pusat informasi,,pˈusat ˌinfɔrmˈasi,,2,ms-agent-v1;ipa=espeak
place-words.railway-station,Stesen keretapi,,stˈesen kərətˈapi,,2,ms-agent-v1;ipa=espeak
place-words.airport,Bandara,,bandˈarə,,2,ms-agent-v1;ipa=espeak
place-words.service-desk,Customer service,Layanan pelanggan,tʃustˈomeɾr sˈɜːvɪs,,2,ms-agent-v1;ipa=espeak
place-words.bus-stop,Halte bas,,hˈalte bˈas,,2,ms-agent-v1;ipa=espeak
place-words.luggage-storage,Penitipan barang,,pənitˈipan bˈaraŋ,,2,ms-agent-v1;ipa=espeak
place-words.tourist-spot-sightseeing-area,Tempat pelancongan,,tˈəmpat pəlantʃˈoŋan,,2,ms-agent-v1;ipa=espeak
place-words.scenic-area,Kawasan pelancongan,kawasan pelancongan alam,kawˈasan pəlantʃˈoŋan,,1,reader-gloss-v1;ipa=espeak
border-customs.i-am-a-tourist,Saya turis,,sˈajə tˈures,,2,ms-agent-v1;ipa=espeak
border-customs.here-is-my-passport,Ini pasport saya,,ˈini pˈaspɔrt sˈajə,,2,ms-agent-v1;ipa=espeak
border-customs.i-am-staying-for-days,Saya tinggal {} hari,,sˈajə tˈiŋɡal {} hˈari,,2,ms-agent-v1;ipa=espeak
border-customs.nothing-to-declare,Tidak ada yang dilaporkan,Nothing to declare,tˈidaʔ ˈadə jaŋ dˌilapˈɔrkan,,2,ms-agent-v1;ipa=espeak
