concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
directions.where-is,Որտե՞ղ է {}։,,Vortegh e {}?,vortˈeʁ ˈe {},"where is {}? — the definite article is left off, because -ը after a consonant and -ն after a vowel cannot both be right for a filler written in by hand",2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Aghayan, E. B., Ardi hayereni batsatrakan bararan (Explanatory Dictionary of Modern Armenian, Hayastan, Yerevan, 1976);ipa=espeak"
directions.how-do-i-get-to,Ինչպե՞ս հասնեմ {}։,,Inch’pes hasnem {}?,intʃʰpˈes hasnˈem {},,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.is-it-far,Հեռո՞ւ է։,,Herru e?,herˈu ˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.how-long-on-foot,Ոտքով որքա՞ն է։,,Votk’ov vork’an e?,votkʰˈov vorkʰˈan ˈe,how much on foot?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.please-show-me-on-the-map,"Խնդրում եմ, ցույց տվե՛ք քարտեզի վրա։",,"Khndrum yem, ts’uyts’ tvek’ k’artezi vra.","xndɾˈum jˈem, tsʰˈujtsʰ təvˈekʰ kʰˌartezˈi vəɾˈa",,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.where-is-the-nearest,Որտե՞ղ է ամենամոտ {}։,,Vortegh e amenamot {}?,vortˈeʁ e ˌamenamˈot {},,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.where-am-i,Ես որտե՞ղ եմ։,,Yes vortegh yem?,jes vortˈeʁ jˈem,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.which-way,Ո՞ր կողմը։,,Vor koghmy?,vor kˈoʁmə,which side?,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.can-i-walk-there,Կարո՞ղ եմ ոտքով գնալ։,,Karogh yem votk’ov gnal?,kaɾˌoʁ jˈem votkʰˈov ɡənˈal,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
directions.how-far-is-it,Որքա՞ն հեռու է։,,Vork’an herru e?,vorkʰˈan herˈu ˈe,,2,"Dum-Tragut, J., Armenian: Modern Eastern Armenian (London Oriental and African Language Library 14, John Benjamins, 2009); Baratyan, N. et al., Armenian-English Dictionary (Yerevan State University Press, 2011);ipa=espeak"
