concept_id,text,text_alt,ipa,literal,confidence,provenance
laundry.please-wash-these-clothes,"Lavez ces vêtements, s'il vous plaît",,"lave se vɛtmˈɑ̃, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
laundry.where-is-a-laundromat,Où est une laverie automatique ?,,u ɛt yn lavʁi otomatˈik,,2,fr-agent-v1;ipa=espeak
laundry.when-will-it-be-ready,Quand est-ce que ce sera prêt ?,,kɑ̃t ɛs kə sə səʁa pʁˈɛ,,2,fr-agent-v1;ipa=espeak
laundry.how-much-per-kilo,Combien le kilo ?,,kɔ̃bjɛ̃ lə kilˈo,,2,fr-agent-v1;ipa=espeak
laundry.can-it-be-ready-today,Ce sera prêt aujourd'hui ?,,sə səʁa pʁɛ oʒuʁdyˈi,,2,fr-agent-v1;ipa=espeak
laundry.please-do-not-use-bleach,"Pas de javel, s'il vous plaît",,"pa də ʒavˈɛl, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
laundry.laundromat,laverie automatique,,lavʁi otomatˈik,,2,fr-agent-v1;ipa=espeak
laundry.please-iron-this,"Repassez ceci, s'il vous plaît",,"ʁəpase səsˈi, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
laundry.detergent,lessive,,lɛsˈiv,,2,fr-agent-v1;ipa=espeak
laundry.dry-cleaning,nettoyage à sec,pressing,nɛtwajaʒ a sˈɛk,,2,fr-agent-v1;ipa=espeak
laundry.dryer,sèche-linge,,sɛʃlˈɛ̃ʒ,,2,fr-agent-v1;ipa=espeak
laundry.coin-operated,à pièces,monnayeur,a pjˈɛs,,1,fr-agent-v1;ipa=espeak
hotel-words.passport,passeport,,paspˈɔʁ,,2,fr-agent-v1;ipa=espeak
hotel-words.room-key-card,carte de chambre,,kaʁt də ʃˈɑ̃bʁ,,2,fr-agent-v1;ipa=espeak
hotel-words.check-in,arrivée,check-in,aʁivˈe,,2,fr-agent-v1;ipa=espeak
hotel-words.check-out,départ,check-out,depˈaʁ,,2,fr-agent-v1;ipa=espeak
hotel-words.luggage-storage,consigne à bagages,,kɔ̃siɲ a baɡˈaʒ,,2,fr-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,Avez-vous une chambre libre ?,,avevuz yn ʃɑ̃bʁ lˈibʁ,,2,fr-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,Nous sommes deux,,nu sɔm dˈø,,2,fr-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,J'ai une réservation,,ʒe yn ʁezɛʁvasjˈɔ̃,,2,fr-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,Puis-je recharger mon téléphone ?,,pyiʒ ʁəʃaʁʒe mɔ̃ telefˈɔn,,2,fr-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Je voudrais une chambre non-fumeur,,ʒə vudʁɛz yn ʃɑ̃bʁ nɔ̃fymˈœʁ,,2,fr-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Je voudrais une chambre calme,,ʒə vudʁɛz yn ʃɑ̃bʁ kˈalm,,2,fr-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,Y a-t-il une machine à laver ?,,i atil yn maʃin a lavˈe,,2,fr-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,Le wifi est-il gratuit ?,,lə waɪfaɪ ɛtil ɡʁatyˈi,,2,fr-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,Combien par nuit ?,,kɔ̃bjɛ̃ paʁ nyˈi,,2,fr-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,Le petit-déjeuner est-il inclus ?,,lə pətideʒøne ɛtil ɛ̃klˈy,,2,fr-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,Puis-je voir la chambre ?,,pyiʒ vwaʁ la ʃˈɑ̃bʁ,,2,fr-agent-v1;ipa=espeak
hotel-basics.for-nights,Pour {} nuits,,pˈuʁ {} nyˈi,,2,fr-agent-v1;ipa=espeak
hotel-basics.two-beds,"Deux lits séparés, s'il vous plaît",,"dø li sepaʁˈe, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,Y a-t-il la climatisation ?,la clim,i atil la klimatizatjˈɔ̃,,2,fr-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,Puis-je partir plus tard ?,,pyiʒ paʁtiʁ ply tˈaʁ,,2,fr-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,À quelle heure commence le petit-déjeuner ?,,a kɛl œʁ kɔmɑ̃s lə pətideʒønˈe,,2,fr-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,Puis-je laisser mes bagages ?,,pyiʒ lɛse me baɡˈaʒ,,2,fr-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,"Pas de ménage, merci",,"pa də menˈaʒ, mɛʁsˈi",,2,fr-agent-v1;ipa=espeak
hotel-requests.another-towel-please,"Une autre serviette, s'il vous plaît",,"yn otʁ sɛʁvjˈɛt, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,À quelle heure est le départ ?,,a kɛl œʁ ɛ lə depˈaʁ,,2,fr-agent-v1;ipa=espeak
hotel-requests.can-i-check-in-early,Puis-je arriver plus tôt ?,,pyiʒ aʁive ply tˈɔ̃,,2,fr-agent-v1;ipa=espeak
hotel-requests.another-night,Puis-je rester une nuit de plus ?,,pyiʒ ʁɛste yn nyi də plˈy,,2,fr-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,Y a-t-il un coffre-fort ?,,i atil œ̃ kɔfʁfˈɔʁ,,2,fr-agent-v1;ipa=espeak
hotel-requests.another-blanket,"Une autre couverture, s'il vous plaît",,"yn otʁ kuvɛʁtˈyʁ, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
hotel-requests.wake-up-call,"Réveillez-moi à {}, s'il vous plaît",,"ʁevɛjemwa ˌaaksɑ̃ɡʁˈav {}, sil vu plˈɛ",,2,fr-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,Il y a un problème dans la chambre,,il i a œ̃ pʁɔblɛm dɑ̃ la ʃˈɑ̃bʁ,,2,fr-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,La climatisation ne marche pas,,la klimatizasjɔ̃ nə maʁʃ pˈa,,2,fr-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,Il n'y a pas d'eau chaude,,il ni a pa do ʃˈod,,2,fr-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,Puis-je changer de chambre ?,,pyiʒ ʃɑ̃ʒe də ʃˈɑ̃bʁ,,2,fr-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,La chambre est trop bruyante,,la ʃɑ̃bʁ ɛ tʁo bʁyijˈɑ̃t,,2,fr-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,La clé ne fonctionne pas,,la kle nə fɔ̃ksjɔn pˈa,,2,fr-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,La chasse d'eau ne marche pas,,la ʃas do nə maʁʃ pˈa,,2,fr-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,La lumière ne marche pas,,la lymjɛʁ nə maʁʃ pˈa,,2,fr-agent-v1;ipa=espeak
room-problems.please-send-someone,Envoyez quelqu'un pour réparer,,ɑ̃vwaje kɛlkœ̃ puʁ ʁepaʁˈe,,2,fr-agent-v1;ipa=espeak
room-problems.the-heating-does-not-work,Le chauffage ne marche pas,,lə ʃofaʒ nə maʁʃ pˈa,,2,fr-agent-v1;ipa=espeak
massage-spa.please-stop,"Arrêtez, ne continuez pas",,"aʁɛtˈe, nə kɔ̃tinye pˈa","stop, do not continue -- kept bare, with no s'il vous plaît, because the row ends the session",2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.please-pause,"Faites une pause, s'il vous plaît",,"fɛtz yn pˈoz, sil vu plˈɛ",,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.please-avoid-this-area,"Évitez cette zone, s'il vous plaît",,"evite sɛt zˈon, sil vu plˈɛ",,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.stronger-pressure,"Appuyez plus fort, s'il vous plaît",,"apyije ply fˈɔʁ, sil vu plˈɛ",,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;fr-spa-pression-forte-douce;ipa=espeak
massage-spa.more-gently,"Moins de pression, s'il vous plaît",,"mwɛ̃ də pʁɛsjˈɔ̃, sil vu plˈɛ",less pressure -- plus doucement was rejected because the pack already spells 'more slowly' plus lentement and doucement reads as speed,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;fr-spa-pression-forte-douce;ipa=espeak
massage-spa.that-pressure-is-good,"La pression est bonne, continuez comme ça",,"la pʁɛsjɔ̃ ɛ bˈɔn, kɔ̃tinye kɔm sˈa","the pressure is good, carry on like that",2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;fr-spa-pression-forte-douce;ipa=espeak
massage-spa.focus-on-shoulders,"Insistez sur les épaules, s'il vous plaît",,"ɛ̃siste syʁ lez epˈol, sil vu plˈɛ",,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.focus-on-back,"Insistez sur le dos, s'il vous plaît",,"ɛ̃siste syʁ lə dˈɒs, sil vu plˈɛ",,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.focus-on-neck,"Insistez sur la nuque, s'il vous plaît","Insistez sur le cou, s'il vous plaît","ɛ̃siste syʁ la nˈyk, sil vu plˈɛ","la nuque is the nape, the part of the neck a massage works and what a French spa menu names; le cou is the neck as a whole",2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.focus-on-feet,"Insistez sur les pieds, s'il vous plaît",,"ɛ̃siste syʁ le pjˈe, sil vu plˈɛ",,2,spa-board-v1;fr-agent-v1;fr-spa-lexique-soin;ipa=espeak
massage-spa.reply-i-will-avoid-that-area,"D'accord, je vais éviter cette zone",,"dakˈɔʁ, ʒə vɛz evite sɛt zˈon","aller + infinitive, which does not agree with the speaker where a passé composé would",2,spa-reply-v1;fr-agent-v1;fr-spa-lexique-soin;fr-neutral-reply;ipa=espeak
massage-spa.reply-which-area-exactly,Quelle zone exactement ?,,kɛl zon ɛɡzaktəmˈɑ̃,,2,spa-reply-v1;fr-agent-v1;fr-spa-lexique-soin;fr-neutral-reply;ipa=espeak
massage-spa.reply-cannot-avoid-this-treatment,Ce soin ne peut pas se faire sans cette zone,,sə swɛ̃ nə pø pa sə fɛʁ sɑ̃ sɛt zˈon,le soin is the French spa's word for one bookable treatment; massage is reserved by CSP L4321-1 to masseurs-kinesitherapeutes and a spa says modelage or soin,2,spa-reply-v1;fr-agent-v1;fr-spa-lexique-soin;fr-neutral-reply;csp-L4321-1-modelage;ipa=espeak
massage-spa.reply-does-it-hurt-there,Vous avez mal à cet endroit ?,,vuz ave mal a sɛt ɑ̃dʁwˈa,"verb-only, so no predicate adjective agrees with the traveller",2,spa-reply-v1;fr-agent-v1;fr-spa-lexique-soin;fr-neutral-reply;ipa=espeak
