concept_id,text,text_alt,ipa,literal,confidence,provenance
trail-words.trail,traseu,,trasˈeʊ,,2,ro-agent-v1;ipa=espeak
trail-words.trailhead,începutul traseului,,ˌɨntʃepˈutul trasˈeuluɪ,,2,ro-agent-v1;ipa=espeak
trail-words.summit,vârf,,vˈɨrf,,2,ro-agent-v1;ipa=espeak
trail-words.viewpoint,punct panoramic,,pˈunkt pˌanoɾˈamik,,2,ro-agent-v1;ipa=espeak
trail-words.cableway,telecabină,,tˌelekabˈinə,,2,ro-agent-v1;ipa=espeak
trail-words.shuttle-bus,autobuz-navetă,,ˌaʊtobˈuznavetə,,2,ro-agent-v1;ipa=espeak
trail-words.park-shuttle,naveta parcului,,navˈeta pˈarkuluɪ,,2,ro-agent-v1;ipa=espeak
trail-words.steps,trepte,,trˈepte,,2,ro-agent-v1;ipa=espeak
trail-words.up-uphill,sus,la urcare,sˈus,,2,ro-agent-v1;ipa=espeak
trail-words.down-downhill,jos,la coborâre,ʒˈos,,2,ro-agent-v1;ipa=espeak
trail-words.one-way,dus,,dˈus,,2,ro-agent-v1;ipa=espeak
trail-words.round-trip,dus-întors,,dˈusɨntors,,2,ro-agent-v1;ipa=espeak
weather.forecast,Care este prognoza meteo?,,kˌaɾe jˌeste proɡnˈoza mˈeteo,,2,ro-agent-v1;ipa=espeak
weather.will-it-rain,Va ploua astăzi?,,va ploʊˈa ˈastəzʲ,,2,ro-agent-v1;ipa=espeak
weather.is-it-safe-today,Este sigur astăzi?,,jˌeste sˈiɡur ˈastəzʲ,,2,ro-agent-v1;ipa=espeak
weather.how-cold-at-night,Cât de frig se face noaptea?,,kˈɨt de frˈiɡ se fˌatʃe nˈɔaptea,,2,ro-agent-v1;ipa=espeak
weather.rain,ploaie,,plˈɔaje,,2,ro-agent-v1;ipa=espeak
weather.snow,zăpadă,,zəpˈadə,,2,ro-agent-v1;ipa=espeak
weather.wind,vânt,,vˈɨnt,,2,ro-agent-v1;ipa=espeak
weather.storm,furtună,,furtˈunə,,2,ro-agent-v1;ipa=espeak
weather.ice,gheață,,ɡˈeatsə,,2,ro-agent-v1;ipa=espeak
weather.fog,ceață,,tʃˈeatsə,,2,ro-agent-v1;ipa=espeak
weather.heat,căldură,,kəldˈuɾə,,2,ro-agent-v1;ipa=espeak
weather.cold,frig,,frˈiɡ,,2,ro-agent-v1;ipa=espeak
weather.humid,umed,,ˈumed,,2,ro-agent-v1;ipa=espeak
weather.sunrise,răsărit,,rˌəsəɾˈit,,2,ro-agent-v1;ipa=espeak
weather.flood,inundație,,ˌinundˈatsje,,2,ro-agent-v1;ipa=espeak
weather.avalanche-risk,risc de avalanșă,,rˈisk de ˌavalˈanʃə,,2,ro-agent-v1;ipa=espeak
hiking-parks.is-this-the-way-to,Acesta este drumul spre {}?,,atʃˌesta jˌeste drumul sprˈe {},,2,ro-agent-v1;ipa=espeak
hiking-parks.where-is-the-trailhead,Unde este începutul traseului?,,ˈunde jˌeste ˌɨntʃepˈutul trasˈeuluɪ,,2,ro-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-summit,Cât durează până la vârf?,,kˈɨt duɾˈeazə pˈɨnə la vˈɨrf,,2,ro-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-viewpoint,Cât durează până la punctul panoramic?,,kˈɨt duɾˈeazə pˈɨnə la pˈunktul pˌanoɾˈamik,,2,ro-agent-v1;ipa=espeak
hiking-parks.which-route-is-easier,Care traseu este mai ușor?,,kˌaɾe trasˈeʊ jˌeste maɪ uʃˈor,,2,ro-agent-v1;ipa=espeak
hiking-parks.is-this-trail-suitable-for-beginners,Acest traseu este potrivit pentru începători?,,atʃˌest trasˈeʊ jˌeste pˌotrivˈit pˌentru ˌɨntʃepətˈoɾʲ,,2,ro-agent-v1;ipa=espeak
trail-conditions.how-long-is-the-full-route,Cât de lung este traseul complet?,,kˈɨt de lˈuŋɡ jˌeste trasˈeul komplˈet,,2,ro-agent-v1;ipa=espeak
trail-conditions.can-we-return-the-same-way,Ne putem întoarce pe același drum?,,ne putˌem ɨntˈɔartʃe pe atʃˈelaʃʲ drˈum,,2,ro-agent-v1;ipa=espeak
trail-conditions.can-we-return-before-dark,Ne putem întoarce înainte de întuneric?,,ne putˌem ɨntˈɔartʃe ˌɨnaˈinte de ˌɨntunˈeɾik,,2,ro-agent-v1;ipa=espeak
trail-conditions.is-the-trail-open,Traseul este deschis?,,trasˈeul jˌeste deskˈis,,2,ro-agent-v1;ipa=espeak
