concept_id,text,text_alt,romanization_iso15919,ipa,literal,confidence,provenance
payment-receipt.pay-by-card,कार्डने पैसे भरू का?,,kārḍanē paisē bharū kā?,kˈaːɾɖənˌeː pˈaɪseː bʰˈʌɾuː kˈaː,,2,mr-agent-v1;ipa=espeak
payment-receipt.pay-cash,रोख पैसे भरू का?,,rōkha paisē bharū kā?,ɾˈoːkʰ pˈaɪseː bʰˈʌɾuː kˈaː,,2,mr-agent-v1;ipa=espeak
payment-receipt.pay-by-qr-code,क्यूआर कोडने पैसे भरू का?,,kyūāra kōḍanē paisē bharū kā?,kjuːˈaːɾ kˈoːɖnˌeː pˈaɪseː bʰˈʌɾuː kˈaː,,2,mr-agent-v1;ipa=espeak
payment-receipt.a-receipt-please,"पावती द्या, कृपया",,"pāvatī dyā, kr̥payā","pˈaːvtˌi djˈaː, kɾˈʊpjˌaː",,2,mr-agent-v1;ipa=espeak
payment-receipt.please-write-the-number,नंबर लिहा,,naṁbara lihā,nˈʌmbəɾ lˈɪhaː,,2,mr-agent-v1;ipa=espeak
payment-receipt.how-much-in-total,एकूण किती झाले?,,ēkūṇa kitī jhālē?,eːkˈuːɳ kˈɪti ɟʰˈaːleː,,2,mr-agent-v1;ipa=espeak
payment-receipt.can-we-pay-separately,आम्ही वेगवेगळे पैसे भरू शकतो का?,,āmhī vēgavēgaḷē paisē bharū śakatō kā?,ˈaːmhi vˌeːɡvˈeːɡɭˌeː pˈaɪseː bʰˈʌɾuː ʃˈʌktˌoː kˈaː,,2,mr-agent-v1;ipa=espeak
payment-receipt.is-tax-included,यात कर समाविष्ट आहे का?,,yāta kara samāviṣṭa āhē kā?,jˈaːt kˈʌɾ sˌəmaːvˈɪʂʈ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
payment-receipt.my-card-was-declined,माझे कार्ड चालले नाही,,mājhē kārḍa cālalē nāhī,mˈaːɟʰeː kˈaːɾɖ cˈaːllˌeː nˈaːhi,,2,mr-agent-v1;ipa=espeak
payment-receipt.the-bill-is-wrong,बिलात चूक झाली आहे असे वाटते,,bilāta cūka jhālī āhē asē vāṭatē,bɪlˈaːt cˈuːk ɟʰˈaːli ˈaːheː ˈʌseː vˈaːʈtˌeː,"phrased as a polite query, not an accusation",2,mr-agent-v1;ipa=espeak
payment-receipt.i-already-paid,मी आधीच पैसे दिले आहेत,,mī ādhīca paisē dilē āhēta,mˈi aːdʰˈiːc pˈaɪseː dˈɪleː aːhˈeːt,,2,mr-agent-v1;ipa=espeak
shopping.i-am-just-looking,फक्त बघायचे आहे,,phakta baghāyacē āhē,pʰˈʌkt bəɡʰˈaːjcˌeː ˈaːheː,"just to look is [my intent] -- impersonal, no gender",2,mr-agent-v1;ipa=espeak
shopping.how-much-is-this,हे किती रुपयांना आहे?,,hē kitī rupayāṁnā āhē?,hˈeː kˈɪti ɾˌʊpjˈãnaː ˈaːheː,,2,mr-agent-v1;ipa=espeak
shopping.that-is-too-expensive,ते खूप महाग आहे,,tē khūpa mahāga āhē,tˈeː kʰˈuːp məhˈaːɡ ˈaːheː,,2,mr-agent-v1;ipa=espeak
shopping.can-it-be-a-little-cheaper,थोडं स्वस्त होईल का?,,thōḍaṁ svasta hōīla kā?,tʰˈoːɖən svˈʌst hoːˈiːl kˈaː,,2,mr-agent-v1;ipa=espeak
shopping.is-there-a-discount,सूट आहे का?,,sūṭa āhē kā?,sˈuːʈ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
shopping.where-do-i-pay,मी पैसे कुठे भरू?,,mī paisē kuṭhē bharū?,mˈi pˈaɪseː kˈʊʈʰeː bʰˈʌɾuː,,2,mr-agent-v1;ipa=espeak
shopping.i-will-take-this,मला हेच घ्यायचे आहे,,malā hēca ghyāyacē āhē,mˈʌlaː hˈeːc ɡʰjˈaːjcˌeː ˈaːheː,"this-only to-take is [my intent] -- impersonal, no gender",2,mr-agent-v1;ipa=espeak
shopping.what-is-this,हे काय आहे?,,hē kāya āhē?,hˈeː kˈaːj ˈaːheː,,2,mr-agent-v1;ipa=espeak
shopping.where-can-i-buy,मला {} कुठे मिळेल?,,malā {} kuṭhē miḷēla?,mˈʌlaː {} kˈʊʈʰeː mɪɭˈeːl,,2,mr-agent-v1;ipa=espeak
shopping.do-you-have-this-in-stock,हे स्टॉकमध्ये आहे का?,,hē sṭôkamadhyē āhē kā?,hˈeː sʈˌɔkəmˈʌdʰjeː ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
shopping.two-of-these,यातले दोन द्या,,yātalē dōna dyā,jˈaːtlˌeː dˈoːn djˈaː,,2,mr-agent-v1;ipa=espeak
shopping.what-is-it-made-of,हे कशापासून बनवले आहे?,,hē kaśāpāsūna banavalē āhē?,hˈeː kˌəʃaːpaːsˈuːn bˈʌnəvleː ˈaːheː,,2,mr-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-color,दुसरा रंग आहे का?,,dusarā raṁga āhē kā?,dˈʊsɾˌaː ɾˈʌŋɡ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
color-size-returns.do-you-have-another-size,दुसरा साईझ आहे का?,,dusarā sāījha āhē kā?,dˈʊsɾˌaː saːˈiːɟʰ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
color-size-returns.may-i-try-it-on,हे घालून बघू का?,,hē ghālūna baghū kā?,hˈeː ɡʰaːlˈuːn bˈʌɡʰuː kˈaː,,2,mr-agent-v1;ipa=espeak
color-size-returns.can-i-return-it,हे परत करता येईल का?,,hē parata karatā yēīla kā?,hˈeː pˈʌɾət kˈʌɾtˌaː jeːˈiːl kˈaː,"can this be returned -- impersonal, no gender",2,mr-agent-v1;ipa=espeak
color-size-returns.can-i-exchange-it,हे बदलून मिळेल का?,,hē badalūna miḷēla kā?,hˈeː bˌədlˈuːn mɪɭˈeːl kˈaː,"can this be exchanged -- impersonal, no gender",2,mr-agent-v1;ipa=espeak
color-size-returns.do-you-have-a-bag,पिशवी आहे का?,,piśavī āhē kā?,pˈɪʃvˌi ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
tax-refund.can-i-get-a-tax-refund,कराचा परतावा मिळेल का?,,karācā paratāvā miḷēla kā?,kəɾˈaːcaː pˌəɾtˈaːvaː mɪɭˈeːl kˈaː,,2,mr-agent-v1;ipa=espeak
tax-refund.is-tax-free-shopping-available,करमुक्त खरेदी उपलब्ध आहे का?,,karamukta kharēdī upalabdha āhē kā?,kˌəɾmˈʊkt kʰəɾˈeːdi ˌʊpəlˈʌbdʰ ˈaːheː kˈaː,,2,mr-agent-v1;ipa=espeak
