concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
emergency-medical.help,Помогите!,,Pomogite!,pʌmʌɡʲˈitʲi,,2,ru-agent-v1;ipa=espeak
emergency-medical.please-call-an-ambulance,Вызовите скорую!,Вызовите скорую помощь!,Vyzovite skoruyu!,vˈɨzʌvʲitʲi skˈoruju,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-need-a-doctor,Мне нужен врач.,,Mne nuzhen vrach.,mnʲˈe nˈuʒɨn vrˈɑtʃʲ,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-am-sick,Я болен,Я больна,Ya bolen,ˈja bˈoɭʲin,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-am-injured,У меня травма.,,U menya travma.,ˈu mʲinʲˈɑ trˈɑvma,I have an injury,2,ru-agent-v1;ipa=espeak
emergency-medical.it-hurts-here,Болит здесь.,,Bolit zdesʼ.,bʌɭʲˈit ʑdʲˈesʲ,,2,ru-agent-v1;ipa=espeak
emergency-medical.where-is-a-pharmacy,Где аптека?,,Gde apteka?,ɡdʲˈe aptʲˈeka,,2,ru-agent-v1;ipa=espeak
emergency-medical.please-take-me-to-a-hospital,Отвезите меня в больницу.,,Otvezite menya v bolʼnitsu.,ʌtvʲiʑˈitʲi mʲinʲˈɑ v bʌɭnʲˈitsu,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-feel-unwell,Мне плохо.,,Mne plokho.,mnʲˈe pɭˈoxʌ,,2,ru-agent-v1;ipa=espeak
emergency-medical.this-is-an-emergency,Это экстренный случай.,Это срочно!,Eto ekstrennyy sluchay.,ˈɛtʌ ˈɛkstrʲinnɨj sɭˈutʃʲʌj,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-am-having-a-severe-allergic-reaction,У меня анафилактический шок.,У меня тяжёлая аллергическая реакция.,U menya anafilakticheskiy shok.,ˈu mʲinʲˈɑ anʌfʲiɭaktʲˈitʃʲiskʲij ʃˈok,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-cannot-breathe,Я не могу дышать.,,Ya ne mogu dyshatʼ.,ˈja nʲe mʌɡˌu dɨʃˈɑtʲ,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-am-bleeding-badly,У меня сильное кровотечение.,,U menya silʼnoye krovotecheniye.,ˈu mʲinʲˈɑ sʲˈiɭnʌjɪ krʌvʌtʲitʃʲˈenʲijɪ,,2,ru-agent-v1;ipa=espeak
emergency-medical.i-have-chest-pain,У меня боль в груди.,,U menya bolʼ v grudi.,ˈu mʲinʲˈɑ bˈoɭ v ɡrˈudʲɪ,,2,ru-agent-v1;ipa=espeak
