concept_id,text,text_alt,ipa,literal,confidence,provenance
social-basics.hello,Habari,Hujambo,habˈari,reply: nzuri,2,sw-agent-v1;ipa=espeak
social-basics.hello-polite,Shikamoo,Marahaba,ʃˌikamˈoo,to an elder; reply: marahaba,2,sw-agent-v1;ipa=espeak
social-basics.good-morning,Habari za asubuhi,,habˈari za ˌasubˈuhi,,2,sw-agent-v1;ipa=espeak
social-basics.good-evening,Habari za jioni,,habˈari za ɟiˈoni,,2,sw-agent-v1;ipa=espeak
social-basics.goodbye,Kwaheri,Kwaherini,kwahˈeri,kwaherini to more than one,2,sw-agent-v1;ipa=espeak
social-basics.thank-you,Asante,Asante sana,asˈante,,2,sw-agent-v1;ipa=espeak
social-basics.you-are-welcome,Karibu,,karˈibu,"also: welcome, come in",2,sw-agent-v1;ipa=espeak
social-basics.excuse-me-sorry,Samahani,,sˌamahˈani,,2,sw-agent-v1;ipa=espeak
social-basics.sorry,Nisamehe,,nˌisamˈehe,forgive me,2,sw-agent-v1;ipa=espeak
social-basics.no-problem,Hakuna shida,Hamna shida,hakˈuna ʃˈida,,2,sw-agent-v1;ipa=espeak
social-basics.i-do-not-know,Sijui,,siɟˈui,,2,sw-agent-v1;ipa=espeak
social-basics.good-night,Usiku mwema,Lala salama,usˈiku mwˈema,,2,sw-agent-v1;ipa=espeak
social-basics.okay-fine-i-am-okay,Niko sawa,Sawa,nˈiko sˈawa,,2,sw-agent-v1;ipa=espeak
communication.i-do-not-speak-this-language,Sisemi {target},,sisˈemi {target},,2,language-slots-v1;ipa=espeak
communication.i-speak-only-a-little-of-this,Nasema {target} kidogo tu,,nasˈema {target} kidˈoɡo tˈu,,2,language-slots-v1;ipa=espeak
communication.do-you-speak-english,Unasema {source}?,,,,2,language-slots-v1
communication.please-speak-more-slowly,Tafadhali sema polepole,,tˌafaðˈali sˈema pˌolepˈole,,2,sw-agent-v1;ipa=espeak
communication.i-do-not-understand-spoken,Sielewi,,sˌielˈewi,,2,sw-agent-v1;ipa=espeak
communication.i-cannot-read-understand,Siwezi kusoma wala kuelewa,,siwˈezi kusˈoma wˈala kˌuelˈewa,,2,sw-agent-v1;ipa=espeak
communication.please-say-it-again,Tafadhali sema tena,,tˌafaðˈali sˈema tˈena,,2,sw-agent-v1;ipa=espeak
communication.please-write-it-down,Tafadhali andika,,tˌafaðˈali andˈika,,2,sw-agent-v1;ipa=espeak
communication.please-wait-a-moment,Tafadhali subiri kidogo,,tˌafaðˈali subˈiri kidˈoɡo,,2,sw-agent-v1;ipa=espeak
communication.can-you-help-me,Unaweza kunisaidia?,,ˌunawˈeza kˌunisˌaidˈia,,2,sw-agent-v1;ipa=espeak
communication.please-show-me-the-text,Tafadhali nionyeshe maandishi kwa {target},,tˌafaðˈali nˌioɲˈeʃe mˌaandˈiʃi kwa {target},,2,language-slots-v1;ipa=espeak
communication.i-cannot-make-out-what-you-are-saying,Sipati unachosema,,sipˈati ˌunatʃosˈema,I do not catch what you say,2,sw-agent-v1;ipa=espeak
communication.i-do-not-understand,Sifahamu,,sˌifahˈamu,,2,sw-agent-v1;ipa=espeak
communication.i-cannot-read-it,Siwezi kusoma hii,,siwˈezi kusˈoma hˌii,,2,sw-agent-v1;ipa=espeak
quick-responses.please-go-ahead,Tafadhali,Endelea,tˌafaðˈali,,2,sw-agent-v1;ipa=espeak
quick-responses.yes-right,Ndiyo,,n̩dˈijo,,2,sw-agent-v1;ipa=espeak
quick-responses.no-not,Hapana,La,hapˈana,,2,sw-agent-v1;ipa=espeak
quick-responses.okay-can,Sawa,,sˈawa,,2,sw-agent-v1;ipa=espeak
quick-responses.cannot-not-allowed,Hairuhusiwi,,hˌairˌuhusˈiwi,not allowed,2,sw-agent-v1;ipa=espeak
quick-responses.works-okay,Inafanya kazi,,ˌinafˈaɲa kˈazi,it works,2,sw-agent-v1;ipa=espeak
quick-responses.does-not-work-no,Haifanyi kazi,,hˌaifˈaɲi kˈazi,it does not work,2,sw-agent-v1;ipa=espeak
quick-responses.can-possible,Inawezekana,,ˌinawˌezekˈana,it is possible,2,sw-agent-v1;ipa=espeak
quick-responses.cannot-not-possible,Haiwezekani,,hˌaiwˌezekˈani,it is not possible,2,sw-agent-v1;ipa=espeak
quick-responses.okay-fine,Nzuri,,nzˈuri,,2,sw-agent-v1;ipa=espeak
quick-responses.no-good-not-allowed-will-not-work,Haifai,,hˌaifˈai,it will not do,2,sw-agent-v1;ipa=espeak
phone-translation.i-am-using-phone-translation,Natumia tafsiri ya simu,,nˌatumˈia tafsˈiri ja sˈimu,,2,sw-agent-v1;ipa=espeak
phone-translation.please-speak-toward-the-phone,Tafadhali sema kwenye simu,,tˌafaðˈali sˈema kwˈeɲe sˈimu,,2,sw-agent-v1;ipa=espeak
phone-translation.please-write-the-place-name,Tafadhali andika jina la mahali kwa {target},,tˌafaðˈali andˈika ɟˈina la mahˈali kwa {target},,2,language-slots-v1;ipa=espeak
phone-translation.one-sentence-at-a-time-please,"Sentensi moja kwa wakati, tafadhali",,"sentˈensi mˈoɟa kwa wakˈati, tˌafaðˈali",,2,sw-agent-v1;ipa=espeak
phone-translation.please-type-it-and-show-me,Tafadhali chapa na unionyeshe,,tˌafaðˈali tʃˈapa na ˌunioɲˈeʃe,,2,sw-agent-v1;ipa=espeak
phone-translation.please-look-at-the-screen,Tafadhali tazama skrini,,tˌafaðˈali tazˈama skrˈini,,2,sw-agent-v1;ipa=espeak
phone-text-power.please-type-it-for-me,Tafadhali niandikie,,tˌafaðˈali nˌiandikˈie,,2,sw-agent-v1;ipa=espeak
phone-text-power.please-use-simple-words,Tafadhali tumia maneno rahisi,,tˌafaðˈali tumˈia manˈeno rahˈisi,,2,sw-agent-v1;ipa=espeak
phone-text-power.my-phone-battery-is-low,Betri ya simu yangu inaisha,,bˈetri ja sˈimu jˈaŋɡu ˌinaˈiʃa,,2,sw-agent-v1;ipa=espeak
phone-text-power.do-you-have-a-power-bank,"Je, mna power bank?",Chaja ya mkononi,"ɟˈe, ˈm̩na pˈower bˈaŋk",,2,sw-agent-v1;ipa=espeak
phone-text-power.the-translation-may-be-inaccurate,Tafsiri inaweza kuwa si sahihi,,tafsˈiri ˌinawˈeza kˌuwa si sahˈihi,,2,sw-agent-v1;ipa=espeak
phone-text-power.please-confirm,Tafadhali thibitisha,,tˌafaðˈali θˌibitˈiʃa,,2,sw-agent-v1;ipa=espeak
phone-text-power.may-i-charge-my-phone-here,Naomba kuchaji simu hapa?,,naˈomba kutʃˈaɟi sˈimu hˈapa,,2,sw-agent-v1;ipa=espeak
sim-data.i-would-like-a-tourist-sim,Naomba simkadi ya watalii,Laini ya mgeni,naˈomba simkˈadi ja wˌatalˈii,,2,sw-agent-v1;ipa=espeak
sim-data.may-i-use-your-wifi,Naomba kutumia Wi-Fi yako?,,naˈomba kˌutumˈia wˈifi jˈako,,2,sw-agent-v1;ipa=espeak
sim-data.how-much-data-is-included,Kuna data kiasi gani?,Bando ni kiasi gani?,kˈuna dˈata kiˈasi ɡˈani,,2,sw-agent-v1;ipa=espeak
sim-data.do-you-need-my-passport,"Je, unahitaji pasipoti yangu?",,"ɟˈe, ˌunahitˈaɟi pˌasipˈoti jˈaŋɡu",,2,sw-agent-v1;ipa=espeak
sim-data.how-long-is-it-valid,Inadumu kwa muda gani?,,ˌinadˈumu kwa mˈuda ɡˈani,,2,sw-agent-v1;ipa=espeak
sim-data.please-activate-it,Tafadhali isajili,,tˌafaðˈali ˌisaɟˈili,please register it,2,sw-agent-v1;ipa=espeak
sim-data.do-you-have-an-esim,"Je, mna eSIM?",,"ɟˈe, ˈm̩na ˈe ˌesˌiˈem",,2,sw-agent-v1;ipa=espeak
sim-data.my-data-is-not-working,Data yangu haifanyi kazi,,dˈata jˈaŋɡu hˌaifˈaɲi kˈazi,,2,sw-agent-v1;ipa=espeak
sim-data.does-it-need-registration,"Je, inahitaji kusajiliwa?",,"ɟˈe, ˌinahitˈaɟi kˌusaɟilˈiwa",,2,sw-agent-v1;ipa=espeak
sim-data.i-have-no-signal,Sina mtandao,Sina network,sˈina mtandˈao,,2,sw-agent-v1;ipa=espeak
sim-data.please-write-the-wifi-password,Tafadhali andika nenosiri la Wi-Fi,,tˌafaðˈali andˈika nˌenosˈiri la wˈifi,,2,sw-agent-v1;ipa=espeak
sim-data.sim-card,Simkadi,Laini,simkˈadi,,2,sw-agent-v1;ipa=espeak
sim-data.where-can-i-buy-a-plug-adapter,Naweza kununua adapta ya plagi wapi?,,nawˈeza kˌununˈua adˈapta ja plˈaɡi wˈapi,,2,sw-agent-v1;ipa=espeak
sim-data.mobile-data,Data ya simu,Bando,dˈata ja sˈimu,,2,sw-agent-v1;ipa=espeak
