concept_id,text,text_alt,romanization_okrand,ipa,literal,confidence,provenance
trail-words.trail,,,taw,tʰɑw,road / path,3,tlh-attested-v1;src=Saarbruecken qepHom'a' 2015;native=piqad-csur;ipa=okrand
trail-words.viewpoint,,,jorchan,dʒortʃɑn,view / scene / scenery,3,tlh-attested-v1;src=qep'a' 25 (2018);native=piqad-csur;ipa=okrand
trail-words.shuttle-bus,,,lupwI',lupʰwɪʔ,jitney / bus,3,tlh-attested-v1;src=TNK;native=piqad-csur;ipa=okrand
trail-words.park-shuttle,,,lupwI',lupʰwɪʔ,jitney / bus,3,tlh-attested-v1;src=TNK;native=piqad-csur;ipa=okrand
trail-words.steps,,,ngep'oS,ŋɛpʰʔoʂ,stairs,3,tlh-attested-v1;src=KGT;native=piqad-csur;ipa=okrand
trail-words.up-uphill,,,Dung,ɖuŋ,the area above,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
trail-words.down-downhill,,,bIng,bɪŋ,the area below,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
weather.forecast,  ,,nuq muD Dotlh,nuqʰ muɖ ɖotɬ,what is the weather?,1,tlh-composed-v1;lex=KGT + TKD;grammar=TKD;native=piqad-csur;ipa=okrand
weather.will-it-rain,,,SIS'a',ʂɪʂʔɑʔ,will it rain?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
weather.is-it-safe-today, ,,DaHjaj Qob'a',ɖɑxdʒɑdʒ qxobʔɑʔ,is today dangerous?,1,tlh-composed-v1;lex=TKD;grammar=TKD;native=piqad-csur;ipa=okrand
weather.rain,,,SIS,ʂɪʂ,it rains,3,tlh-attested-v1;src=TKD;native=piqad-csur;ipa=okrand
weather.snow, ,,chal chuch,tʃɑl tʃutʃ,sky ice,3,tlh-attested-v1;src=qep'a' 24 (2017);native=piqad-csur;ipa=okrand
