section_id,title
social-basics,Շփում + հիմունքներ
communication,Հաղորդակցություն
quick-responses,Արագ պատասխաններ
phone-translation,Թարգմանություն հեռախոսով
phone-text-power,"Հեռախոս, տեքստ + լիցք"
sim-data,"Սիմ, ինտերնետ + վայ-ֆայ"
introductions,Ծանոթություն
etiquette,Թեյավճար + վարվելակարգ
slang,Խոսակցական
profanity,Հայհոյանք (կոպիտ)
time-scheduling,Ժամանակ + պայմանավորվածություն
time-words,Ժամանակի բառեր
days-of-week,Շաբաթվա օրերը
months,Ամիսներ
pronouns-verbs,Հիմնական բառեր + կաղապարներ
question-words,Հարցական + փոքր բառեր
payment-receipt,Վճարում + կտրոն
numbers-money,Թվեր + փող
atm-cash,Բանկոմատ + կանխիկ
dietary-needs,Սննդային սահմանափակումներ
utility-templates,Օգտակար կաղապարներ
shopping,Գնումներ
color-size-returns,"Գույն, չափս + վերադարձ"
tax-refund,Հարկի վերադարձ
food-ordering,Սնունդ + պատվեր
attractions-tickets,Տեսարժան վայրեր + տոմսեր
children,Երեխաների հետ
directions,Ուղղություններ
quick-directions,Արագ ուղղություններ
taxi,Տաքսի
building-help,Օգնություն շենքում
accessibility,Հասանելիություն + տեղաշարժ
transit-rides,Տրանսպորտ + երթուղիներ
in-a-building,Շենքի ներսում
toilets,Զուգարաններ
building-words,Շենքի բառեր
hotel-words,Հյուրանոցի բառեր
hotel-basics,Հյուրանոցի հիմունքներ
hotel-requests,Հյուրանոցային խնդրանքներ
room-problems,Սենյակի խնդիրներ
laundry,Լվացք
place-words,Վայրերի բառեր
border-customs,Սահման + մաքսատուն
trail-words,Արահետի բառեր
pickup-meeting,Դիմավորում + հանդիպում
rail-station-words,Երկաթգիծ + կայարան
common-signs,Տարածված ցուցանակներ
weather,Եղանակ + պայմաններ
hiking-parks,Արահետներ + այգիներ
trail-conditions,Պայմաններ + ճանապարհ
trail-transport,Տրանսպորտ + ծառայություններ
trail-warnings,Արահետի զգուշացումներ
trail-landmarks,Արահետի նշաձողեր + ծառայություններ
emergency-medical,Շտապ + բժշկական
medical-conditions,Հիվանդություններ + դեղեր
pharmacy-symptoms,Դեղատուն + ախտանիշներ
body-parts,Մարմնի մասեր
lost-rescue,Կորած իրեր + փրկարարներ
police-consulate,"Ոստիկանություն, գողություն + հյուպատոսություն"
