concept_id,text,text_alt,ipa,literal,confidence,provenance
emergency-medical.help,Aiuto!,,ajˈuto,,2,it-agent-v1;ipa=espeak
emergency-medical.please-call-an-ambulance,"Chiami un'ambulanza, per favore",,"kjˈamɪ ʊnambʊlˈantsa, per favˈore",,2,it-agent-v1;ipa=espeak
emergency-medical.i-need-a-doctor,Ho bisogno di un medico,,o bizˈoɲɲo dɪ ʊn mˈɛdiko,,2,it-agent-v1;ipa=espeak
emergency-medical.i-am-sick,Sono malato/a,,sˌono malˈato / ˈaː,,2,it-agent-v1;ipa=espeak
emergency-medical.i-am-injured,Sono ferito/a,,sˌono ferˈito / ˈaː,,2,it-agent-v1;ipa=espeak
emergency-medical.it-hurts-here,Mi fa male qui,,mɪ fˈa mˈale kwˈi,,2,it-agent-v1;ipa=espeak
emergency-medical.where-is-a-pharmacy,Dov'è una farmacia?,,dovˈɛ ˌʊna farmatʃˈiːa,,2,it-agent-v1;ipa=espeak
emergency-medical.please-take-me-to-a-hospital,"Mi porti in ospedale, per favore",,"mɪ pˈɔrtɪ in ospedˈale, per favˈore",,2,it-agent-v1;ipa=espeak
lost-rescue.i-lost-my-passport,Ho perso il passaporto,,o pˈɛrso il passapˈɔrto,,2,it-agent-v1;ipa=espeak
lost-rescue.i-lost-my-phone,Ho perso il telefono,,o pˈɛrso il telˈɛfono,,2,it-agent-v1;ipa=espeak
lost-rescue.please-call-the-police,"Chiami la polizia, per favore",,"kjˈamɪ la politsˈia, per favˈore",,2,it-agent-v1;ipa=espeak
lost-rescue.we-are-here,Siamo qui,,sjˌamo kwˈi,,2,it-agent-v1;ipa=espeak
lost-rescue.please-look-at-my-location-pin,Guardi la mia posizione sulla mappa,,ɡwˈardɪ la mˌia pozitsiˈone sˌʊlla mˈappa,,2,it-agent-v1;ipa=espeak
lost-rescue.i-cannot-walk,Non riesco a camminare,,non riˈesko a kamminˈare,,2,it-agent-v1;ipa=espeak
lost-rescue.i-sprained-my-ankle,Ho la caviglia slogata,Mi sono slogato/a la caviglia,o la kavˈiʎa zloɡˈata,,2,it-agent-v1;ipa=espeak
lost-rescue.please-contact-rescue,Chiami i soccorsi,Chiami il soccorso alpino,kjˈamɪ i sokkˈorsɪ,,2,it-agent-v1;ipa=espeak
lost-rescue.my-companion-is-missing,Non trovo il mio compagno di viaggio,Non trovo la mia compagna di viaggio,non trˈɔvo il mˌio kompˈaɲɲo dɪ vjˈadʒdʒo,,2,it-agent-v1;ipa=espeak
lost-rescue.please-look-at-my-current-location,Guardi la mia posizione attuale,,ɡwˈardɪ la mˌia pozitsiˈone attʊˈale,,2,it-agent-v1;ipa=espeak
emergency-medical.i-feel-unwell,Non mi sento bene,,non mɪ sˈento bˈɛne,,2,it-agent-v1;ipa=espeak
emergency-medical.this-is-an-emergency,È un'emergenza,,e ʊnemerdʒˈɛntsa,,2,it-agent-v1;ipa=espeak
emergency-medical.i-am-having-a-severe-allergic-reaction,Ho uno shock anafilattico,Reazione allergica grave,o ˈuno ʃˈɔkk anafilˈattiko,,2,it-agent-v1;ipa=espeak
emergency-medical.i-cannot-breathe,Non riesco a respirare,,non riˈesko a respirˈare,,2,it-agent-v1;ipa=espeak
emergency-medical.i-am-bleeding-badly,Sto perdendo molto sangue,,stˈɔ perdˈɛndo mˈolto sˈaŋɡwe,,2,it-agent-v1;ipa=espeak
emergency-medical.i-have-chest-pain,Ho dolore al petto,Dolore toracico,o dolˈore al pˈɛtto,,2,it-agent-v1;ipa=espeak
emergency-medical.this-person-is-unconscious,Questa persona ha perso conoscenza,Questa persona è priva di sensi,kwˌɛsta persˈona a pˈɛrso konoʃˈɛntsa,,2,it-agent-v1;ipa=espeak
