concept_id,text,text_alt,ipa,literal,confidence,provenance
hotel-words.passport,pasaporte,,pasapoɾtɛ,,2,fil-agent-v1;ipa=fil-g2p
hotel-words.room-key-card,key card ng kwarto,,kɛj kaɾd naŋ kwaɾto,,2,fil-agent-v1;ipa=fil-g2p+loan
hotel-words.check-in,check-in,,khɛkkin,,2,fil-agent-v1;ipa=fil-g2p
hotel-words.check-out,check-out,,khɛkkout,,2,fil-agent-v1;ipa=fil-g2p
hotel-words.luggage-storage,bodega ng bagahe,,bodɛɡa naŋ baɡahɛ,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.are-any-rooms-available,May bakanteng kwarto po ba?,,maj bakantɛŋ kwaɾto po ba,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.there-are-two-of-us,Dalawa po kami,,dalawa po kami,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.i-have-a-reservation,May reserbasyon po ako,,maj ɾɛsɛɾbasjon po ako,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.can-i-charge-my-phone,Puwede ko po bang i-charge ang cellphone ko?,,puwɛdɛ ko po baŋ ikhaɾɡɛ aŋ sɛllphonɛ ko,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.i-would-like-a-non-smoking-room,Gusto ko po ng kwartong bawal manigarilyo,,ɡusto ko po naŋ kwaɾtoŋ bawal maniɡaɾiljo,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.i-would-like-a-quiet-room,Gusto ko po ng tahimik na kwarto,,ɡusto ko po naŋ tahimik na kwaɾto,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.is-there-a-washing-machine,May washing machine po ba?,,maj washiŋ makhinɛ po ba,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.is-wi-fi-free,Libre po ba ang Wi-Fi?,,libɾɛ po ba aŋ wajfaj,,2,fil-agent-v1;ipa=fil-g2p+loan
hotel-basics.how-much-per-night,Magkano po bawat gabi?,,maɡkano po bawat ɡabi,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.is-breakfast-included,Kasama po ba ang almusal?,,kasama po ba aŋ almusal,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.may-i-see-the-room,Puwede ko po bang makita ang kwarto?,,puwɛdɛ ko po baŋ makita aŋ kwaɾto,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.for-nights,Para sa {} gabi,,paɾa sa {} ɡabi,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.two-beds,Dalawang kama po,,dalawaŋ kama po,,2,fil-agent-v1;ipa=fil-g2p
hotel-basics.is-there-air-conditioning,May aircon po ba?,,maj aiɾkon po ba,,2,fil-agent-v1;ipa=fil-g2p
hotel-requests.can-i-check-out-later,Puwede po bang mag-check-out nang mas huli?,,puwɛdɛ po baŋ maɡkhɛkkout naŋ mas huli,,2,fil-agent-v1;ipa=fil-g2p
hotel-requests.what-time-does-breakfast-start,Anong oras po nagsisimula ang almusal?,,anoŋ oɾas po naɡsisimula aŋ almusal,,2,fil-agent-v1;ipa=fil-g2p
