concept_id,text,text_alt,ipa,literal,confidence,provenance
trail-words.trail,stezka,,stˈeska,,2,cs-agent-v1;ipa=espeak
trail-words.trailhead,začátek stezky,,zˈatʃaːtek stˈeski,,2,cs-agent-v1;ipa=espeak
trail-words.summit,vrchol,,vˈr̩xol,,2,cs-agent-v1;ipa=espeak
trail-words.viewpoint,vyhlídka,,vˈihliːtka,,2,cs-agent-v1;ipa=espeak
trail-words.cableway,lanovka,,lˈanofka,,2,cs-agent-v1;ipa=espeak
trail-words.shuttle-bus,kyvadlový autobus,,kˈivadlˌoviː ˈaʊtobus,,2,cs-agent-v1;ipa=espeak
trail-words.park-shuttle,kyvadlová doprava v parku,,kˈivadlˌovaː dˈoprava v pˈarku,,2,cs-agent-v1;ipa=espeak
trail-words.steps,schody,,sxˈodi,,2,cs-agent-v1;ipa=espeak
trail-words.up-uphill,nahoru,,nˈahoru,,2,cs-agent-v1;ipa=espeak
trail-words.down-downhill,dolů,,dˈoluː,,2,cs-agent-v1;ipa=espeak
trail-words.one-way,jedním směrem,,jˈedɲiːm smɲˈerem,,2,cs-agent-v1;ipa=espeak
trail-words.round-trip,tam a zpět,,tˈam a spjˈet,,2,cs-agent-v1;ipa=espeak
weather.forecast,Jaká je předpověď počasí?,,jˈakaː je pr̝ˈetpovjec pˈotʃasiː,,2,cs-agent-v1;ipa=espeak
weather.will-it-rain,Bude dnes pršet?,,bˌude dnˈes pˈr̩ʃet,,2,cs-agent-v1;ipa=espeak
weather.is-it-safe-today,Je to dnes bezpečné?,,je tˈo dnˈez bˈespetʃneː,,2,cs-agent-v1;ipa=espeak
weather.how-cold-at-night,Jak moc je v noci zima?,,jˈak mˈots je v nˈotsi zˈima,,2,cs-agent-v1;ipa=espeak
weather.rain,déšť,,dˈeːʃc,,2,cs-agent-v1;ipa=espeak
weather.snow,sníh,,sɲˈiːx,,2,cs-agent-v1;ipa=espeak
weather.wind,vítr,,vˈiːtr̩,,2,cs-agent-v1;ipa=espeak
weather.storm,bouře,,bˈoʊr̝e,,2,cs-agent-v1;ipa=espeak
weather.ice,led,,lˈet,,2,cs-agent-v1;ipa=espeak
weather.fog,mlha,,mˈl̩ha,,2,cs-agent-v1;ipa=espeak
weather.heat,horko,,hˈorko,,2,cs-agent-v1;ipa=espeak
weather.cold,zima,,zˈima,,2,cs-agent-v1;ipa=espeak
weather.humid,vlhko,,vˈl̩hko,,2,cs-agent-v1;ipa=espeak
weather.sunrise,východ slunce,,vˈiːxot slˈuntse,,2,cs-agent-v1;ipa=espeak
weather.flood,povodeň,,pˈovodeɲ,,2,cs-agent-v1;ipa=espeak
weather.avalanche-risk,riziko lavin,,rˈiziko lˈavin,,2,cs-agent-v1;ipa=espeak
hiking-parks.is-this-the-way-to,Je tohle cesta na {}?,,je tˈohle tsˈesta na {},,2,cs-agent-v1;ipa=espeak
hiking-parks.where-is-the-trailhead,Kde je začátek stezky?,,ɡdˈe je zˈatʃaːtek stˈeski,,2,cs-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-summit,Jak dlouho trvá cesta na vrchol?,,jˈak dlˈoʊho tˈr̩vaː tsˈesta nˈavr̩xol,,2,cs-agent-v1;ipa=espeak
hiking-parks.how-long-to-the-viewpoint,Jak dlouho trvá cesta na vyhlídku?,,jˈak dlˈoʊho tˈr̩vaː tsˈesta nˈavihlˌiːtku,,2,cs-agent-v1;ipa=espeak
hiking-parks.which-route-is-easier,Která trasa je snazší?,,ktˈeraː trˈasa je snˈasʃiː,,2,cs-agent-v1;ipa=espeak
hiking-parks.is-this-trail-suitable-for-beginners,Je tato stezka vhodná pro začátečníky?,,je tˈato stˈeska fhˈodnaː pro zˈatʃaːtˌetʃɲiːki,,2,cs-agent-v1;ipa=espeak
trail-conditions.how-long-is-the-full-route,Jak dlouhá je celá trasa?,,jˈak dlˈoʊhaː je tsˈelaː trˈasa,,2,cs-agent-v1;ipa=espeak
trail-conditions.can-we-return-the-same-way,Můžeme se vrátit stejnou cestou?,,mˈuːʒeme se vrˈaːcit stˈeɪnoʊ tsˈestoʊ,,2,cs-agent-v1;ipa=espeak
trail-conditions.can-we-return-before-dark,Můžeme se vrátit před setměním?,,mˈuːʒeme se vrˈaːcit pr̝ˈetsetmɲˌeɲiːm,,2,cs-agent-v1;ipa=espeak
trail-conditions.is-the-trail-open,Je stezka otevřená?,,je stˈeska ˈotevr̝ˌenaː,,2,cs-agent-v1;ipa=espeak
trail-conditions.is-the-route-steep,Je trasa strmá?,,je trˈasa stˈr̩maː,,2,cs-agent-v1;ipa=espeak
trail-conditions.is-the-path-slippery,Je cesta kluzká?,,je tsˈesta klˈuskaː,,2,cs-agent-v1;ipa=espeak
trail-transport.how-long-is-the-queue,Jak dlouhá je fronta?,,jˈak dlˈoʊhaː je frˈonta,,2,cs-agent-v1;ipa=espeak
trail-transport.what-time-is-the-last-shuttle,V kolik jede poslední autobus?,,v kˈolik jˈede pˈosledɲiː ˈaʊtobus,,2,cs-agent-v1;ipa=espeak
trail-transport.when-does-the-cableway-stop,Kdy končí provoz lanovky?,,ɡdˈi kˈontʃiː prˈovoz lˈanofki,,2,cs-agent-v1;ipa=espeak
trail-transport.where-can-we-buy-water,Kde si můžeme koupit vodu?,,ɡdˈe si mˈuːʒeme kˈoʊpit vˈodu,,2,cs-agent-v1;ipa=espeak
trail-transport.where-can-we-refill-water,Kde si můžeme doplnit vodu?,,ɡdˈe si mˈuːʒeme dˈopl̩ɲit vˈodu,,2,cs-agent-v1;ipa=espeak
trail-transport.is-there-cell-signal-here,Je tu signál?,,je tˈu sˈiɡnaːl,,2,cs-agent-v1;ipa=espeak
trail-transport.do-you-have-a-map,Máte mapu?,,mˌaːte mˈapu,,2,cs-agent-v1;ipa=espeak
trail-transport.how-long-is-the-wait,Jak dlouhé je čekání?,,jˈak dlˈoʊheː je tʃˈekaːɲiː,,2,cs-agent-v1;ipa=espeak
trail-warnings.open,otevřeno,,ˈotevr̝ˌeno,,2,cs-agent-v1;ipa=espeak
trail-warnings.closed,zavřeno,,zˈavr̝eno,,2,cs-agent-v1;ipa=espeak
trail-warnings.maintenance,údržba,,ˈuːdr̩ʒba,,2,cs-agent-v1;ipa=espeak
trail-warnings.steep-slope,strmý svah,,stˈr̩miː svˈax,,2,cs-agent-v1;ipa=espeak
trail-warnings.caution-slippery,"pozor, kluzko",,"pˈozor, klˈusko",,2,cs-agent-v1;ipa=espeak
trail-warnings.danger,nebezpečí,,nˈebespˌetʃiː,,2,cs-agent-v1;ipa=espeak
