concept_id,text,text_alt,romanization_bgn,ipa,literal,confidence,provenance
hotel-words.passport,паспорт,,pasport,paspˈort,,2,uk-agent-v1;ipa=espeak
hotel-words.room-key-card,картка-ключ,,kartka-kliuch,kˈartkakʎutʃ,,2,uk-agent-v1;ipa=espeak
hotel-words.check-in,заселення,,zaselennia,zasˈɛlɛnɲa,,2,uk-agent-v1;ipa=espeak
hotel-words.check-out,виселення,,vyselennia,ʋɪsˈɛlɛnɲa,,2,uk-agent-v1;ipa=espeak
hotel-words.luggage-storage,камера схову,,kamera skhovu,kamˈɛra sxˈoʋu,,2,uk-agent-v1;ipa=espeak
hotel-basics.are-any-rooms-available,Є вільні номери?,,Ye vilni nomery?,jˈɛ ʋˈiːʎɲiː nomˈɛrɪ,,2,uk-agent-v1;ipa=espeak
hotel-basics.there-are-two-of-us,Нас двоє.,,Nas dvoie.,nˈaz dʋˈojɛ,,2,uk-agent-v1;ipa=espeak
hotel-basics.i-have-a-reservation,У мене є бронювання.,,U mene ye broniuvannia.,ˈu mˈɛnɛ jˈɛ broɲˈuʋanɲa,,2,uk-agent-v1;ipa=espeak
hotel-basics.can-i-charge-my-phone,Можна зарядити телефон?,,Mozhna zariadyty telefon?,mˈoʒna zarjˈadɪtɪ tɛlˈɛfon,,2,uk-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-non-smoking-room,Потрібен номер для некурців.,,Potriben nomer dlia nekurtsiv.,potrˈiːbɛn nˈomɛr dʎˈa nɛkˈurtsiːʋ,,2,uk-agent-v1;ipa=espeak
hotel-basics.i-would-like-a-quiet-room,Потрібен тихий номер.,,Potriben tykhyi nomer.,potrˈiːbɛn tˈɪxɪj nˈomɛr,,2,uk-agent-v1;ipa=espeak
hotel-basics.is-there-a-washing-machine,Є пральна машина?,,Ye pralna mashyna?,jˈɛ prˈaʎna maʃˈɪna,,2,uk-agent-v1;ipa=espeak
hotel-basics.is-wi-fi-free,Wi-Fi безкоштовний?,,Wi-Fi bezkoshtovnyi?,wˈaɪfˌaɪ bɛskoʃtˈoʋnɪj,,2,uk-agent-v1;ipa=espeak
hotel-basics.how-much-per-night,Скільки за ніч?,,Skilky za nich?,skˈiːʎkɪ zˈa ɲˈiːtʃ,,2,uk-agent-v1;ipa=espeak
hotel-basics.is-breakfast-included,Сніданок включено?,,Snidanok vkliucheno?,sɲiːdanˈok fkʎutʃˈɛno,,2,uk-agent-v1;ipa=espeak
hotel-basics.may-i-see-the-room,Можна подивитися номер?,,Mozhna podyvytysia nomer?,mˈoʒna podɪʋˈɪtɪsja nˈomɛr,,2,uk-agent-v1;ipa=espeak
hotel-basics.for-nights,На {} ночей.,,Na {} nochei.,nˈa {} nˈotʃɛj,,2,uk-agent-v1;ipa=espeak
hotel-basics.two-beds,"Два ліжка, будь ласка.",,"Dva lizhka, bud laska.","dʋˈa ʎˈiːʃka, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
hotel-basics.is-there-air-conditioning,Є кондиціонер?,,Ye kondytsioner?,jˈɛ kondɪtsˈiːonɛr,,2,uk-agent-v1;ipa=espeak
hotel-requests.can-i-check-out-later,Можна виїхати пізніше?,,Mozhna vyikhaty piznishe?,mˈoʒna ʋɪjˈiːxatɪ piːzɲˈiːʃɛ,,2,uk-agent-v1;ipa=espeak
hotel-requests.what-time-does-breakfast-start,О котрій сніданок?,,O kotrii snidanok?,ˈo kˈotriːj sɲiːdanˈok,,2,uk-agent-v1;ipa=espeak
hotel-requests.can-i-store-my-luggage,Можна залишити багаж?,,Mozhna zalyshyty bahazh?,mˈoʒna zalˈɪʃɪtɪ bˈahaʒ,,2,uk-agent-v1;ipa=espeak
hotel-requests.no-housekeeping,Прибирання не потрібне.,,Prybyrannia ne potribne.,prɪbˈɪranɲa nˈɛ potrˈiːbnɛ,,2,uk-agent-v1;ipa=espeak
hotel-requests.another-towel-please,"Ще один рушник, будь ласка.",,"Shche odyn rushnyk, bud laska.","ʃtʃˈɛ ˈodɪn ruʃnˈɪk, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
hotel-requests.what-time-is-check-out,О котрій виселення?,,O kotrii vyselennia?,ˈo kˈotriːj ʋɪsˈɛlɛnɲa,,2,uk-agent-v1;ipa=espeak
hotel-requests.can-i-check-in-early,Можна заселитися раніше?,,Mozhna zaselytysia ranishe?,mˈoʒna zasɪlˈɪtɪsja raɲˈiːʃɛ,,2,uk-agent-v1;ipa=espeak
hotel-requests.another-night,Можна залишитися ще на одну ніч?,,Mozhna zalyshytysia shche na odnu nich?,mˈoʒna zalɪʃˈɪtɪsja ʃtʃˈɛ nˈa ˈodnu ɲˈiːtʃ,,2,uk-agent-v1;ipa=espeak
hotel-requests.is-there-a-safe,Є сейф?,,Ye seif?,jˈɛ sˈɛjf,,2,uk-agent-v1;ipa=espeak
hotel-requests.another-blanket,"Ще одну ковдру, будь ласка.",,"Shche odnu kovdru, bud laska.","ʃtʃˈɛ ˈodnu kˈoʋdru, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
hotel-requests.wake-up-call,"Розбудіть мене о {}, будь ласка.",,"Rozbudit mene o {}, bud laska.","rozbˈudiːt mˈɛnɛ ˈo {}, bˈud lˈaska",,2,uk-agent-v1;ipa=espeak
room-problems.there-is-a-problem-with-the-room,У номері проблема.,,U nomeri problema.,ˈu nomˈɛriː problˈɛma,,2,uk-agent-v1;ipa=espeak
room-problems.the-air-conditioning-is-broken,Кондиціонер не працює.,,Kondytsioner ne pratsiuie.,kondɪtsˈiːonɛr nˈɛ pratsjˈujɛ,,2,uk-agent-v1;ipa=espeak
room-problems.there-is-no-hot-water,Немає гарячої води.,,Nemaie hariachoi vody.,nɛmˈajɛ harjatʃˈojiː ʋˈodɪ,,2,uk-agent-v1;ipa=espeak
room-problems.can-i-change-rooms,Можна поміняти номер?,,Mozhna pominiaty nomer?,mˈoʒna pomˈiːɲatɪ nˈomɛr,,2,uk-agent-v1;ipa=espeak
room-problems.the-room-is-too-noisy,У номері дуже шумно.,,U nomeri duzhe shumno.,ˈu nomˈɛriː dˈuʒɛ ʃˈumno,,2,uk-agent-v1;ipa=espeak
room-problems.the-key-does-not-work,Ключ не працює.,,Kliuch ne pratsiuie.,kʎˈutʃ nˈɛ pratsjˈujɛ,,2,uk-agent-v1;ipa=espeak
room-problems.the-toilet-will-not-flush,Туалет не змивається.,,Tualet ne zmyvaietsia.,tualˈɛt nˈɛ zmɪʋˈajɛtsja,,2,uk-agent-v1;ipa=espeak
room-problems.the-light-does-not-work,Світло не працює.,,Svitlo ne pratsiuie.,zʋˈiːtlo nˈɛ pratsjˈujɛ,,2,uk-agent-v1;ipa=espeak
room-problems.please-send-someone,"Пришліть, будь ласка, майстра.",,"Pryshlit, bud laska, maistra.","prˈɪʃʎiːt, bˈud lˈaska, mˈajstra",,2,uk-agent-v1;ipa=espeak
